,pw,x1,x2,x3
0,1,cCEN_West,cNDC_USA,"""<"""
1,1,cCEN_Northeast,cNDC_USA,"""<"""
2,1,cCEN_South,cNDC_USA,"""<"""
3,1,cCEN_USA,cNDC_USA,"""="""
4,1,cCEN_USA,cNDC_Northeast,""">"""
5,1,cCEN_USA,cNDC_West,""">"""
6,1,cCEN_USA,cNDC_Southeast,""">"""
7,1,cCEN_USA,cNDC_Southwest,""">"""
8,1,cCEN_South,cNDC_Southeast,""">"""
9,1,cCEN_West,cNDC_Northeast,"""!"""
10,1,cCEN_West,cNDC_Southeast,"""!"""
11,1,cCEN_Northeast,cNDC_West,"""!"""
12,1,cCEN_Northeast,cNDC_Southeast,"""!"""
13,1,cCEN_Northeast,cNDC_Southwest,"""!"""
14,1,cCEN_South,cNDC_West,"""!"""
15,1,cCEN_Northeast,cNDC_Northeast,"""<"""
16,1,cCEN_Midwest,cNDC_USA,"""<"""
17,1,cCEN_Midwest,cNDC_Southwest,"""<"""
18,1,cCEN_USA,cNDC_Midwest,""">"""
19,1,cCEN_West,cNDC_West,""">"""
20,1,cCEN_South,cNDC_Midwest,""">"""
21,1,cCEN_West,cNDC_Southwest,"""><"""
22,1,cCEN_South,cNDC_Northeast,"""><"""
23,1,cCEN_South,cNDC_Southwest,"""><"""
24,1,cCEN_West,cNDC_Midwest,"""!"""
25,1,cCEN_Northeast,cNDC_Midwest,"""!"""
26,1,cCEN_Midwest,cNDC_Northeast,"""!"""
27,1,cCEN_Midwest,cNDC_West,"""!"""
28,1,cCEN_Midwest,cNDC_Southeast,"""!"""
29,1,cCEN_Midwest,cNDC_Midwest,"""!"""
30,2,cCEN_West,cNDC_USA,"""<"""
31,2,cCEN_Northeast,cNDC_USA,"""<"""
32,2,cCEN_South,cNDC_USA,"""<"""
33,2,cCEN_USA,cNDC_USA,"""="""
34,2,cCEN_USA,cNDC_Northeast,""">"""
35,2,cCEN_USA,cNDC_West,""">"""
36,2,cCEN_USA,cNDC_Southeast,""">"""
37,2,cCEN_USA,cNDC_Southwest,""">"""
38,2,cCEN_South,cNDC_Southeast,""">"""
39,2,cCEN_West,cNDC_Northeast,"""!"""
40,2,cCEN_West,cNDC_Southeast,"""!"""
41,2,cCEN_Northeast,cNDC_West,"""!"""
42,2,cCEN_Northeast,cNDC_Southeast,"""!"""
43,2,cCEN_Northeast,cNDC_Southwest,"""!"""
44,2,cCEN_South,cNDC_West,"""!"""
45,2,cCEN_Northeast,cNDC_Northeast,"""<"""
46,2,cCEN_Midwest,cNDC_USA,"""<"""
47,2,cCEN_Midwest,cNDC_Southwest,"""<"""
48,2,cCEN_USA,cNDC_Midwest,""">"""
49,2,cCEN_West,cNDC_West,""">"""
50,2,cCEN_West,cNDC_Midwest,""">"""
51,2,cCEN_South,cNDC_Northeast,"""><"""
52,2,cCEN_South,cNDC_Southwest,"""><"""
53,2,cCEN_West,cNDC_Southwest,"""!"""
54,2,cCEN_Northeast,cNDC_Midwest,"""!"""
55,2,cCEN_Midwest,cNDC_Northeast,"""!"""
56,2,cCEN_Midwest,cNDC_West,"""!"""
57,2,cCEN_Midwest,cNDC_Southeast,"""!"""
58,2,cCEN_Midwest,cNDC_Midwest,"""!"""
59,2,cCEN_South,cNDC_Midwest,"""!"""
60,3,cCEN_West,cNDC_USA,"""<"""
61,3,cCEN_Northeast,cNDC_USA,"""<"""
62,3,cCEN_South,cNDC_USA,"""<"""
63,3,cCEN_USA,cNDC_USA,"""="""
64,3,cCEN_USA,cNDC_Northeast,""">"""
65,3,cCEN_USA,cNDC_West,""">"""
66,3,cCEN_USA,cNDC_Southeast,""">"""
67,3,cCEN_USA,cNDC_Southwest,""">"""
68,3,cCEN_South,cNDC_Southeast,""">"""
69,3,cCEN_West,cNDC_Northeast,"""!"""
70,3,cCEN_West,cNDC_Southeast,"""!"""
71,3,cCEN_Northeast,cNDC_West,"""!"""
72,3,cCEN_Northeast,cNDC_Southeast,"""!"""
73,3,cCEN_Northeast,cNDC_Southwest,"""!"""
74,3,cCEN_South,cNDC_West,"""!"""
75,3,cCEN_Northeast,cNDC_Northeast,"""<"""
76,3,cCEN_Midwest,cNDC_USA,"""<"""
77,3,cCEN_Midwest,cNDC_Southwest,"""<"""
78,3,cCEN_USA,cNDC_Midwest,""">"""
79,3,cCEN_West,cNDC_West,""">"""
80,3,cCEN_West,cNDC_Midwest,""">"""
81,3,cCEN_West,cNDC_Southwest,"""><"""
82,3,cCEN_South,cNDC_Northeast,"""><"""
83,3,cCEN_South,cNDC_Southwest,"""><"""
84,3,cCEN_Northeast,cNDC_Midwest,"""!"""
85,3,cCEN_Midwest,cNDC_Northeast,"""!"""
86,3,cCEN_Midwest,cNDC_West,"""!"""
87,3,cCEN_Midwest,cNDC_Southeast,"""!"""
88,3,cCEN_Midwest,cNDC_Midwest,"""!"""
89,3,cCEN_South,cNDC_Midwest,"""!"""
90,4,cCEN_West,cNDC_USA,"""<"""
91,4,cCEN_Northeast,cNDC_USA,"""<"""
92,4,cCEN_South,cNDC_USA,"""<"""
93,4,cCEN_USA,cNDC_USA,"""="""
94,4,cCEN_USA,cNDC_Northeast,""">"""
95,4,cCEN_USA,cNDC_West,""">"""
96,4,cCEN_USA,cNDC_Southeast,""">"""
97,4,cCEN_USA,cNDC_Southwest,""">"""
98,4,cCEN_South,cNDC_Southeast,""">"""
99,4,cCEN_West,cNDC_Northeast,"""!"""
100,4,cCEN_West,cNDC_Southeast,"""!"""
101,4,cCEN_Northeast,cNDC_West,"""!"""
102,4,cCEN_Northeast,cNDC_Southeast,"""!"""
103,4,cCEN_Northeast,cNDC_Southwest,"""!"""
104,4,cCEN_South,cNDC_West,"""!"""
105,4,cCEN_Northeast,cNDC_Northeast,"""<"""
106,4,cCEN_Midwest,cNDC_USA,"""<"""
107,4,cCEN_Midwest,cNDC_Southwest,"""<"""
108,4,cCEN_USA,cNDC_Midwest,""">"""
109,4,cCEN_West,cNDC_West,""">"""
110,4,cCEN_West,cNDC_Midwest,"""><"""
111,4,cCEN_South,cNDC_Northeast,"""><"""
112,4,cCEN_South,cNDC_Midwest,"""><"""
113,4,cCEN_South,cNDC_Southwest,"""><"""
114,4,cCEN_West,cNDC_Southwest,"""!"""
115,4,cCEN_Northeast,cNDC_Midwest,"""!"""
116,4,cCEN_Midwest,cNDC_Northeast,"""!"""
117,4,cCEN_Midwest,cNDC_West,"""!"""
118,4,cCEN_Midwest,cNDC_Southeast,"""!"""
119,4,cCEN_Midwest,cNDC_Midwest,"""!"""
120,5,cCEN_West,cNDC_USA,"""<"""
121,5,cCEN_Northeast,cNDC_USA,"""<"""
122,5,cCEN_South,cNDC_USA,"""<"""
123,5,cCEN_USA,cNDC_USA,"""="""
124,5,cCEN_USA,cNDC_Northeast,""">"""
125,5,cCEN_USA,cNDC_West,""">"""
126,5,cCEN_USA,cNDC_Southeast,""">"""
127,5,cCEN_USA,cNDC_Southwest,""">"""
128,5,cCEN_South,cNDC_Southeast,""">"""
129,5,cCEN_West,cNDC_Northeast,"""!"""
130,5,cCEN_West,cNDC_Southeast,"""!"""
131,5,cCEN_Northeast,cNDC_West,"""!"""
132,5,cCEN_Northeast,cNDC_Southeast,"""!"""
133,5,cCEN_Northeast,cNDC_Southwest,"""!"""
134,5,cCEN_South,cNDC_West,"""!"""
135,5,cCEN_Northeast,cNDC_Northeast,"""<"""
136,5,cCEN_Midwest,cNDC_USA,"""<"""
137,5,cCEN_Midwest,cNDC_Southwest,"""<"""
138,5,cCEN_USA,cNDC_Midwest,""">"""
139,5,cCEN_West,cNDC_West,""">"""
140,5,cCEN_West,cNDC_Midwest,"""><"""
141,5,cCEN_West,cNDC_Southwest,"""><"""
142,5,cCEN_South,cNDC_Northeast,"""><"""
143,5,cCEN_South,cNDC_Midwest,"""><"""
144,5,cCEN_South,cNDC_Southwest,"""><"""
145,5,cCEN_Northeast,cNDC_Midwest,"""!"""
146,5,cCEN_Midwest,cNDC_Northeast,"""!"""
147,5,cCEN_Midwest,cNDC_West,"""!"""
148,5,cCEN_Midwest,cNDC_Southeast,"""!"""
149,5,cCEN_Midwest,cNDC_Midwest,"""!"""
150,6,cCEN_West,cNDC_USA,"""<"""
151,6,cCEN_Northeast,cNDC_USA,"""<"""
152,6,cCEN_South,cNDC_USA,"""<"""
153,6,cCEN_USA,cNDC_USA,"""="""
154,6,cCEN_USA,cNDC_Northeast,""">"""
155,6,cCEN_USA,cNDC_West,""">"""
156,6,cCEN_USA,cNDC_Southeast,""">"""
157,6,cCEN_USA,cNDC_Southwest,""">"""
158,6,cCEN_South,cNDC_Southeast,""">"""
159,6,cCEN_West,cNDC_Northeast,"""!"""
160,6,cCEN_West,cNDC_Southeast,"""!"""
161,6,cCEN_Northeast,cNDC_West,"""!"""
162,6,cCEN_Northeast,cNDC_Southeast,"""!"""
163,6,cCEN_Northeast,cNDC_Southwest,"""!"""
164,6,cCEN_South,cNDC_West,"""!"""
165,6,cCEN_Northeast,cNDC_Northeast,"""<"""
166,6,cCEN_Midwest,cNDC_Northeast,"""<"""
167,6,cCEN_Midwest,cNDC_USA,"""<"""
168,6,cCEN_USA,cNDC_Midwest,""">"""
169,6,cCEN_West,cNDC_West,""">"""
170,6,cCEN_South,cNDC_Midwest,""">"""
171,6,cCEN_West,cNDC_Southwest,"""><"""
172,6,cCEN_South,cNDC_Southwest,"""><"""
173,6,cCEN_West,cNDC_Midwest,"""!"""
174,6,cCEN_Northeast,cNDC_Midwest,"""!"""
175,6,cCEN_Midwest,cNDC_West,"""!"""
176,6,cCEN_Midwest,cNDC_Southeast,"""!"""
177,6,cCEN_Midwest,cNDC_Midwest,"""!"""
178,6,cCEN_Midwest,cNDC_Southwest,"""!"""
179,6,cCEN_South,cNDC_Northeast,"""!"""
180,7,cCEN_West,cNDC_USA,"""<"""
181,7,cCEN_Northeast,cNDC_USA,"""<"""
182,7,cCEN_South,cNDC_USA,"""<"""
183,7,cCEN_USA,cNDC_USA,"""="""
184,7,cCEN_USA,cNDC_Northeast,""">"""
185,7,cCEN_USA,cNDC_West,""">"""
186,7,cCEN_USA,cNDC_Southeast,""">"""
187,7,cCEN_USA,cNDC_Southwest,""">"""
188,7,cCEN_South,cNDC_Southeast,""">"""
189,7,cCEN_West,cNDC_Northeast,"""!"""
190,7,cCEN_West,cNDC_Southeast,"""!"""
191,7,cCEN_Northeast,cNDC_West,"""!"""
192,7,cCEN_Northeast,cNDC_Southeast,"""!"""
193,7,cCEN_Northeast,cNDC_Southwest,"""!"""
194,7,cCEN_South,cNDC_West,"""!"""
195,7,cCEN_Northeast,cNDC_Northeast,"""<"""
196,7,cCEN_Midwest,cNDC_Northeast,"""<"""
197,7,cCEN_Midwest,cNDC_USA,"""<"""
198,7,cCEN_USA,cNDC_Midwest,""">"""
199,7,cCEN_West,cNDC_West,""">"""
200,7,cCEN_South,cNDC_Midwest,""">"""
201,7,cCEN_West,cNDC_Southwest,"""><"""
202,7,cCEN_South,cNDC_Northeast,"""><"""
203,7,cCEN_South,cNDC_Southwest,"""><"""
204,7,cCEN_West,cNDC_Midwest,"""!"""
205,7,cCEN_Northeast,cNDC_Midwest,"""!"""
206,7,cCEN_Midwest,cNDC_West,"""!"""
207,7,cCEN_Midwest,cNDC_Southeast,"""!"""
208,7,cCEN_Midwest,cNDC_Midwest,"""!"""
209,7,cCEN_Midwest,cNDC_Southwest,"""!"""
210,8,cCEN_West,cNDC_USA,"""<"""
211,8,cCEN_Northeast,cNDC_USA,"""<"""
212,8,cCEN_South,cNDC_USA,"""<"""
213,8,cCEN_USA,cNDC_USA,"""="""
214,8,cCEN_USA,cNDC_Northeast,""">"""
215,8,cCEN_USA,cNDC_West,""">"""
216,8,cCEN_USA,cNDC_Southeast,""">"""
217,8,cCEN_USA,cNDC_Southwest,""">"""
218,8,cCEN_South,cNDC_Southeast,""">"""
219,8,cCEN_West,cNDC_Northeast,"""!"""
220,8,cCEN_West,cNDC_Southeast,"""!"""
221,8,cCEN_Northeast,cNDC_West,"""!"""
222,8,cCEN_Northeast,cNDC_Southeast,"""!"""
223,8,cCEN_Northeast,cNDC_Southwest,"""!"""
224,8,cCEN_South,cNDC_West,"""!"""
225,8,cCEN_Northeast,cNDC_Northeast,"""<"""
226,8,cCEN_Midwest,cNDC_Northeast,"""<"""
227,8,cCEN_Midwest,cNDC_USA,"""<"""
228,8,cCEN_USA,cNDC_Midwest,""">"""
229,8,cCEN_West,cNDC_West,""">"""
230,8,cCEN_West,cNDC_Midwest,""">"""
231,8,cCEN_West,cNDC_Southwest,"""><"""
232,8,cCEN_South,cNDC_Southwest,"""><"""
233,8,cCEN_Northeast,cNDC_Midwest,"""!"""
234,8,cCEN_Midwest,cNDC_West,"""!"""
235,8,cCEN_Midwest,cNDC_Southeast,"""!"""
236,8,cCEN_Midwest,cNDC_Midwest,"""!"""
237,8,cCEN_Midwest,cNDC_Southwest,"""!"""
238,8,cCEN_South,cNDC_Northeast,"""!"""
239,8,cCEN_South,cNDC_Midwest,"""!"""
240,9,cCEN_West,cNDC_USA,"""<"""
241,9,cCEN_Northeast,cNDC_USA,"""<"""
242,9,cCEN_South,cNDC_USA,"""<"""
243,9,cCEN_USA,cNDC_USA,"""="""
244,9,cCEN_USA,cNDC_Northeast,""">"""
245,9,cCEN_USA,cNDC_West,""">"""
246,9,cCEN_USA,cNDC_Southeast,""">"""
247,9,cCEN_USA,cNDC_Southwest,""">"""
248,9,cCEN_South,cNDC_Southeast,""">"""
249,9,cCEN_West,cNDC_Northeast,"""!"""
250,9,cCEN_West,cNDC_Southeast,"""!"""
251,9,cCEN_Northeast,cNDC_West,"""!"""
252,9,cCEN_Northeast,cNDC_Southeast,"""!"""
253,9,cCEN_Northeast,cNDC_Southwest,"""!"""
254,9,cCEN_South,cNDC_West,"""!"""
255,9,cCEN_Northeast,cNDC_Northeast,"""<"""
256,9,cCEN_Midwest,cNDC_Northeast,"""<"""
257,9,cCEN_Midwest,cNDC_USA,"""<"""
258,9,cCEN_USA,cNDC_Midwest,""">"""
259,9,cCEN_West,cNDC_West,""">"""
260,9,cCEN_West,cNDC_Midwest,""">"""
261,9,cCEN_West,cNDC_Southwest,"""><"""
262,9,cCEN_South,cNDC_Northeast,"""><"""
263,9,cCEN_South,cNDC_Southwest,"""><"""
264,9,cCEN_Northeast,cNDC_Midwest,"""!"""
265,9,cCEN_Midwest,cNDC_West,"""!"""
266,9,cCEN_Midwest,cNDC_Southeast,"""!"""
267,9,cCEN_Midwest,cNDC_Midwest,"""!"""
268,9,cCEN_Midwest,cNDC_Southwest,"""!"""
269,9,cCEN_South,cNDC_Midwest,"""!"""
270,10,cCEN_West,cNDC_USA,"""<"""
271,10,cCEN_Northeast,cNDC_USA,"""<"""
272,10,cCEN_South,cNDC_USA,"""<"""
273,10,cCEN_USA,cNDC_USA,"""="""
274,10,cCEN_USA,cNDC_Northeast,""">"""
275,10,cCEN_USA,cNDC_West,""">"""
276,10,cCEN_USA,cNDC_Southeast,""">"""
277,10,cCEN_USA,cNDC_Southwest,""">"""
278,10,cCEN_South,cNDC_Southeast,""">"""
279,10,cCEN_West,cNDC_Northeast,"""!"""
280,10,cCEN_West,cNDC_Southeast,"""!"""
281,10,cCEN_Northeast,cNDC_West,"""!"""
282,10,cCEN_Northeast,cNDC_Southeast,"""!"""
283,10,cCEN_Northeast,cNDC_Southwest,"""!"""
284,10,cCEN_South,cNDC_West,"""!"""
285,10,cCEN_Northeast,cNDC_Northeast,"""<"""
286,10,cCEN_Midwest,cNDC_Northeast,"""<"""
287,10,cCEN_Midwest,cNDC_USA,"""<"""
288,10,cCEN_USA,cNDC_Midwest,""">"""
289,10,cCEN_West,cNDC_West,""">"""
290,10,cCEN_West,cNDC_Midwest,"""><"""
291,10,cCEN_West,cNDC_Southwest,"""><"""
292,10,cCEN_South,cNDC_Midwest,"""><"""
293,10,cCEN_South,cNDC_Southwest,"""><"""
294,10,cCEN_Northeast,cNDC_Midwest,"""!"""
295,10,cCEN_Midwest,cNDC_West,"""!"""
296,10,cCEN_Midwest,cNDC_Southeast,"""!"""
297,10,cCEN_Midwest,cNDC_Midwest,"""!"""
298,10,cCEN_Midwest,cNDC_Southwest,"""!"""
299,10,cCEN_South,cNDC_Northeast,"""!"""
300,11,cCEN_West,cNDC_USA,"""<"""
301,11,cCEN_Northeast,cNDC_USA,"""<"""
302,11,cCEN_South,cNDC_USA,"""<"""
303,11,cCEN_USA,cNDC_USA,"""="""
304,11,cCEN_USA,cNDC_Northeast,""">"""
305,11,cCEN_USA,cNDC_West,""">"""
306,11,cCEN_USA,cNDC_Southeast,""">"""
307,11,cCEN_USA,cNDC_Southwest,""">"""
308,11,cCEN_South,cNDC_Southeast,""">"""
309,11,cCEN_West,cNDC_Northeast,"""!"""
310,11,cCEN_West,cNDC_Southeast,"""!"""
311,11,cCEN_Northeast,cNDC_West,"""!"""
312,11,cCEN_Northeast,cNDC_Southeast,"""!"""
313,11,cCEN_Northeast,cNDC_Southwest,"""!"""
314,11,cCEN_South,cNDC_West,"""!"""
315,11,cCEN_Northeast,cNDC_Northeast,"""<"""
316,11,cCEN_Midwest,cNDC_Northeast,"""<"""
317,11,cCEN_Midwest,cNDC_USA,"""<"""
318,11,cCEN_USA,cNDC_Midwest,""">"""
319,11,cCEN_West,cNDC_West,""">"""
320,11,cCEN_West,cNDC_Midwest,"""><"""
321,11,cCEN_West,cNDC_Southwest,"""><"""
322,11,cCEN_South,cNDC_Northeast,"""><"""
323,11,cCEN_South,cNDC_Midwest,"""><"""
324,11,cCEN_South,cNDC_Southwest,"""><"""
325,11,cCEN_Northeast,cNDC_Midwest,"""!"""
326,11,cCEN_Midwest,cNDC_West,"""!"""
327,11,cCEN_Midwest,cNDC_Southeast,"""!"""
328,11,cCEN_Midwest,cNDC_Midwest,"""!"""
329,11,cCEN_Midwest,cNDC_Southwest,"""!"""
330,12,cCEN_West,cNDC_USA,"""<"""
331,12,cCEN_Northeast,cNDC_USA,"""<"""
332,12,cCEN_South,cNDC_USA,"""<"""
333,12,cCEN_USA,cNDC_USA,"""="""
334,12,cCEN_USA,cNDC_Northeast,""">"""
335,12,cCEN_USA,cNDC_West,""">"""
336,12,cCEN_USA,cNDC_Southeast,""">"""
337,12,cCEN_USA,cNDC_Southwest,""">"""
338,12,cCEN_South,cNDC_Southeast,""">"""
339,12,cCEN_West,cNDC_Northeast,"""!"""
340,12,cCEN_West,cNDC_Southeast,"""!"""
341,12,cCEN_Northeast,cNDC_West,"""!"""
342,12,cCEN_Northeast,cNDC_Southeast,"""!"""
343,12,cCEN_Northeast,cNDC_Southwest,"""!"""
344,12,cCEN_South,cNDC_West,"""!"""
345,12,cCEN_Northeast,cNDC_Northeast,"""<"""
346,12,cCEN_Midwest,cNDC_USA,"""<"""
347,12,cCEN_USA,cNDC_Midwest,""">"""
348,12,cCEN_West,cNDC_West,""">"""
349,12,cCEN_South,cNDC_Midwest,""">"""
350,12,cCEN_West,cNDC_Southwest,"""><"""
351,12,cCEN_Midwest,cNDC_Northeast,"""><"""
352,12,cCEN_Midwest,cNDC_Southwest,"""><"""
353,12,cCEN_South,cNDC_Southwest,"""><"""
354,12,cCEN_West,cNDC_Midwest,"""!"""
355,12,cCEN_Northeast,cNDC_Midwest,"""!"""
356,12,cCEN_Midwest,cNDC_West,"""!"""
