,*NEW*,CEN,NDC,congruent,is_a (inferred),is_a (input)
0,24,4,5,1,68,2
1,20,4,5,1,57,2
2,19,4,5,1,53,4
3,15,4,5,1,42,3
4,18,4,5,1,49,1
5,14,4,5,1,38,1
6,13,4,5,1,37,3
7,9,4,5,1,26,2
8,20,4,5,1,52,1
9,15,4,5,1,42,3
10,14,4,5,1,36,0
11,9,4,5,1,26,2
12,14,4,5,1,33,4
13,9,4,5,1,23,5
14,9,4,5,1,22,3
15,4,4,5,1,11,5
16,19,4,5,1,53,4
17,14,4,5,1,40,4
18,15,4,5,1,39,3
19,10,4,5,1,24,5
20,12,4,5,1,30,4
21,8,4,5,1,22,5
22,9,4,5,1,21,3
23,5,3,4,2,10,7
24,18,4,5,1,53,2
25,14,4,5,1,42,2
26,14,4,5,1,38,1
27,9,4,5,1,28,3
28,13,4,5,1,40,3
29,9,4,5,1,26,2
