,*NEW*,CEN,TZ,is_a (inferred),is_a (input),congruent
0,46,5,5,147,1,0
1,43,5,5,133,1,0
2,43,5,5,132,0,0
3,40,5,5,118,0,0
4,43,5,5,131,1,0
5,40,5,5,117,1,0
6,40,5,5,116,0,0
7,37,5,5,102,0,0
8,43,5,5,131,1,0
9,40,5,5,117,1,0
10,40,5,5,116,0,0
11,37,5,5,102,0,0
12,39,5,5,110,2,0
13,36,5,5,97,2,0
14,36,5,5,96,1,0
15,33,5,5,83,1,0
16,41,5,5,130,1,0
17,38,5,5,116,2,0
18,38,5,5,115,1,0
19,35,5,5,101,2,0
20,38,5,5,115,1,0
21,35,5,5,101,2,0
22,34,5,5,96,2,0
23,31,5,5,83,3,0
24,38,5,5,115,0,0
25,35,5,5,100,0,0
26,34,5,5,98,1,0
27,31,5,5,84,1,0
28,35,5,5,100,0,0
29,31,5,5,84,1,0
30,31,5,5,82,1,0
31,27,5,5,68,2,0
32,41,5,5,131,3,0
33,38,5,5,117,2,0
34,38,5,5,116,2,0
35,35,5,5,102,1,0
36,37,5,5,110,3,0
37,34,5,5,97,2,0
38,34,5,5,96,2,0
39,31,5,5,83,1,0
40,36,5,5,114,2,0
41,33,5,5,100,1,0
42,33,5,5,99,1,0
43,29,5,5,82,0,0
44,32,5,5,95,2,0
45,29,5,5,82,1,0
46,29,5,5,81,1,0
47,25,5,5,66,0,0
48,37,5,5,110,3,0
49,34,5,5,97,2,0
50,34,5,5,96,2,0
51,31,5,5,83,1,0
52,32,5,5,95,2,0
53,29,5,5,82,1,0
54,29,5,5,81,1,0
55,25,5,5,66,0,0
56,32,5,5,84,4,0
57,29,5,5,72,3,0
58,29,5,5,71,3,0
59,26,5,5,59,2,0
60,27,5,5,71,3,0
61,24,5,5,59,3,0
62,24,5,5,58,2,0
63,21,5,5,46,2,0
64,42,5,5,131,3,0
65,38,5,5,119,5,0
66,39,5,5,117,3,0
67,35,5,5,105,4,0
68,39,5,5,116,2,0
69,35,5,5,104,4,0
70,35,5,5,98,2,0
71,31,5,5,87,3,0
72,39,5,5,116,2,0
73,36,5,5,102,2,0
74,34,5,5,100,4,0
75,31,5,5,87,3,0
76,36,5,5,101,1,0
77,31,5,5,86,3,0
78,32,5,5,84,1,0
79,27,5,5,71,2,0
80,39,5,5,116,2,0
81,36,5,5,102,2,0
82,34,5,5,100,4,0
83,31,5,5,87,3,0
84,36,5,5,101,1,0
85,31,5,5,86,3,0
86,32,5,5,84,1,0
87,27,5,5,71,2,0
88,35,5,5,97,1,0
89,32,5,5,84,1,0
90,32,5,5,83,0,0
91,28,5,5,68,0,0
92,29,5,5,76,5,0
93,26,5,5,64,4,0
94,26,5,5,63,4,0
95,23,5,5,52,3,0
96,37,5,5,114,3,0
97,33,5,5,102,4,0
98,33,5,5,96,4,0
99,29,5,5,85,3,0
100,34,5,5,100,2,0
101,29,5,5,85,3,0
102,30,5,5,83,3,0
103,25,5,5,70,2,0
104,34,5,5,100,2,0
105,29,5,5,85,3,0
106,30,5,5,83,3,0
107,25,5,5,70,2,0
108,30,5,5,83,1,0
109,26,5,5,68,2,0
110,24,5,5,63,4,0
111,21,5,5,52,4,0
112,33,5,5,95,2,0
113,29,5,5,84,3,0
114,30,5,5,82,1,0
115,25,5,5,69,2,0
116,30,5,5,82,1,0
117,25,5,5,69,2,0
118,26,5,5,67,0,0
119,21,5,5,51,3,0
120,28,5,5,72,4,0
121,24,5,5,62,5,0
122,25,5,5,60,3,0
123,21,5,5,51,4,0
124,25,5,5,60,3,0
125,21,5,5,51,4,0
126,22,5,5,49,2,0
127,18,4,4,37,6,1
