,CEN,TZ,is_a (input),overlaps (inferred),overlaps (input),is_a (inferred),congruent
0,5,5,9,10,6,0,0
1,5,5,9,9,6,1,0
2,5,5,9,9,6,1,0
3,5,5,9,8,6,2,0
4,5,5,9,9,6,1,0
5,5,5,9,8,6,2,0
6,5,5,9,8,6,2,0
7,5,5,9,7,6,3,0
8,5,5,9,9,6,1,0
9,5,5,9,8,6,2,0
10,5,5,9,8,6,2,0
11,5,5,9,7,6,3,0
12,5,5,9,8,6,2,0
13,5,5,9,7,6,3,0
14,5,5,9,7,6,3,0
15,5,5,9,6,6,4,0
16,5,5,8,9,6,1,0
17,5,5,8,8,6,2,0
18,5,5,8,8,6,2,0
19,5,5,8,7,6,3,0
20,5,5,8,8,6,2,0
21,5,5,8,7,6,3,0
22,5,5,8,7,6,3,0
23,5,5,8,6,6,4,0
24,5,5,8,8,6,2,0
25,5,5,8,7,6,3,0
26,5,5,8,7,6,3,0
27,5,5,8,6,6,4,0
28,5,5,8,7,6,3,0
29,5,5,8,6,6,4,0
30,5,5,8,6,6,4,0
31,5,5,8,5,6,5,0
32,5,5,9,9,6,1,0
33,5,5,9,8,6,2,0
34,5,5,9,8,6,2,0
35,5,5,9,7,6,3,0
36,5,5,9,8,6,2,0
37,5,5,9,7,6,3,0
38,5,5,9,7,6,3,0
39,5,5,9,6,6,4,0
40,5,5,8,8,6,2,0
41,5,5,8,7,6,3,0
42,5,5,8,7,6,3,0
43,5,5,8,6,6,4,0
44,5,5,8,7,6,3,0
45,5,5,8,6,6,4,0
46,5,5,8,6,6,4,0
47,5,5,8,5,6,5,0
48,5,5,9,8,6,2,0
49,5,5,9,7,6,3,0
50,5,5,9,7,6,3,0
51,5,5,9,6,6,4,0
52,5,5,8,7,6,3,0
53,5,5,8,6,6,4,0
54,5,5,8,6,6,4,0
55,5,5,8,5,6,5,0
56,5,5,9,6,6,1,0
57,5,5,8,5,6,2,0
58,5,5,8,5,6,2,0
59,5,5,7,4,6,3,0
60,5,5,7,5,6,2,0
61,5,5,6,4,6,3,0
62,5,5,6,4,6,3,0
63,5,5,5,3,6,4,0
64,5,5,9,8,6,1,0
65,5,5,9,7,6,2,0
66,5,5,9,7,6,2,0
67,5,5,9,6,6,3,0
68,5,5,8,7,6,2,0
69,5,5,8,6,6,3,0
70,5,5,8,6,6,3,0
71,5,5,8,5,6,4,0
72,5,5,9,7,6,2,0
73,5,5,9,6,6,3,0
74,5,5,9,6,6,3,0
75,5,5,9,5,6,4,0
76,5,5,8,6,6,3,0
77,5,5,8,5,6,4,0
78,5,5,8,5,6,4,0
79,5,5,8,4,6,5,0
80,5,5,8,7,6,2,0
81,5,5,8,6,6,3,0
82,5,5,7,6,6,3,0
83,5,5,7,5,6,4,0
84,5,5,8,6,6,3,0
85,5,5,8,5,6,4,0
86,5,5,7,5,6,4,0
87,5,5,7,4,6,5,0
88,5,5,8,6,6,3,0
89,5,5,7,5,6,4,0
90,5,5,8,5,6,4,0
91,5,5,7,4,6,5,0
92,5,5,8,4,6,2,0
93,5,5,6,3,6,3,0
94,5,5,7,3,6,3,0
95,5,5,5,2,6,4,0
96,5,5,9,7,6,2,0
97,5,5,9,6,6,3,0
98,5,5,9,6,6,3,0
99,5,5,9,5,6,4,0
100,5,5,8,6,6,3,0
101,5,5,8,5,6,4,0
102,5,5,8,5,6,4,0
103,5,5,8,4,6,5,0
104,5,5,9,6,6,3,0
105,5,5,9,5,6,4,0
106,5,5,9,5,6,4,0
107,5,5,9,4,6,5,0
108,5,5,8,4,6,2,0
109,5,5,7,3,6,3,0
110,5,5,7,3,6,3,0
111,5,5,6,2,6,4,0
112,5,5,8,6,6,3,0
113,5,5,8,5,6,4,0
114,5,5,7,5,6,4,0
115,5,5,7,4,6,5,0
116,5,5,8,5,6,4,0
117,5,5,7,4,6,5,0
118,5,5,7,3,6,3,0
119,5,5,5,2,6,4,0
120,5,5,8,5,6,4,0
121,5,5,8,4,6,5,0
122,5,5,8,4,6,5,0
123,5,5,6,2,6,4,0
124,5,5,6,3,6,3,0
125,5,5,5,2,6,4,0
126,5,5,5,2,6,4,0
127,4,4,7,1,6,1,1
128,5,5,9,9,6,0,0
129,5,5,9,8,6,1,0
130,5,5,9,8,6,1,0
131,5,5,9,7,6,2,0
132,5,5,9,8,6,1,0
133,5,5,9,7,6,2,0
134,5,5,9,7,6,2,0
135,5,5,9,6,6,3,0
136,5,5,8,8,6,1,0
137,5,5,8,7,6,2,0
138,5,5,8,7,6,2,0
139,5,5,8,6,6,3,0
140,5,5,8,7,6,2,0
141,5,5,8,6,6,3,0
142,5,5,8,6,6,3,0
143,5,5,8,5,6,4,0
144,5,5,9,8,6,1,0
145,5,5,9,7,6,2,0
146,5,5,9,7,6,2,0
147,5,5,9,6,6,3,0
148,5,5,8,7,6,2,0
149,5,5,8,6,6,3,0
150,5,5,8,6,6,3,0
151,5,5,8,5,6,4,0
152,5,5,9,7,6,2,0
153,5,5,9,6,6,3,0
154,5,5,8,6,6,3,0
155,5,5,8,5,6,4,0
156,5,5,9,5,6,1,0
157,5,5,8,4,6,2,0
158,5,5,7,4,6,2,0
159,5,5,6,3,6,3,0
160,5,5,9,7,6,1,0
161,5,5,9,6,6,2,0
162,5,5,8,6,6,2,0
163,5,5,8,5,6,3,0
164,5,5,9,6,6,2,0
165,5,5,9,5,6,3,0
166,5,5,8,5,6,3,0
167,5,5,8,4,6,4,0
168,5,5,8,6,6,2,0
169,5,5,8,5,6,3,0
170,5,5,7,5,6,3,0
171,5,5,7,4,6,4,0
172,5,5,8,5,6,3,0
173,5,5,8,4,6,4,0
174,5,5,7,4,6,4,0
175,5,5,7,3,6,5,0
176,5,5,9,6,6,2,0
177,5,5,9,5,6,3,0
178,5,5,8,5,6,3,0
179,5,5,8,4,6,4,0
180,5,5,8,5,6,3,0
181,5,5,8,4,6,4,0
182,5,5,7,4,6,4,0
183,5,5,7,3,6,5,0
184,5,5,9,5,6,3,0
185,5,5,9,4,6,4,0
186,5,5,8,4,6,4,0
187,5,5,8,3,6,5,0
188,5,5,8,3,6,2,0
189,5,5,7,2,6,3,0
190,5,5,6,2,6,3,0
191,5,5,5,1,6,4,0
192,5,5,9,8,6,0,0
193,5,5,9,7,6,1,0
194,5,5,9,7,6,1,0
195,5,5,9,6,6,2,0
196,5,5,9,7,6,1,0
197,5,5,9,6,6,2,0
198,5,5,9,6,6,2,0
199,5,5,9,5,6,3,0
200,5,5,8,7,6,1,0
201,5,5,8,6,6,2,0
202,5,5,8,6,6,2,0
203,5,5,8,5,6,3,0
204,5,5,8,6,6,2,0
205,5,5,8,5,6,3,0
206,5,5,8,5,6,3,0
207,5,5,8,4,6,4,0
208,5,5,9,7,6,1,0
209,5,5,9,6,6,2,0
210,5,5,9,6,6,2,0
211,5,5,9,5,6,3,0
212,5,5,9,6,6,2,0
213,5,5,9,5,6,3,0
214,5,5,9,5,6,3,0
215,5,5,9,4,6,4,0
216,5,5,8,6,6,2,0
217,5,5,8,5,6,3,0
218,5,5,8,5,6,3,0
219,5,5,8,4,6,4,0
220,5,5,8,5,6,3,0
221,5,5,8,4,6,4,0
222,5,5,8,4,6,4,0
223,5,5,8,3,6,5,0
224,5,5,9,7,6,0,0
225,5,5,9,6,6,1,0
226,5,5,9,6,6,1,0
227,5,5,9,5,6,2,0
228,5,5,8,6,6,1,0
229,5,5,8,5,6,2,0
230,5,5,8,5,6,2,0
231,5,5,8,4,6,3,0
232,5,5,9,6,6,1,0
233,5,5,9,5,6,2,0
234,5,5,9,5,6,2,0
235,5,5,9,4,6,3,0
236,5,5,8,5,6,2,0
237,5,5,8,4,6,3,0
238,5,5,8,4,6,3,0
239,5,5,8,3,6,4,0
