,pw,x1,x2,x3
0,1,cCEN_West,cNDC_USA,"""<"""
1,1,cCEN_Northeast,cNDC_Northeast,"""<"""
2,1,cCEN_Northeast,cNDC_USA,"""<"""
3,1,cCEN_Midwest,cNDC_USA,"""<"""
4,1,cCEN_South,cNDC_USA,"""<"""
5,1,cCEN_USA,cNDC_USA,"""="""
6,1,cCEN_Midwest,cNDC_Midwest,"""="""
7,1,cCEN_USA,cNDC_Northeast,""">"""
8,1,cCEN_USA,cNDC_West,""">"""
9,1,cCEN_USA,cNDC_Southeast,""">"""
10,1,cCEN_USA,cNDC_Midwest,""">"""
11,1,cCEN_USA,cNDC_Southwest,""">"""
12,1,cCEN_West,cNDC_West,""">"""
13,1,cCEN_South,cNDC_Southeast,""">"""
14,1,cCEN_West,cNDC_Southwest,"""><"""
15,1,cCEN_South,cNDC_Northeast,"""><"""
16,1,cCEN_South,cNDC_Southwest,"""><"""
17,1,cCEN_West,cNDC_Northeast,"""!"""
18,1,cCEN_West,cNDC_Southeast,"""!"""
19,1,cCEN_West,cNDC_Midwest,"""!"""
20,1,cCEN_Northeast,cNDC_West,"""!"""
21,1,cCEN_Northeast,cNDC_Southeast,"""!"""
22,1,cCEN_Northeast,cNDC_Midwest,"""!"""
23,1,cCEN_Northeast,cNDC_Southwest,"""!"""
24,1,cCEN_Midwest,cNDC_Northeast,"""!"""
25,1,cCEN_Midwest,cNDC_West,"""!"""
26,1,cCEN_Midwest,cNDC_Southeast,"""!"""
27,1,cCEN_Midwest,cNDC_Southwest,"""!"""
28,1,cCEN_South,cNDC_West,"""!"""
29,1,cCEN_South,cNDC_Midwest,"""!"""
