,pw,x1,x2
0,1,aCEN_USA,bNDC_USA
1,1,aCEN_Midwest,bNDC_Midwest
2,1,bNDC_Midwest,aCEN_Midwest
3,1,bNDC_USA,aCEN_USA
4,1,bNDC_USA,bNDC_USA
5,1,aCEN_USA,aCEN_USA
6,1,bNDC_West,bNDC_West
7,1,bNDC_Southwest,bNDC_Southwest
8,1,bNDC_Southeast,bNDC_Southeast
9,1,bNDC_Northeast,bNDC_Northeast
10,1,bNDC_Midwest,bNDC_Midwest
11,1,aCEN_West,aCEN_West
12,1,aCEN_South,aCEN_South
13,1,aCEN_Midwest,aCEN_Midwest
14,1,aCEN_Northeast,aCEN_Northeast
15,2,aCEN_USA,bNDC_USA
16,2,aCEN_Midwest,bNDC_Midwest
17,2,bNDC_Midwest,aCEN_Midwest
18,2,bNDC_USA,aCEN_USA
19,2,bNDC_USA,bNDC_USA
20,2,aCEN_USA,aCEN_USA
21,2,bNDC_West,bNDC_West
22,2,bNDC_Southwest,bNDC_Southwest
23,2,bNDC_Southeast,bNDC_Southeast
24,2,bNDC_Northeast,bNDC_Northeast
25,2,bNDC_Midwest,bNDC_Midwest
26,2,aCEN_West,aCEN_West
27,2,aCEN_South,aCEN_South
28,2,aCEN_Midwest,aCEN_Midwest
29,2,aCEN_Northeast,aCEN_Northeast
30,3,aCEN_USA,bNDC_USA
31,3,aCEN_Midwest,bNDC_Midwest
32,3,bNDC_Midwest,aCEN_Midwest
33,3,bNDC_USA,aCEN_USA
34,3,bNDC_USA,bNDC_USA
35,3,aCEN_USA,aCEN_USA
36,3,bNDC_West,bNDC_West
37,3,bNDC_Southwest,bNDC_Southwest
38,3,bNDC_Southeast,bNDC_Southeast
39,3,bNDC_Northeast,bNDC_Northeast
40,3,bNDC_Midwest,bNDC_Midwest
41,3,aCEN_West,aCEN_West
42,3,aCEN_South,aCEN_South
43,3,aCEN_Midwest,aCEN_Midwest
44,3,aCEN_Northeast,aCEN_Northeast
45,4,aCEN_USA,bNDC_USA
46,4,aCEN_Midwest,bNDC_Midwest
47,4,bNDC_Midwest,aCEN_Midwest
48,4,bNDC_USA,aCEN_USA
49,4,bNDC_USA,bNDC_USA
50,4,aCEN_USA,aCEN_USA
51,4,bNDC_West,bNDC_West
52,4,bNDC_Southwest,bNDC_Southwest
53,4,bNDC_Southeast,bNDC_Southeast
54,4,bNDC_Northeast,bNDC_Northeast
55,4,bNDC_Midwest,bNDC_Midwest
56,4,aCEN_West,aCEN_West
57,4,aCEN_South,aCEN_South
58,4,aCEN_Midwest,aCEN_Midwest
59,4,aCEN_Northeast,aCEN_Northeast
60,5,aCEN_USA,bNDC_USA
61,5,aCEN_Midwest,bNDC_Midwest
62,5,bNDC_Midwest,aCEN_Midwest
63,5,bNDC_USA,aCEN_USA
64,5,bNDC_USA,bNDC_USA
65,5,aCEN_USA,aCEN_USA
66,5,bNDC_West,bNDC_West
67,5,bNDC_Southwest,bNDC_Southwest
68,5,bNDC_Southeast,bNDC_Southeast
69,5,bNDC_Northeast,bNDC_Northeast
70,5,bNDC_Midwest,bNDC_Midwest
71,5,aCEN_West,aCEN_West
72,5,aCEN_South,aCEN_South
73,5,aCEN_Midwest,aCEN_Midwest
74,5,aCEN_Northeast,aCEN_Northeast
75,6,aCEN_USA,bNDC_USA
76,6,aCEN_Midwest,bNDC_Midwest
77,6,bNDC_Midwest,aCEN_Midwest
78,6,bNDC_USA,aCEN_USA
79,6,bNDC_USA,bNDC_USA
80,6,aCEN_USA,aCEN_USA
81,6,bNDC_West,bNDC_West
82,6,bNDC_Southwest,bNDC_Southwest
83,6,bNDC_Southeast,bNDC_Southeast
84,6,bNDC_Northeast,bNDC_Northeast
85,6,bNDC_Midwest,bNDC_Midwest
86,6,aCEN_West,aCEN_West
87,6,aCEN_South,aCEN_South
88,6,aCEN_Midwest,aCEN_Midwest
89,6,aCEN_Northeast,aCEN_Northeast
90,7,aCEN_USA,bNDC_USA
91,7,aCEN_Midwest,bNDC_Midwest
92,7,bNDC_Midwest,aCEN_Midwest
93,7,bNDC_USA,aCEN_USA
94,7,bNDC_USA,bNDC_USA
95,7,aCEN_USA,aCEN_USA
96,7,bNDC_West,bNDC_West
97,7,bNDC_Southwest,bNDC_Southwest
98,7,bNDC_Southeast,bNDC_Southeast
99,7,bNDC_Northeast,bNDC_Northeast
100,7,bNDC_Midwest,bNDC_Midwest
101,7,aCEN_West,aCEN_West
102,7,aCEN_South,aCEN_South
103,7,aCEN_Midwest,aCEN_Midwest
104,7,aCEN_Northeast,aCEN_Northeast
105,8,aCEN_USA,bNDC_USA
106,8,aCEN_Midwest,bNDC_Midwest
107,8,bNDC_Midwest,aCEN_Midwest
108,8,bNDC_USA,aCEN_USA
109,8,bNDC_USA,bNDC_USA
110,8,aCEN_USA,aCEN_USA
111,8,bNDC_West,bNDC_West
112,8,bNDC_Southwest,bNDC_Southwest
113,8,bNDC_Southeast,bNDC_Southeast
114,8,bNDC_Northeast,bNDC_Northeast
115,8,bNDC_Midwest,bNDC_Midwest
116,8,aCEN_West,aCEN_West
117,8,aCEN_South,aCEN_South
118,8,aCEN_Midwest,aCEN_Midwest
119,8,aCEN_Northeast,aCEN_Northeast
