,pw,x1,x2
0,1,aCEN_West,bNDC_West
1,1,aCEN_South,bNDC_Southeast
2,1,bNDC_USA,bNDC_West
3,1,bNDC_USA,bNDC_Southwest
4,1,bNDC_USA,bNDC_Southeast
5,1,bNDC_USA,bNDC_Northeast
6,1,bNDC_USA,bNDC_Midwest
7,1,aCEN_USA,aCEN_West
8,1,aCEN_USA,aCEN_South
9,1,aCEN_USA,aCEN_Midwest
10,1,aCEN_USA,aCEN_Northeast
11,1,bNDC_Northeast,aCEN_Northeast
12,1,bNDC_USA,aCEN_West
13,1,bNDC_USA,aCEN_South
14,1,bNDC_USA,aCEN_Midwest
15,1,bNDC_USA,aCEN_Northeast
16,1,aCEN_USA,bNDC_Southeast
17,1,aCEN_USA,bNDC_West
18,1,aCEN_USA,bNDC_Midwest
19,1,aCEN_USA,bNDC_Northeast
20,1,aCEN_USA,bNDC_Southwest
21,2,aCEN_West,bNDC_West
22,2,aCEN_South,bNDC_Southeast
23,2,bNDC_USA,bNDC_West
24,2,bNDC_USA,bNDC_Southwest
25,2,bNDC_USA,bNDC_Southeast
26,2,bNDC_USA,bNDC_Northeast
27,2,bNDC_USA,bNDC_Midwest
28,2,aCEN_USA,aCEN_West
29,2,aCEN_USA,aCEN_South
30,2,aCEN_USA,aCEN_Midwest
31,2,aCEN_USA,aCEN_Northeast
32,2,bNDC_Northeast,aCEN_Northeast
33,2,bNDC_USA,aCEN_West
34,2,bNDC_USA,aCEN_South
35,2,bNDC_USA,aCEN_Midwest
36,2,bNDC_USA,aCEN_Northeast
37,2,aCEN_USA,bNDC_Southeast
38,2,aCEN_USA,bNDC_West
39,2,aCEN_USA,bNDC_Midwest
40,2,aCEN_USA,bNDC_Northeast
41,2,aCEN_USA,bNDC_Southwest
42,3,aCEN_West,bNDC_West
43,3,aCEN_South,bNDC_Southeast
44,3,bNDC_USA,bNDC_West
45,3,bNDC_USA,bNDC_Southwest
46,3,bNDC_USA,bNDC_Southeast
47,3,bNDC_USA,bNDC_Northeast
48,3,bNDC_USA,bNDC_Midwest
49,3,aCEN_USA,aCEN_West
50,3,aCEN_USA,aCEN_South
51,3,aCEN_USA,aCEN_Midwest
52,3,aCEN_USA,aCEN_Northeast
53,3,bNDC_Northeast,aCEN_Northeast
54,3,bNDC_USA,aCEN_West
55,3,bNDC_USA,aCEN_South
56,3,bNDC_USA,aCEN_Midwest
57,3,bNDC_USA,aCEN_Northeast
58,3,aCEN_USA,bNDC_Southeast
59,3,aCEN_USA,bNDC_West
60,3,aCEN_USA,bNDC_Midwest
61,3,aCEN_USA,bNDC_Northeast
62,3,aCEN_USA,bNDC_Southwest
63,4,aCEN_West,bNDC_West
64,4,aCEN_South,bNDC_Southeast
65,4,bNDC_USA,bNDC_West
66,4,bNDC_USA,bNDC_Southwest
67,4,bNDC_USA,bNDC_Southeast
68,4,bNDC_USA,bNDC_Northeast
69,4,bNDC_USA,bNDC_Midwest
70,4,aCEN_USA,aCEN_West
71,4,aCEN_USA,aCEN_South
72,4,aCEN_USA,aCEN_Midwest
73,4,aCEN_USA,aCEN_Northeast
74,4,bNDC_Northeast,aCEN_Northeast
75,4,bNDC_USA,aCEN_West
76,4,bNDC_USA,aCEN_South
77,4,bNDC_USA,aCEN_Midwest
78,4,bNDC_USA,aCEN_Northeast
79,4,aCEN_USA,bNDC_Southeast
80,4,aCEN_USA,bNDC_West
81,4,aCEN_USA,bNDC_Midwest
82,4,aCEN_USA,bNDC_Northeast
83,4,aCEN_USA,bNDC_Southwest
