,pw,x1,x2,x3
0,1,cCEN_Northeast,cNDC_USA,"""<"""
1,1,cCEN_Midwest,cNDC_USA,"""<"""
2,1,cCEN_Midwest,cNDC_Midwest,"""="""
3,1,cCEN_USA,cNDC_West,""">"""
4,1,cCEN_USA,cNDC_Southeast,""">"""
5,1,cCEN_USA,cNDC_Midwest,""">"""
6,1,cCEN_South,cNDC_Southeast,""">"""
7,1,cCEN_West,cNDC_Northeast,"""!"""
8,1,cCEN_West,cNDC_Southeast,"""!"""
9,1,cCEN_West,cNDC_Midwest,"""!"""
10,1,cCEN_Northeast,cNDC_West,"""!"""
11,1,cCEN_Northeast,cNDC_Southeast,"""!"""
12,1,cCEN_Northeast,cNDC_Midwest,"""!"""
13,1,cCEN_Northeast,cNDC_Southwest,"""!"""
14,1,cCEN_Midwest,cNDC_Northeast,"""!"""
15,1,cCEN_Midwest,cNDC_West,"""!"""
16,1,cCEN_Midwest,cNDC_Southeast,"""!"""
17,1,cCEN_Midwest,cNDC_Southwest,"""!"""
18,1,cCEN_South,cNDC_West,"""!"""
19,1,cCEN_South,cNDC_Midwest,"""!"""
20,1,cCEN_West,cNDC_USA,"""<"""
21,1,cCEN_Northeast,cNDC_Northeast,"""<"""
22,1,cCEN_South,cNDC_USA,"""<"""
23,1,cCEN_USA,cNDC_USA,"""="""
24,1,cCEN_USA,cNDC_Northeast,""">"""
25,1,cCEN_USA,cNDC_Southwest,""">"""
26,1,cCEN_West,cNDC_West,""">"""
27,1,cCEN_West,cNDC_Southwest,"""><"""
28,1,cCEN_South,cNDC_Northeast,"""><"""
29,1,cCEN_South,cNDC_Southwest,"""><"""
30,2,cCEN_Northeast,cNDC_USA,"""<"""
31,2,cCEN_Midwest,cNDC_USA,"""<"""
32,2,cCEN_Midwest,cNDC_Midwest,"""="""
33,2,cCEN_USA,cNDC_West,""">"""
34,2,cCEN_USA,cNDC_Southeast,""">"""
35,2,cCEN_USA,cNDC_Midwest,""">"""
36,2,cCEN_South,cNDC_Southeast,""">"""
37,2,cCEN_West,cNDC_Northeast,"""!"""
38,2,cCEN_West,cNDC_Southeast,"""!"""
39,2,cCEN_West,cNDC_Midwest,"""!"""
40,2,cCEN_Northeast,cNDC_West,"""!"""
41,2,cCEN_Northeast,cNDC_Southeast,"""!"""
42,2,cCEN_Northeast,cNDC_Midwest,"""!"""
43,2,cCEN_Northeast,cNDC_Southwest,"""!"""
44,2,cCEN_Midwest,cNDC_Northeast,"""!"""
45,2,cCEN_Midwest,cNDC_West,"""!"""
46,2,cCEN_Midwest,cNDC_Southeast,"""!"""
47,2,cCEN_Midwest,cNDC_Southwest,"""!"""
48,2,cCEN_South,cNDC_West,"""!"""
49,2,cCEN_South,cNDC_Midwest,"""!"""
50,2,cCEN_USA,cNDC_USA,"""<"""
51,2,cCEN_West,cNDC_USA,"""<"""
52,2,cCEN_Northeast,cNDC_Northeast,"""<"""
53,2,cCEN_South,cNDC_USA,"""<"""
54,2,cCEN_USA,cNDC_Northeast,""">"""
55,2,cCEN_West,cNDC_West,""">"""
56,2,cCEN_USA,cNDC_Southwest,"""><"""
