,pw,x1,x2,x3
0,1,1,0,1
1,1,2,0,2
2,1,3,0,3
3,1,4,0,4
4,1,5,0,5
5,1,6,0,0
6,1,7,0,1
7,1,8,0,2
8,1,9,0,3
9,1,10,0,4
10,1,11,0,5
11,1,12,0,0
12,1,13,0,1
13,1,14,0,2
14,1,15,0,3
15,1,16,0,4
16,1,17,0,5
17,1,18,0,0
18,1,19,0,1
19,1,20,0,2
20,1,21,0,3
21,1,22,0,4
22,1,23,0,5
23,1,24,0,0
24,1,25,0,1
25,1,26,0,2
26,1,27,0,3
27,1,28,0,4
28,1,29,0,5
29,1,30,0,0
30,1,31,0,1
31,1,32,0,2
32,1,33,0,3
33,1,34,0,4
34,1,35,0,5
35,1,1,1,0
36,1,2,1,0
37,1,3,1,0
38,1,4,1,0
39,1,5,1,0
40,1,6,1,1
41,1,7,1,1
42,1,8,1,1
43,1,9,1,1
44,1,10,1,1
45,1,11,1,1
46,1,12,1,2
47,1,13,1,2
48,1,14,1,2
49,1,15,1,2
50,1,16,1,2
51,1,17,1,2
52,1,18,1,3
53,1,19,1,3
54,1,20,1,3
55,1,21,1,3
56,1,22,1,3
57,1,23,1,3
58,1,24,1,4
59,1,25,1,4
60,1,26,1,4
61,1,27,1,4
62,1,28,1,4
63,1,29,1,4
64,1,30,1,5
65,1,31,1,5
66,1,32,1,5
67,1,33,1,5
68,1,34,1,5
69,1,35,1,5
70,2,1,0,1
71,2,2,0,2
72,2,3,0,3
73,2,4,0,4
74,2,5,0,5
75,2,6,0,0
76,2,7,0,1
77,2,8,0,2
78,2,9,0,3
79,2,10,0,4
80,2,11,0,5
81,2,12,0,0
82,2,13,0,1
83,2,14,0,2
84,2,15,0,3
85,2,16,0,4
86,2,17,0,5
87,2,18,0,0
88,2,19,0,1
89,2,20,0,2
90,2,21,0,3
91,2,22,0,4
92,2,23,0,5
93,2,24,0,0
94,2,25,0,1
95,2,26,0,2
96,2,27,0,3
97,2,28,0,4
98,2,29,0,5
99,2,30,0,0
100,2,31,0,1
101,2,32,0,2
102,2,33,0,3
103,2,34,0,4
104,2,35,0,5
105,2,1,1,0
106,2,2,1,0
107,2,3,1,0
108,2,4,1,0
109,2,5,1,0
110,2,6,1,1
111,2,7,1,1
