,pw,x1,x2,x3
0,1,cT2_SUV_BMW,0,0
1,1,cT2_Sedan_BMW,0,1
2,1,cT2_Sedan_Audi,0,2
3,1,cT2_Wagon_Audi,0,3
4,1,cT2_SUV_Audi,0,4
5,1,cT1_Wagon_BMW,1,0
6,1,cT1_SUV,1,1
7,1,cT1_Sedan_BMW,1,2
8,1,cT1_Sedan_Audi,1,3
9,1,cT1_Wagon_Audi,1,4
10,2,cT2_SUV_BMW,0,0
11,2,cT2_Sedan_BMW,0,1
12,2,cT2_Sedan_Audi,0,2
13,2,cT2_Wagon_Audi,0,3
14,2,cT2_SUV_Audi,0,4
15,2,cT1_Wagon_BMW,1,0
16,2,cT1_SUV,1,1
17,2,cT1_Sedan_BMW,1,2
18,2,cT1_Sedan_Audi,1,3
19,2,cT1_Wagon_Audi,1,4
20,3,cT2_SUV_BMW,0,0
21,3,cT2_Sedan_BMW,0,1
22,3,cT2_Sedan_Audi,0,2
23,3,cT2_Wagon_Audi,0,3
24,3,cT2_SUV_Audi,0,4
25,3,cT1_Wagon_BMW,1,0
26,3,cT1_SUV,1,1
27,3,cT1_Sedan_BMW,1,2
28,3,cT1_Sedan_Audi,1,3
29,3,cT1_Wagon_Audi,1,4
30,4,cT2_SUV_BMW,0,0
31,4,cT2_Sedan_BMW,0,1
32,4,cT2_Sedan_Audi,0,2
33,4,cT2_Wagon_Audi,0,3
34,4,cT2_SUV_Audi,0,4
35,4,cT1_Wagon_BMW,1,0
36,4,cT1_SUV,1,1
37,4,cT1_Sedan_BMW,1,2
38,4,cT1_Sedan_Audi,1,3
39,4,cT1_Wagon_Audi,1,4
40,5,cT2_SUV_BMW,0,0
41,5,cT2_Sedan_BMW,0,1
42,5,cT2_Sedan_Audi,0,2
43,5,cT2_Wagon_Audi,0,3
44,5,cT2_SUV_Audi,0,4
45,5,cT1_Wagon_BMW,1,0
46,5,cT1_SUV,1,1
47,5,cT1_Sedan_BMW,1,2
48,5,cT1_Sedan_Audi,1,3
49,5,cT1_Wagon_Audi,1,4
50,6,cT2_SUV_BMW,0,0
51,6,cT2_Sedan_BMW,0,1
52,6,cT2_Sedan_Audi,0,2
53,6,cT2_Wagon_Audi,0,3
54,6,cT2_SUV_Audi,0,4
55,6,cT1_Wagon_BMW,1,0
56,6,cT1_SUV,1,1
57,6,cT1_Sedan_BMW,1,2
58,6,cT1_Sedan_Audi,1,3
59,6,cT1_Wagon_Audi,1,4
60,7,cT2_SUV_BMW,0,0
