,pw,x1,x2
0,1,1,r30
1,1,2,r30
2,1,3,r30
3,1,4,r30
4,1,5,r30
5,1,6,r30
6,1,12,r30
7,1,18,r30
8,1,24,r30
9,1,30,r30
10,1,2,r31
11,1,8,r31
12,1,14,r31
13,1,26,r31
14,1,32,r31
15,1,18,r31
16,1,19,r31
17,1,21,r31
18,1,22,r31
19,1,23,r31
20,1,4,r32
21,1,10,r32
22,1,16,r32
23,1,22,r32
24,1,28,r32
25,1,30,r32
26,1,31,r32
27,1,32,r32
28,1,33,r32
29,1,35,r32
30,1,6,r33
31,1,9,r33
32,1,10,r33
33,1,11,r33
34,1,1,1
35,1,2,2
36,1,3,3
37,1,4,4
38,1,5,5
39,1,6,6
40,1,8,8
41,1,9,9
42,1,10,10
43,1,11,11
44,1,12,12
45,1,14,14
46,1,16,16
47,1,18,18
48,1,19,19
49,1,21,21
50,1,22,22
51,1,23,23
52,1,24,24
53,1,26,26
54,1,28,28
55,1,30,30
56,1,31,31
57,1,32,32
58,1,33,33
59,1,35,35
60,1,13,13
61,1,27,27
62,1,29,29
63,2,1,r30
64,2,2,r30
65,2,3,r30
66,2,4,r30
67,2,5,r30
68,2,6,r30
69,2,12,r30
70,2,18,r30
71,2,24,r30
72,2,30,r30
73,2,2,r31
74,2,8,r31
75,2,14,r31
76,2,26,r31
77,2,32,r31
78,2,18,r31
79,2,19,r31
80,2,21,r31
81,2,22,r31
82,2,23,r31
83,2,4,r32
84,2,10,r32
85,2,16,r32
86,2,22,r32
87,2,28,r32
88,2,30,r32
89,2,31,r32
90,2,32,r32
91,2,33,r32
92,2,35,r32
93,2,6,r33
94,2,9,r33
95,2,10,r33
96,2,11,r33
97,2,1,1
98,2,2,2
99,2,3,3
100,2,4,4
101,2,5,5
102,2,6,6
103,2,8,8
104,2,9,9
105,2,10,10
106,2,11,11
107,2,12,12
108,2,14,14
109,2,16,16
110,2,18,18
111,2,19,19
112,2,21,21
113,2,22,22
114,2,23,23
115,2,24,24
116,2,26,26
117,2,28,28
118,2,30,30
119,2,31,31
120,2,32,32
121,2,33,33
122,2,35,35
123,2,27,27
124,2,29,29
125,3,1,r30
126,3,2,r30
127,3,3,r30
128,3,4,r30
129,3,5,r30
130,3,6,r30
131,3,12,r30
132,3,18,r30
133,3,24,r30
134,3,30,r30
135,3,2,r31
136,3,8,r31
137,3,14,r31
138,3,26,r31
139,3,32,r31
140,3,18,r31
141,3,19,r31
142,3,21,r31
143,3,22,r31
144,3,23,r31
145,3,4,r32
146,3,10,r32
147,3,16,r32
148,3,22,r32
149,3,28,r32
150,3,30,r32
151,3,31,r32
152,3,32,r32
153,3,33,r32
154,3,35,r32
155,3,6,r33
156,3,9,r33
157,3,10,r33
158,3,11,r33
159,3,1,1
160,3,2,2
161,3,3,3
162,3,4,4
163,3,5,5
164,3,6,6
165,3,8,8
166,3,9,9
167,3,10,10
168,3,11,11
169,3,12,12
170,3,14,14
171,3,16,16
172,3,18,18
173,3,19,19
174,3,21,21
175,3,22,22
176,3,23,23
177,3,24,24
178,3,26,26
179,3,28,28
180,3,30,30
181,3,31,31
182,3,32,32
183,3,33,33
184,3,35,35
185,3,13,13
186,3,17,17
187,3,25,25
188,3,27,27
189,4,1,r30
190,4,2,r30
191,4,3,r30
192,4,4,r30
193,4,5,r30
194,4,6,r30
195,4,12,r30
196,4,18,r30
197,4,24,r30
198,4,30,r30
199,4,2,r31
200,4,8,r31
201,4,14,r31
202,4,26,r31
203,4,32,r31
204,4,18,r31
205,4,19,r31
206,4,21,r31
207,4,22,r31
208,4,23,r31
209,4,4,r32
210,4,10,r32
211,4,16,r32
212,4,22,r32
213,4,28,r32
214,4,30,r32
215,4,31,r32
216,4,32,r32
217,4,33,r32
218,4,35,r32
219,4,6,r33
220,4,9,r33
221,4,10,r33
222,4,11,r33
223,4,1,1
224,4,2,2
225,4,3,3
226,4,4,4
227,4,5,5
228,4,6,6
229,4,8,8
230,4,9,9
231,4,10,10
232,4,11,11
233,4,12,12
234,4,14,14
235,4,16,16
236,4,18,18
237,4,19,19
238,4,21,21
239,4,22,22
240,4,23,23
241,4,24,24
242,4,26,26
243,4,28,28
244,4,30,30
245,4,31,31
246,4,32,32
247,4,33,33
248,4,35,35
249,4,17,17
250,4,25,25
251,4,27,27
252,5,1,r30
253,5,2,r30
254,5,3,r30
255,5,4,r30
256,5,5,r30
257,5,6,r30
258,5,12,r30
259,5,18,r30
260,5,24,r30
261,5,30,r30
262,5,2,r31
263,5,8,r31
264,5,14,r31
265,5,26,r31
266,5,32,r31
267,5,18,r31
268,5,19,r31
269,5,21,r31
270,5,22,r31
271,5,23,r31
272,5,4,r32
273,5,10,r32
274,5,16,r32
275,5,22,r32
276,5,28,r32
277,5,30,r32
278,5,31,r32
279,5,32,r32
280,5,33,r32
281,5,35,r32
282,5,6,r33
283,5,9,r33
284,5,10,r33
285,5,11,r33
286,5,1,1
287,5,2,2
288,5,3,3
289,5,4,4
290,5,5,5
291,5,6,6
292,5,8,8
293,5,9,9
294,5,10,10
295,5,11,11
296,5,12,12
297,5,14,14
298,5,16,16
299,5,18,18
300,5,19,19
301,5,21,21
302,5,22,22
303,5,23,23
304,5,24,24
305,5,26,26
306,5,28,28
307,5,30,30
308,5,31,31
309,5,32,32
310,5,33,33
311,5,35,35
312,5,13,13
313,5,17,17
314,5,27,27
315,6,1,r30
316,6,2,r30
317,6,3,r30
318,6,4,r30
319,6,5,r30
320,6,6,r30
321,6,12,r30
322,6,18,r30
323,6,24,r30
324,6,30,r30
325,6,2,r31
326,6,8,r31
327,6,14,r31
328,6,26,r31
329,6,32,r31
330,6,18,r31
331,6,19,r31
332,6,21,r31
333,6,22,r31
334,6,23,r31
335,6,4,r32
336,6,10,r32
337,6,16,r32
338,6,22,r32
339,6,28,r32
340,6,30,r32
341,6,31,r32
342,6,32,r32
343,6,33,r32
344,6,35,r32
345,6,6,r33
346,6,9,r33
347,6,10,r33
348,6,11,r33
349,6,1,1
350,6,2,2
351,6,3,3
352,6,4,4
353,6,5,5
354,6,6,6
355,6,8,8
356,6,9,9
357,6,10,10
358,6,11,11
359,6,12,12
360,6,14,14
361,6,16,16
362,6,18,18
363,6,19,19
364,6,21,21
365,6,22,22
366,6,23,23
367,6,24,24
368,6,26,26
369,6,28,28
370,6,30,30
371,6,31,31
372,6,32,32
373,6,33,33
374,6,35,35
375,6,17,17
376,6,27,27
377,7,1,r30
378,7,2,r30
379,7,3,r30
380,7,4,r30
381,7,5,r30
382,7,6,r30
383,7,12,r30
384,7,18,r30
385,7,24,r30
386,7,30,r30
387,7,2,r31
388,7,8,r31
389,7,14,r31
390,7,26,r31
391,7,32,r31
392,7,18,r31
393,7,19,r31
394,7,21,r31
395,7,22,r31
396,7,23,r31
397,7,4,r32
398,7,10,r32
399,7,16,r32
400,7,22,r32
401,7,28,r32
402,7,30,r32
403,7,31,r32
404,7,32,r32
405,7,33,r32
406,7,35,r32
407,7,6,r33
408,7,9,r33
409,7,10,r33
410,7,11,r33
411,7,1,1
412,7,2,2
413,7,3,3
414,7,4,4
415,7,5,5
416,7,6,6
417,7,8,8
418,7,9,9
419,7,10,10
420,7,11,11
421,7,12,12
422,7,14,14
423,7,16,16
424,7,18,18
425,7,19,19
426,7,21,21
427,7,22,22
428,7,23,23
