,pw,x1
0,1,1
1,1,2
2,1,3
3,1,4
4,1,5
5,1,6
6,1,7
7,1,8
8,1,9
9,1,10
10,1,11
11,1,12
12,1,13
13,1,14
14,1,15
15,1,16
16,1,17
17,1,18
18,1,19
19,1,20
20,1,21
21,1,22
22,1,23
23,1,24
24,1,25
25,1,26
26,1,27
27,1,28
28,1,29
29,1,30
30,1,31
31,1,32
32,1,33
33,1,34
34,1,35
35,2,1
36,2,2
37,2,3
38,2,4
39,2,5
40,2,6
41,2,7
42,2,8
43,2,9
44,2,10
45,2,11
46,2,12
47,2,13
48,2,14
49,2,15
50,2,16
51,2,17
52,2,18
53,2,19
54,2,20
55,2,21
56,2,22
57,2,23
58,2,24
59,2,25
60,2,26
61,2,27
62,2,28
63,2,29
64,2,30
65,2,31
66,2,32
67,2,33
68,2,34
69,2,35
70,3,1
71,3,2
72,3,3
73,3,4
74,3,5
75,3,6
76,3,7
77,3,8
78,3,9
79,3,10
80,3,11
81,3,12
82,3,13
83,3,14
84,3,15
85,3,16
86,3,17
87,3,18
88,3,19
89,3,20
90,3,21
91,3,22
92,3,23
93,3,24
94,3,25
95,3,26
96,3,27
97,3,28
98,3,29
99,3,30
100,3,31
101,3,32
102,3,33
103,3,34
104,3,35
105,4,1
106,4,2
107,4,3
108,4,4
109,4,5
110,4,6
111,4,7
112,4,8
113,4,9
114,4,10
115,4,11
116,4,12
117,4,13
118,4,14
119,4,15
120,4,16
121,4,17
122,4,18
123,4,19
124,4,20
125,4,21
126,4,22
127,4,23
128,4,24
129,4,25
130,4,26
131,4,27
132,4,28
133,4,29
134,4,30
135,4,31
136,4,32
137,4,33
138,4,34
139,4,35
140,5,1
141,5,2
142,5,3
143,5,4
144,5,5
145,5,6
146,5,7
147,5,8
148,5,9
149,5,10
150,5,11
151,5,12
152,5,13
153,5,14
154,5,15
155,5,16
156,5,17
157,5,18
158,5,19
159,5,20
160,5,21
161,5,22
162,5,23
163,5,24
164,5,25
165,5,26
166,5,27
167,5,28
168,5,29
169,5,30
170,5,31
171,5,32
172,5,33
173,5,34
174,5,35
175,6,1
176,6,2
177,6,3
178,6,4
179,6,5
180,6,6
181,6,7
182,6,8
183,6,9
184,6,10
185,6,11
186,6,12
187,6,13
188,6,14
189,6,15
190,6,16
191,6,17
192,6,18
193,6,19
194,6,20
195,6,21
196,6,22
197,6,23
198,6,24
199,6,25
200,6,26
201,6,27
202,6,28
203,6,29
204,6,30
205,6,31
206,6,32
207,6,33
208,6,34
209,6,35
210,7,1
211,7,2
212,7,3
213,7,4
214,7,5
215,7,6
216,7,7
