,pw,x1,x2,x3
0,1,cT2_BMW,cT1_Automobile,"""<"""
1,1,cT2_Audi,cT1_Automobile,"""<"""
2,1,cT2_SUV_BMW,cT1_Automobile,"""<"""
3,1,cT2_Sedan_BMW,cT1_Automobile,"""<"""
4,1,cT2_Wagon_Audi,cT1_Wagon,"""<"""
5,1,cT2_Wagon_Audi,cT1_Automobile,"""<"""
6,1,cT2_Automobile,cT1_Automobile,"""="""
7,1,cT2_Sedan_BMW,cT1_Sedan_BMW,"""="""
8,1,cT2_Wagon_Audi,cT1_Wagon_Audi,"""="""
9,1,cT2_Automobile,cT1_Wagon_BMW,""">"""
10,1,cT2_Automobile,cT1_Wagon,""">"""
11,1,cT2_Automobile,cT1_Sedan_BMW,""">"""
12,1,cT2_Automobile,cT1_Sedan,""">"""
13,1,cT2_Automobile,cT1_Wagon_Audi,""">"""
14,1,cT2_BMW,cT1_Wagon_BMW,""">"""
15,1,cT2_BMW,cT1_Sedan_BMW,""">"""
16,1,cT2_BMW,cT1_Wagon,"""><"""
17,1,cT2_BMW,cT1_Wagon_Audi,"""!"""
18,1,cT2_Audi,cT1_Sedan_BMW,"""!"""
19,1,cT2_Audi,cT1_Wagon_BMW,"""!"""
20,1,cT2_SUV_BMW,cT1_Sedan_BMW,"""!"""
21,1,cT2_SUV_BMW,cT1_Wagon_Audi,"""!"""
22,1,cT2_Sedan_BMW,cT1_Wagon_BMW,"""!"""
23,1,cT2_Sedan_BMW,cT1_Wagon,"""!"""
24,1,cT2_Sedan_BMW,cT1_Wagon_Audi,"""!"""
25,1,cT2_Wagon_Audi,cT1_Wagon_BMW,"""!"""
26,1,cT2_Wagon_Audi,cT1_Sedan_BMW,"""!"""
27,1,cT2_Wagon_Audi,cT1_Sedan,"""!"""
28,1,cT2_Sedan_BMW,cT1_Sedan,"""<"""
29,1,cT2_Sedan_Audi,cT1_Automobile,"""<"""
30,1,cT2_Sedan_Audi,cT1_SUV,"""<"""
31,1,cT2_SUV_Audi,cT1_Automobile,"""<"""
32,1,cT2_SUV_Audi,cT1_SUV,"""<"""
33,1,cT2_Automobile,cT1_SUV,""">"""
34,1,cT2_Automobile,cT1_Sedan_Audi,""">"""
35,1,cT2_BMW,cT1_Sedan,""">"""
36,1,cT2_BMW,cT1_Sedan_Audi,""">"""
37,1,cT2_Audi,cT1_SUV,""">"""
38,1,cT2_Audi,cT1_Wagon_Audi,""">"""
39,1,cT2_SUV_BMW,cT1_Wagon_BMW,""">"""
40,1,cT2_SUV_BMW,cT1_Sedan_Audi,""">"""
41,1,cT2_Audi,cT1_Wagon,"""><"""
42,1,cT2_SUV_BMW,cT1_Sedan,"""><"""
43,1,cT2_SUV_BMW,cT1_Wagon,"""><"""
44,1,cT2_BMW,cT1_SUV,"""!"""
45,1,cT2_Audi,cT1_Sedan_Audi,"""!"""
46,1,cT2_Audi,cT1_Sedan,"""!"""
47,1,cT2_SUV_BMW,cT1_SUV,"""!"""
48,1,cT2_Sedan_BMW,cT1_SUV,"""!"""
49,1,cT2_Sedan_BMW,cT1_Sedan_Audi,"""!"""
50,1,cT2_Sedan_Audi,cT1_Wagon_BMW,"""!"""
51,1,cT2_Sedan_Audi,cT1_Wagon,"""!"""
52,1,cT2_Sedan_Audi,cT1_Sedan_BMW,"""!"""
53,1,cT2_Sedan_Audi,cT1_Sedan,"""!"""
54,1,cT2_Sedan_Audi,cT1_Sedan_Audi,"""!"""
55,1,cT2_Sedan_Audi,cT1_Wagon_Audi,"""!"""
56,1,cT2_Wagon_Audi,cT1_SUV,"""!"""
57,1,cT2_Wagon_Audi,cT1_Sedan_Audi,"""!"""
58,1,cT2_SUV_Audi,cT1_Wagon_BMW,"""!"""
59,1,cT2_SUV_Audi,cT1_Wagon,"""!"""
60,1,cT2_SUV_Audi,cT1_Sedan_BMW,"""!"""
61,1,cT2_SUV_Audi,cT1_Sedan,"""!"""
62,1,cT2_SUV_Audi,cT1_Sedan_Audi,"""!"""
63,1,cT2_SUV_Audi,cT1_Wagon_Audi,"""!"""
64,2,cT2_BMW,cT1_Automobile,"""<"""
65,2,cT2_Audi,cT1_Automobile,"""<"""
66,2,cT2_SUV_BMW,cT1_Automobile,"""<"""
67,2,cT2_Sedan_BMW,cT1_Automobile,"""<"""
68,2,cT2_Wagon_Audi,cT1_Wagon,"""<"""
69,2,cT2_Wagon_Audi,cT1_Automobile,"""<"""
70,2,cT2_Automobile,cT1_Automobile,"""="""
71,2,cT2_Sedan_BMW,cT1_Sedan_BMW,"""="""
72,2,cT2_Wagon_Audi,cT1_Wagon_Audi,"""="""
73,2,cT2_Automobile,cT1_Wagon_BMW,""">"""
74,2,cT2_Automobile,cT1_Wagon,""">"""
75,2,cT2_Automobile,cT1_Sedan_BMW,""">"""
76,2,cT2_Automobile,cT1_Sedan,""">"""
77,2,cT2_Automobile,cT1_Wagon_Audi,""">"""
78,2,cT2_BMW,cT1_Wagon_BMW,""">"""
79,2,cT2_BMW,cT1_Sedan_BMW,""">"""
80,2,cT2_BMW,cT1_Wagon,"""><"""
81,2,cT2_BMW,cT1_Wagon_Audi,"""!"""
82,2,cT2_Audi,cT1_Sedan_BMW,"""!"""
83,2,cT2_Audi,cT1_Wagon_BMW,"""!"""
84,2,cT2_SUV_BMW,cT1_Sedan_BMW,"""!"""
85,2,cT2_SUV_BMW,cT1_Wagon_Audi,"""!"""
86,2,cT2_Sedan_BMW,cT1_Wagon_BMW,"""!"""
87,2,cT2_Sedan_BMW,cT1_Wagon,"""!"""
88,2,cT2_Sedan_BMW,cT1_Wagon_Audi,"""!"""
