,pw,x1
0,1,cT1_Wagon_not_cT2_SUV_BMW
1,1,cT1_Wagon__cT2_SUV_BMW
2,1,not_cT1_Wagon__cT2_SUV_BMW
3,1,cT1_Wagon_not_cT2_BMW
4,1,cT1_Wagon__cT2_BMW
5,1,not_cT1_Wagon__cT2_BMW
6,1,cT1_Wagon_not_cT2_Audi
7,1,cT1_Wagon__cT2_Audi
8,1,not_cT1_Wagon__cT2_Audi
9,1,cT1_SUV_not_cT2_SUV_BMW
10,1,cT1_SUV__cT2_SUV_BMW
11,1,not_cT1_SUV__cT2_SUV_BMW
12,1,cT1_SUV_not_cT2_BMW
13,1,cT1_SUV__cT2_BMW
14,1,not_cT1_SUV__cT2_BMW
15,1,cT1_SUV_not_cT2_Sedan_Audi
16,1,cT1_SUV__cT2_Sedan_Audi
17,1,not_cT1_SUV__cT2_Sedan_Audi
18,1,cT1_SUV_not_cT2_SUV_Audi
19,1,cT1_SUV__cT2_SUV_Audi
20,1,not_cT1_SUV__cT2_SUV_Audi
21,1,cT1_SUV_not_cT2_Audi
22,1,cT1_SUV__cT2_Audi
23,1,not_cT1_SUV__cT2_Audi
24,1,cT1_Sedan_not_cT2_SUV_BMW
25,1,cT1_Sedan__cT2_SUV_BMW
26,1,not_cT1_Sedan__cT2_SUV_BMW
27,1,cT1_Sedan_not_cT2_BMW
28,1,cT1_Sedan__cT2_BMW
29,1,not_cT1_Sedan__cT2_BMW
30,1,cT1_Sedan_not_cT2_Sedan_Audi
31,1,cT1_Sedan__cT2_Sedan_Audi
32,1,not_cT1_Sedan__cT2_Sedan_Audi
33,1,cT1_Sedan_not_cT2_SUV_Audi
34,1,cT1_Sedan__cT2_SUV_Audi
35,1,not_cT1_Sedan__cT2_SUV_Audi
36,1,cT1_Sedan_not_cT2_Audi
37,1,cT1_Sedan__cT2_Audi
38,1,not_cT1_Sedan__cT2_Audi
39,1,cT1_Sedan_Audi_not_cT2_SUV_BMW
40,1,cT1_Sedan_Audi__cT2_SUV_BMW
41,1,not_cT1_Sedan_Audi__cT2_SUV_BMW
42,1,cT1_Sedan_Audi_not_cT2_BMW
43,1,cT1_Sedan_Audi__cT2_BMW
44,1,not_cT1_Sedan_Audi__cT2_BMW
45,1,cT1_Sedan_Audi_not_cT2_Sedan_Audi
46,1,cT1_Sedan_Audi__cT2_Sedan_Audi
47,1,not_cT1_Sedan_Audi__cT2_Sedan_Audi
48,1,cT1_Sedan_Audi_not_cT2_SUV_Audi
49,1,cT1_Sedan_Audi__cT2_SUV_Audi
50,1,not_cT1_Sedan_Audi__cT2_SUV_Audi
51,1,cT1_Sedan_Audi_not_cT2_Audi
52,1,cT1_Sedan_Audi__cT2_Audi
53,1,not_cT1_Sedan_Audi__cT2_Audi
54,2,cT1_Wagon_not_cT2_SUV_BMW
55,2,cT1_Wagon__cT2_SUV_BMW
56,2,not_cT1_Wagon__cT2_SUV_BMW
57,2,cT1_Wagon_not_cT2_BMW
58,2,cT1_Wagon__cT2_BMW
59,2,not_cT1_Wagon__cT2_BMW
60,2,cT1_Wagon_not_cT2_Audi
61,2,cT1_Wagon__cT2_Audi
62,2,not_cT1_Wagon__cT2_Audi
63,2,cT1_SUV_not_cT2_SUV_BMW
64,2,cT1_SUV__cT2_SUV_BMW
65,2,not_cT1_SUV__cT2_SUV_BMW
66,2,cT1_SUV_not_cT2_BMW
67,2,cT1_SUV__cT2_BMW
