,pw,x1,x2
0,1,cT2_Automobile,1
1,1,cT2_BMW,1
2,1,cT2_Audi,1
3,1,cT2_SUV_BMW,1
4,1,cT2_Sedan_BMW,1
5,1,cT2_Sedan_Audi,1
6,1,cT2_Wagon_Audi,1
7,1,cT2_SUV_Audi,1
8,1,cT1_Wagon,1
9,1,cT1_Automobile,1
10,1,cT1_Sedan,1
11,1,cT1_Wagon_BMW,1
12,1,cT1_SUV,1
13,1,cT1_Sedan_BMW,1
14,1,cT1_Sedan_Audi,1
15,1,cT1_Wagon_Audi,1
16,1,cT2_Automobile,2
17,1,cT2_BMW,2
18,1,cT2_Audi,2
19,1,cT2_SUV_BMW,2
20,1,cT2_Sedan_BMW,2
21,1,cT2_Sedan_Audi,2
22,1,cT2_Wagon_Audi,2
23,1,cT2_SUV_Audi,2
24,1,cT1_Wagon,2
25,1,cT1_Automobile,2
26,1,cT1_Sedan,2
27,1,cT1_Wagon_BMW,2
28,1,cT1_SUV,2
29,1,cT1_Sedan_BMW,2
30,1,cT1_Sedan_Audi,2
31,1,cT1_Wagon_Audi,2
32,1,cT1_Wagon_not_cT2_BMW,1
33,1,cT1_Wagon__cT2_BMW,1
34,1,not_cT1_Wagon__cT2_BMW,1
35,1,cT1_Wagon_not_cT2_BMW,2
36,1,cT1_Wagon__cT2_BMW,2
37,1,not_cT1_Wagon__cT2_BMW,2
38,1,cT1_SUV_not_cT2_SUV_BMW,0
39,1,cT1_SUV__cT2_SUV_BMW,0
40,1,not_cT1_SUV__cT2_SUV_BMW,0
41,1,cT1_SUV_not_cT2_BMW,0
42,1,cT1_SUV__cT2_BMW,0
43,1,not_cT1_SUV__cT2_BMW,0
44,1,cT1_SUV_not_cT2_Sedan_Audi,0
45,1,cT1_SUV__cT2_Sedan_Audi,0
46,1,not_cT1_SUV__cT2_Sedan_Audi,0
47,1,cT1_SUV_not_cT2_SUV_Audi,0
48,1,cT1_SUV__cT2_SUV_Audi,0
49,1,not_cT1_SUV__cT2_SUV_Audi,0
50,1,cT1_SUV_not_cT2_Audi,0
51,1,cT1_SUV__cT2_Audi,0
52,1,not_cT1_SUV__cT2_Audi,0
53,1,cT1_Sedan_not_cT2_BMW,0
54,1,cT1_Sedan__cT2_BMW,0
55,1,not_cT1_Sedan__cT2_BMW,0
56,1,cT1_Sedan_not_cT2_Sedan_Audi,0
57,1,cT1_Sedan__cT2_Sedan_Audi,0
58,1,not_cT1_Sedan__cT2_Sedan_Audi,0
59,1,cT1_Sedan_not_cT2_SUV_Audi,0
60,1,cT1_Sedan__cT2_SUV_Audi,0
61,1,not_cT1_Sedan__cT2_SUV_Audi,0
62,1,cT1_Sedan_not_cT2_Audi,0
63,1,cT1_Sedan__cT2_Audi,0
64,1,not_cT1_Sedan__cT2_Audi,0
65,1,cT1_Sedan_Audi_not_cT2_SUV_BMW,0
66,1,cT1_Sedan_Audi__cT2_SUV_BMW,0
67,1,not_cT1_Sedan_Audi__cT2_SUV_BMW,0
68,1,cT1_Sedan_Audi_not_cT2_BMW,0
69,1,cT1_Sedan_Audi__cT2_BMW,0
70,1,not_cT1_Sedan_Audi__cT2_BMW,0
71,1,cT1_Sedan_Audi_not_cT2_Sedan_Audi,0
72,1,cT1_Sedan_Audi__cT2_Sedan_Audi,0
73,1,not_cT1_Sedan_Audi__cT2_Sedan_Audi,0
74,1,cT1_Sedan_Audi_not_cT2_SUV_Audi,0
75,1,cT1_Sedan_Audi__cT2_SUV_Audi,0
76,1,not_cT1_Sedan_Audi__cT2_SUV_Audi,0
77,1,cT1_Sedan_Audi_not_cT2_Audi,0
78,1,cT1_Sedan_Audi__cT2_Audi,0
79,1,not_cT1_Sedan_Audi__cT2_Audi,0
80,1,cT1_Wagon_not_cT2_SUV_BMW,1
81,1,cT1_Wagon__cT2_SUV_BMW,1
82,1,not_cT1_Wagon__cT2_SUV_BMW,1
83,1,cT1_Wagon_not_cT2_Audi,1
84,1,cT1_Wagon__cT2_Audi,1
85,1,not_cT1_Wagon__cT2_Audi,1
86,1,cT1_Sedan_not_cT2_SUV_BMW,1
87,1,cT1_Sedan__cT2_SUV_BMW,1
88,1,not_cT1_Sedan__cT2_SUV_BMW,1
89,1,cT1_Wagon_not_cT2_SUV_BMW,2
90,1,cT1_Wagon__cT2_SUV_BMW,2
91,1,not_cT1_Wagon__cT2_SUV_BMW,2
92,1,cT1_Wagon_not_cT2_Audi,2
93,1,cT1_Wagon__cT2_Audi,2
94,1,not_cT1_Wagon__cT2_Audi,2
95,1,cT1_Sedan_not_cT2_SUV_BMW,2
96,1,cT1_Sedan__cT2_SUV_BMW,2
97,1,not_cT1_Sedan__cT2_SUV_BMW,2
98,2,cT2_Automobile,1
99,2,cT2_BMW,1
100,2,cT2_Audi,1
101,2,cT2_SUV_BMW,1
102,2,cT2_Sedan_BMW,1
103,2,cT2_Sedan_Audi,1
104,2,cT2_Wagon_Audi,1
105,2,cT2_SUV_Audi,1
106,2,cT1_Wagon,1
107,2,cT1_Automobile,1
108,2,cT1_Sedan,1
109,2,cT1_Wagon_BMW,1
110,2,cT1_SUV,1
111,2,cT1_Sedan_BMW,1
112,2,cT1_Sedan_Audi,1
113,2,cT1_Wagon_Audi,1
114,2,cT2_Automobile,2
115,2,cT2_BMW,2
116,2,cT2_Audi,2
117,2,cT2_SUV_BMW,2
118,2,cT2_Sedan_BMW,2
119,2,cT2_Sedan_Audi,2
120,2,cT2_Wagon_Audi,2
121,2,cT2_SUV_Audi,2
