,pw,x1,x2,x3
0,1,cT2_Automobile,1,0
1,1,cT2_BMW,1,0
2,1,cT2_Audi,1,0
3,1,cT2_SUV_BMW,1,0
4,1,cT2_Sedan_BMW,1,0
5,1,cT2_Wagon_Audi,1,0
6,1,cT1_Wagon,1,1
7,1,cT1_Automobile,1,1
8,1,cT1_Sedan,1,1
9,1,cT1_Wagon_BMW,1,1
10,1,cT1_Sedan_BMW,1,1
11,1,cT1_Wagon_Audi,1,1
12,1,cT2_Sedan_Audi,1,0
13,1,cT2_SUV_Audi,1,0
14,1,cT1_SUV,1,1
15,1,cT1_Sedan_Audi,1,1
16,2,cT2_Automobile,1,0
17,2,cT2_BMW,1,0
18,2,cT2_Audi,1,0
19,2,cT2_SUV_BMW,1,0
20,2,cT2_Sedan_BMW,1,0
21,2,cT2_Wagon_Audi,1,0
22,2,cT1_Wagon,1,1
23,2,cT1_Automobile,1,1
24,2,cT1_Sedan,1,1
25,2,cT1_Wagon_BMW,1,1
26,2,cT1_Sedan_BMW,1,1
27,2,cT1_Wagon_Audi,1,1
28,2,cT2_Sedan_Audi,1,0
29,2,cT2_SUV_Audi,1,0
30,2,cT1_SUV,1,1
31,2,cT1_Sedan_Audi,1,1
32,3,cT2_Automobile,1,0
33,3,cT2_BMW,1,0
34,3,cT2_Audi,1,0
35,3,cT2_SUV_BMW,1,0
36,3,cT2_Sedan_BMW,1,0
37,3,cT2_Wagon_Audi,1,0
38,3,cT1_Wagon,1,1
39,3,cT1_Automobile,1,1
40,3,cT1_Sedan,1,1
41,3,cT1_Wagon_BMW,1,1
42,3,cT1_Sedan_BMW,1,1
43,3,cT1_Wagon_Audi,1,1
44,3,cT2_Sedan_Audi,1,0
45,3,cT2_SUV_Audi,1,0
46,3,cT1_SUV,1,1
47,3,cT1_Sedan_Audi,1,1
48,4,cT2_Automobile,1,0
49,4,cT2_BMW,1,0
50,4,cT2_Audi,1,0
51,4,cT2_SUV_BMW,1,0
52,4,cT2_Sedan_BMW,1,0
53,4,cT2_Wagon_Audi,1,0
54,4,cT1_Wagon,1,1
55,4,cT1_Automobile,1,1
56,4,cT1_Sedan,1,1
57,4,cT1_Wagon_BMW,1,1
58,4,cT1_Sedan_BMW,1,1
59,4,cT1_Wagon_Audi,1,1
60,4,cT2_Sedan_Audi,1,0
61,4,cT2_SUV_Audi,1,0
62,4,cT1_SUV,1,1
63,4,cT1_Sedan_Audi,1,1
64,5,cT2_Automobile,1,0
65,5,cT2_BMW,1,0
66,5,cT2_Audi,1,0
67,5,cT2_SUV_BMW,1,0
68,5,cT2_Sedan_BMW,1,0
69,5,cT2_Wagon_Audi,1,0
70,5,cT1_Wagon,1,1
71,5,cT1_Automobile,1,1
72,5,cT1_Sedan,1,1
73,5,cT1_Wagon_BMW,1,1
74,5,cT1_Sedan_BMW,1,1
75,5,cT1_Wagon_Audi,1,1
76,5,cT2_Sedan_Audi,1,0
77,5,cT2_SUV_Audi,1,0
78,5,cT1_SUV,1,1
79,5,cT1_Sedan_Audi,1,1
80,6,cT2_Automobile,1,0
81,6,cT2_BMW,1,0
82,6,cT2_Audi,1,0
83,6,cT2_SUV_BMW,1,0
84,6,cT2_Sedan_BMW,1,0
85,6,cT2_Wagon_Audi,1,0
86,6,cT1_Wagon,1,1
87,6,cT1_Automobile,1,1
88,6,cT1_Sedan,1,1
89,6,cT1_Wagon_BMW,1,1
90,6,cT1_Sedan_BMW,1,1
91,6,cT1_Wagon_Audi,1,1
92,6,cT2_Sedan_Audi,1,0
93,6,cT2_SUV_Audi,1,0
94,6,cT1_SUV,1,1
95,6,cT1_Sedan_Audi,1,1
96,7,cT2_Automobile,1,0
97,7,cT2_BMW,1,0
98,7,cT2_Audi,1,0
99,7,cT2_SUV_BMW,1,0
100,7,cT2_Sedan_BMW,1,0
101,7,cT2_Wagon_Audi,1,0
102,7,cT1_Wagon,1,1
103,7,cT1_Automobile,1,1
104,7,cT1_Sedan,1,1
105,7,cT1_Wagon_BMW,1,1
106,7,cT1_Sedan_BMW,1,1
107,7,cT1_Wagon_Audi,1,1
108,7,cT2_Sedan_Audi,1,0
109,7,cT2_SUV_Audi,1,0
110,7,cT1_SUV,1,1
111,7,cT1_Sedan_Audi,1,1
112,8,cT2_Automobile,1,0
113,8,cT2_BMW,1,0
114,8,cT2_Audi,1,0
115,8,cT2_SUV_BMW,1,0
116,8,cT2_Sedan_BMW,1,0
117,8,cT2_Wagon_Audi,1,0
118,8,cT1_Wagon,1,1
119,8,cT1_Automobile,1,1
120,8,cT1_Sedan,1,1
121,8,cT1_Wagon_BMW,1,1
122,8,cT1_Sedan_BMW,1,1
123,8,cT1_Wagon_Audi,1,1
