,pw,x1,x2
0,1,cT2_SUV_BMW,1
1,1,cT2_SUV_BMW,7
2,1,cT2_SUV_BMW,13
3,1,cT2_SUV_BMW,19
4,1,cT2_SUV_BMW,25
5,1,cT2_SUV_BMW,31
6,1,cT2_Sedan_BMW,2
7,1,cT2_Sedan_BMW,8
8,1,cT2_Sedan_BMW,14
9,1,cT2_Sedan_BMW,20
10,1,cT2_Sedan_BMW,26
11,1,cT2_Sedan_BMW,32
12,1,cT2_Sedan_Audi,3
13,1,cT2_Sedan_Audi,9
14,1,cT2_Sedan_Audi,15
15,1,cT2_Sedan_Audi,21
16,1,cT2_Sedan_Audi,27
17,1,cT2_Sedan_Audi,33
18,1,cT2_Wagon_Audi,4
19,1,cT2_Wagon_Audi,10
20,1,cT2_Wagon_Audi,16
21,1,cT2_Wagon_Audi,22
22,1,cT2_Wagon_Audi,28
23,1,cT2_Wagon_Audi,34
24,1,cT2_SUV_Audi,5
25,1,cT2_SUV_Audi,11
26,1,cT2_SUV_Audi,17
27,1,cT2_SUV_Audi,23
28,1,cT2_SUV_Audi,29
29,1,cT2_SUV_Audi,35
30,1,cT1_Wagon_BMW,6
31,1,cT1_Wagon_BMW,7
32,1,cT1_Wagon_BMW,8
33,1,cT1_Wagon_BMW,9
34,1,cT1_Wagon_BMW,10
35,1,cT1_Wagon_BMW,11
36,1,cT1_SUV,12
37,1,cT1_SUV,13
38,1,cT1_SUV,14
39,1,cT1_SUV,15
40,1,cT1_SUV,16
41,1,cT1_SUV,17
42,1,cT1_Sedan_BMW,18
43,1,cT1_Sedan_BMW,19
44,1,cT1_Sedan_BMW,20
45,1,cT1_Sedan_BMW,21
46,1,cT1_Sedan_BMW,22
47,1,cT1_Sedan_BMW,23
48,1,cT1_Sedan_Audi,24
49,1,cT1_Sedan_Audi,25
50,1,cT1_Sedan_Audi,26
51,1,cT1_Sedan_Audi,27
52,1,cT1_Sedan_Audi,28
53,1,cT1_Sedan_Audi,29
54,1,cT1_Wagon_Audi,30
55,1,cT1_Wagon_Audi,31
56,1,cT1_Wagon_Audi,32
57,1,cT1_Wagon_Audi,33
58,1,cT1_Wagon_Audi,34
59,1,cT1_Wagon_Audi,35
60,1,not_cT1_SUV__cT2_SUV_Audi,35
61,1,not_cT1_Sedan_Audi__cT2_SUV_Audi,35
62,1,not_cT1_SUV__cT2_SUV_Audi,29
63,1,not_cT1_SUV__cT2_SUV_Audi,23
64,1,not_cT1_Sedan_Audi__cT2_SUV_Audi,23
65,1,not_cT1_Sedan_Audi__cT2_SUV_Audi,17
66,1,not_cT1_SUV__cT2_SUV_Audi,11
67,1,not_cT1_Sedan_Audi__cT2_SUV_Audi,11
68,1,not_cT1_SUV__cT2_SUV_Audi,5
69,1,not_cT1_Sedan_Audi__cT2_SUV_Audi,5
70,1,not_cT1_SUV__cT2_Sedan_Audi,33
71,1,not_cT1_Sedan_Audi__cT2_Sedan_Audi,33
72,1,not_cT1_SUV__cT2_Sedan_Audi,27
73,1,not_cT1_SUV__cT2_Sedan_Audi,21
74,1,not_cT1_Sedan_Audi__cT2_Sedan_Audi,21
75,1,not_cT1_Sedan_Audi__cT2_Sedan_Audi,15
76,1,not_cT1_SUV__cT2_Sedan_Audi,9
77,1,not_cT1_Sedan_Audi__cT2_Sedan_Audi,9
78,1,not_cT1_SUV__cT2_Sedan_Audi,3
79,1,not_cT1_Sedan_Audi__cT2_Sedan_Audi,3
80,1,not_cT1_SUV__cT2_SUV_BMW,31
81,1,not_cT1_Sedan_Audi__cT2_SUV_BMW,31
82,1,not_cT1_SUV__cT2_SUV_BMW,25
83,1,not_cT1_SUV__cT2_SUV_BMW,19
84,1,not_cT1_Sedan_Audi__cT2_SUV_BMW,19
85,1,not_cT1_Sedan_Audi__cT2_SUV_BMW,13
86,1,not_cT1_SUV__cT2_SUV_BMW,7
87,1,not_cT1_Sedan_Audi__cT2_SUV_BMW,7
88,1,not_cT1_SUV__cT2_SUV_BMW,1
89,1,not_cT1_Sedan_Audi__cT2_SUV_BMW,1
90,1,cT1_Sedan_Audi__cT2_SUV_Audi,29
91,1,cT1_SUV__cT2_SUV_Audi,17
92,1,cT1_Sedan_Audi__cT2_Sedan_Audi,27
93,1,cT1_SUV__cT2_Sedan_Audi,15
94,1,cT1_Sedan_Audi__cT2_SUV_BMW,25
95,1,cT1_SUV__cT2_SUV_BMW,13
96,1,cT1_Sedan_Audi_not_cT2_SUV_Audi,28
97,1,cT1_Sedan_Audi_not_cT2_SUV_Audi,27
98,1,cT1_Sedan_Audi_not_cT2_SUV_Audi,26
99,1,cT1_Sedan_Audi_not_cT2_SUV_Audi,25
100,1,cT1_Sedan_Audi_not_cT2_SUV_Audi,24
101,1,cT1_SUV_not_cT2_SUV_Audi,16
102,1,cT1_SUV_not_cT2_SUV_Audi,15
103,1,cT1_SUV_not_cT2_SUV_Audi,14
104,1,cT1_SUV_not_cT2_SUV_Audi,13
105,1,cT1_SUV_not_cT2_SUV_Audi,12
106,1,cT1_Sedan_Audi_not_cT2_Sedan_Audi,29
107,1,cT1_Sedan_Audi_not_cT2_Sedan_Audi,28
108,1,cT1_Sedan_Audi_not_cT2_Sedan_Audi,26
109,1,cT1_Sedan_Audi_not_cT2_Sedan_Audi,25
110,1,cT1_Sedan_Audi_not_cT2_Sedan_Audi,24
111,1,cT1_SUV_not_cT2_Sedan_Audi,17
112,1,cT1_SUV_not_cT2_Sedan_Audi,16
