,pw,x1,x2
0,1,2,r31
1,1,8,r31
2,1,14,r31
3,1,26,r31
4,1,32,r31
5,1,18,r31
6,1,19,r31
7,1,21,r31
8,1,22,r31
9,1,23,r31
10,1,4,r32
11,1,10,r32
12,1,16,r32
13,1,22,r32
14,1,28,r32
15,1,30,r32
16,1,31,r32
17,1,32,r32
18,1,33,r32
19,1,35,r32
20,1,6,r33
21,1,9,r33
22,1,10,r33
23,1,11,r33
24,1,1,r30
25,1,2,r30
26,1,3,r30
27,1,4,r30
28,1,5,r30
29,1,6,r30
30,1,12,r30
31,1,18,r30
32,1,24,r30
33,1,30,r30
34,1,1,1
35,1,2,2
36,1,3,3
37,1,4,4
38,1,5,5
39,1,6,6
40,1,8,8
41,1,9,9
42,1,10,10
43,1,11,11
44,1,12,12
45,1,14,14
46,1,16,16
47,1,18,18
48,1,19,19
49,1,21,21
50,1,22,22
51,1,23,23
52,1,24,24
53,1,26,26
54,1,28,28
55,1,30,30
56,1,31,31
57,1,32,32
58,1,33,33
59,1,35,35
60,1,13,13
61,1,27,27
62,1,29,29
63,2,2,r31
64,2,8,r31
65,2,14,r31
66,2,26,r31
67,2,32,r31
68,2,18,r31
69,2,19,r31
70,2,21,r31
71,2,22,r31
72,2,23,r31
73,2,4,r32
74,2,10,r32
75,2,16,r32
76,2,22,r32
77,2,28,r32
78,2,30,r32
79,2,31,r32
80,2,32,r32
81,2,33,r32
82,2,35,r32
83,2,6,r33
84,2,9,r33
85,2,10,r33
86,2,11,r33
87,2,1,r30
88,2,2,r30
89,2,3,r30
90,2,4,r30
91,2,5,r30
92,2,6,r30
93,2,12,r30
94,2,18,r30
95,2,24,r30
96,2,30,r30
97,2,1,1
98,2,2,2
99,2,3,3
100,2,4,4
101,2,5,5
102,2,6,6
103,2,8,8
104,2,9,9
105,2,10,10
106,2,11,11
107,2,12,12
108,2,14,14
109,2,16,16
110,2,18,18
111,2,19,19
112,2,21,21
113,2,22,22
114,2,23,23
115,2,24,24
116,2,26,26
117,2,28,28
118,2,30,30
119,2,31,31
120,2,32,32
121,2,33,33
122,2,35,35
123,2,27,27
124,2,29,29
125,3,2,r31
126,3,8,r31
127,3,14,r31
128,3,26,r31
129,3,32,r31
130,3,18,r31
131,3,19,r31
132,3,21,r31
133,3,22,r31
134,3,23,r31
135,3,4,r32
136,3,10,r32
137,3,16,r32
138,3,22,r32
139,3,28,r32
140,3,30,r32
141,3,31,r32
142,3,32,r32
143,3,33,r32
144,3,35,r32
145,3,6,r33
146,3,9,r33
147,3,10,r33
148,3,11,r33
149,3,1,r30
150,3,2,r30
151,3,3,r30
152,3,4,r30
153,3,5,r30
154,3,6,r30
155,3,12,r30
156,3,18,r30
157,3,24,r30
158,3,30,r30
159,3,1,1
160,3,2,2
161,3,3,3
162,3,4,4
163,3,5,5
164,3,6,6
165,3,8,8
166,3,9,9
167,3,10,10
168,3,11,11
