,pw,x1
0,1,6
1,1,18
2,1,30
3,1,4
4,1,9
5,1,10
6,1,11
7,1,16
8,1,21
9,1,22
10,1,23
11,1,28
12,1,33
13,1,35
14,1,2
15,1,8
16,1,14
17,1,19
18,1,26
19,1,31
20,1,32
21,1,12
22,1,24
23,1,3
24,1,5
25,1,1
26,1,27
27,1,29
28,1,13
29,2,6
30,2,18
31,2,30
32,2,4
33,2,9
34,2,10
35,2,11
36,2,16
37,2,21
38,2,22
39,2,23
40,2,28
41,2,33
42,2,35
43,2,2
44,2,8
45,2,14
46,2,19
47,2,26
48,2,31
49,2,32
50,2,12
51,2,24
52,2,3
53,2,5
54,2,1
55,2,27
56,2,29
57,3,6
58,3,18
59,3,30
60,3,4
61,3,9
62,3,10
63,3,11
64,3,16
65,3,21
66,3,22
67,3,23
68,3,28
69,3,33
70,3,35
71,3,2
72,3,8
73,3,14
74,3,19
75,3,26
76,3,31
77,3,32
78,3,12
79,3,24
80,3,3
81,3,5
82,3,1
83,3,17
84,3,27
85,3,25
86,4,6
87,4,18
88,4,30
89,4,4
90,4,9
91,4,10
92,4,11
93,4,16
94,4,21
95,4,22
96,4,23
97,4,28
98,4,33
99,4,35
100,4,2
101,4,8
102,4,14
103,4,19
104,4,26
105,4,31
106,4,32
107,4,12
108,4,24
109,4,3
110,4,5
111,4,1
112,4,17
113,4,27
114,5,6
115,5,18
116,5,30
117,5,4
118,5,9
119,5,10
120,5,11
121,5,16
122,5,21
123,5,22
124,5,23
125,5,28
126,5,33
127,5,35
128,5,2
129,5,8
130,5,14
131,5,19
132,5,26
133,5,31
134,5,32
135,5,12
136,5,24
137,5,3
138,5,5
139,5,1
140,5,27
141,6,6
142,6,18
143,6,30
144,6,4
145,6,9
146,6,10
147,6,11
148,6,16
149,6,21
150,6,22
151,6,23
152,6,28
153,6,33
154,6,35
155,6,2
156,6,8
157,6,14
158,6,19
159,6,26
160,6,31
161,6,32
162,6,12
163,6,24
164,6,3
165,6,5
166,6,1
167,6,27
168,6,25
169,7,6
170,7,18
171,7,30
172,7,4
173,7,9
174,7,10
175,7,11
176,7,16
177,7,21
178,7,22
179,7,23
180,7,28
181,7,33
182,7,35
183,7,2
184,7,8
185,7,14
186,7,19
187,7,26
188,7,31
189,7,32
190,7,12
191,7,24
192,7,3
193,7,5
194,7,1
195,7,27
196,7,13
197,7,25
198,8,6
199,8,18
200,8,30
201,8,4
202,8,9
203,8,10
204,8,11
205,8,16
206,8,21
207,8,22
208,8,23
209,8,28
210,8,33
211,8,35
212,8,2
213,8,8
214,8,14
215,8,19
216,8,26
217,8,31
218,8,32
219,8,12
220,8,24
221,8,3
222,8,5
223,8,1
224,8,17
225,8,27
226,8,13
227,8,25
228,9,6
229,9,18
230,9,30
231,9,4
232,9,9
233,9,10
234,9,11
235,9,16
236,9,21
237,9,22
238,9,23
239,9,28
240,9,33
241,9,35
242,9,2
243,9,8
244,9,14
245,9,19
246,9,26
247,9,31
248,9,32
249,9,12
250,9,24
251,9,3
252,9,5
253,9,1
254,9,27
255,9,13
256,10,6
257,10,18
258,10,30
259,10,4
260,10,9
261,10,10
262,10,11
263,10,16
264,10,21
265,10,22
266,10,23
267,10,28
268,10,33
269,10,35
270,10,2
271,10,8
272,10,14
273,10,19
274,10,26
275,10,31
276,10,32
277,10,12
278,10,24
279,10,3
280,10,5
281,10,1
282,10,17
283,10,27
284,10,13
285,11,6
286,11,18
287,11,30
288,11,4
289,11,9
290,11,10
291,11,11
292,11,16
293,11,21
294,11,22
295,11,23
296,11,28
297,11,33
298,11,35
299,11,2
300,11,8
301,11,14
302,11,19
303,11,26
304,11,31
305,11,32
306,11,12
307,11,24
308,11,3
309,11,5
310,11,1
311,11,15
312,11,13
313,12,6
314,12,18
315,12,30
316,12,4
317,12,9
318,12,10
319,12,11
320,12,16
321,12,21
322,12,22
323,12,23
324,12,28
325,12,33
326,12,35
327,12,2
328,12,8
329,12,14
330,12,19
331,12,26
332,12,31
333,12,32
334,12,12
335,12,24
336,12,3
337,12,5
338,12,1
339,12,13
340,13,6
341,13,18
342,13,30
343,13,4
344,13,9
345,13,10
346,13,11
347,13,16
348,13,21
349,13,22
350,13,23
351,13,28
352,13,33
353,13,35
354,13,2
355,13,8
356,13,14
357,13,19
358,13,26
359,13,31
360,13,32
361,13,12
362,13,24
363,13,3
364,13,5
365,13,1
366,13,17
367,13,13
368,14,6
369,14,18
370,14,30
371,14,4
372,14,9
373,14,10
374,14,11
375,14,16
376,14,21
377,14,22
378,14,23
379,14,28
380,14,33
381,14,35
382,14,2
383,14,8
384,14,14
385,14,19
386,14,26
387,14,31
388,14,32
389,14,12
390,14,24
391,14,3
392,14,5
393,14,1
394,14,29
395,14,13
396,15,6
397,15,18
398,15,30
399,15,4
400,15,9
401,15,10
402,15,11
403,15,16
404,15,21
405,15,22
406,15,23
407,15,28
408,15,33
409,15,35
410,15,2
411,15,8
412,15,14
413,15,19
414,15,26
415,15,31
416,15,32
417,15,12
418,15,24
419,15,3
420,15,5
421,15,1
422,15,15
423,15,29
424,15,13
425,16,6
426,16,18
427,16,30
428,16,4
429,16,9
430,16,10
431,16,11
432,16,16
433,16,21
434,16,22
435,16,23
436,16,28
437,16,33
438,16,35
439,16,2
440,16,8
441,16,14
442,16,19
443,16,26
444,16,31
445,16,32
446,16,12
447,16,24
448,16,3
449,16,5
450,16,1
451,16,17
452,17,6
453,17,18
454,17,30
455,17,4
456,17,9
457,17,10
458,17,11
459,17,16
460,17,21
461,17,22
462,17,23
463,17,28
464,17,33
465,17,35
466,17,2
467,17,8
468,17,14
469,17,19
470,17,26
471,17,31
472,17,32
473,17,12
474,17,24
475,17,3
476,17,5
477,17,1
478,17,15
479,17,17
480,18,6
481,18,18
482,18,30
483,18,4
484,18,9
485,18,10
486,18,11
487,18,16
488,18,21
489,18,22
490,18,23
491,18,28
492,18,33
493,18,35
494,18,2
495,18,8
496,18,14
497,18,19
498,18,26
499,18,31
500,18,32
501,18,12
502,18,24
503,18,3
504,18,5
505,18,1
506,18,29
507,19,6
508,19,18
509,19,30
510,19,4
511,19,9
512,19,10
513,19,11
514,19,16
515,19,21
516,19,22
517,19,23
518,19,28
519,19,33
520,19,35
521,19,2
522,19,8
523,19,14
524,19,19
525,19,26
526,19,31
527,19,32
528,19,12
529,19,24
530,19,3
531,19,5
532,19,1
533,19,15
534,19,29
535,20,6
536,20,18
537,20,30
538,20,4
539,20,9
540,20,10
541,20,11
542,20,16
543,20,21
544,20,22
545,20,23
546,20,28
547,20,33
548,20,35
549,20,2
550,20,8
551,20,14
552,20,19
553,20,26
554,20,31
555,20,32
556,20,12
557,20,24
558,20,3
559,20,5
560,20,1
561,20,15
562,21,6
563,21,18
564,21,30
565,21,4
566,21,9
567,21,10
568,21,11
569,21,16
570,21,21
571,21,22
572,21,23
573,21,28
574,21,33
575,21,35
576,21,2
577,21,8
578,21,14
579,21,19
580,21,26
581,21,31
582,21,32
583,21,12
584,21,24
585,21,3
586,21,5
587,21,1
588,22,6
589,22,18
590,22,30
591,22,4
592,22,9
593,22,10
594,22,11
595,22,16
596,22,21
597,22,22
598,22,23
599,22,28
600,22,33
601,22,35
602,22,2
603,22,8
604,22,14
605,22,19
606,22,26
607,22,31
608,22,32
609,22,12
610,22,24
611,22,3
612,22,5
613,22,1
614,22,13
615,22,25
616,23,6
617,23,18
618,23,30
619,23,4
620,23,9
621,23,10
622,23,11
623,23,16
624,23,21
625,23,22
626,23,23
627,23,28
628,23,33
629,23,35
630,23,2
631,23,8
632,23,14
633,23,19
634,23,26
635,23,31
636,23,32
637,23,12
638,23,24
639,23,3
640,23,5
641,23,1
642,23,15
643,23,13
644,23,25
645,24,6
646,24,18
647,24,30
648,24,4
649,24,9
650,24,10
651,24,11
652,24,16
653,24,21
654,24,22
655,24,23
656,24,28
657,24,33
658,24,35
659,24,2
660,24,8
661,24,14
662,24,19
663,24,26
664,24,31
665,24,32
666,24,12
667,24,24
668,24,3
669,24,5
670,24,1
671,24,25
672,25,6
673,25,18
674,25,30
675,25,4
676,25,9
677,25,10
678,25,11
679,25,16
680,25,21
681,25,22
682,25,23
683,25,28
684,25,33
685,25,35
686,25,2
687,25,8
688,25,14
689,25,19
690,25,26
691,25,31
692,25,32
693,25,12
694,25,24
695,25,3
696,25,5
697,25,1
698,25,15
699,25,25
700,26,6
701,26,18
702,26,30
703,26,4
704,26,9
705,26,10
706,26,11
707,26,16
708,26,21
709,26,22
710,26,23
711,26,28
712,26,33
713,26,35
714,26,2
715,26,8
716,26,14
717,26,19
718,26,26
719,26,31
720,26,32
721,26,12
722,26,24
723,26,3
724,26,5
725,26,1
726,26,29
727,26,13
728,26,25
729,27,6
730,27,18
731,27,30
732,27,4
733,27,9
734,27,10
735,27,11
736,27,16
737,27,21
738,27,22
739,27,23
740,27,28
741,27,33
742,27,35
743,27,2
744,27,8
745,27,14
746,27,19
747,27,26
748,27,31
749,27,32
750,27,12
751,27,24
752,27,3
753,27,5
754,27,1
755,27,15
756,27,29
757,27,13
758,27,25
759,28,6
760,28,18
761,28,30
762,28,4
763,28,9
764,28,10
765,28,11
766,28,16
767,28,21
768,28,22
769,28,23
770,28,28
771,28,33
772,28,35
773,28,2
774,28,8
775,28,14
776,28,19
777,28,26
778,28,31
779,28,32
780,28,12
781,28,24
782,28,3
783,28,5
784,28,1
785,28,17
786,28,13
787,28,25
788,29,6
789,29,18
790,29,30
791,29,4
792,29,9
793,29,10
794,29,11
795,29,16
796,29,21
797,29,22
798,29,23
799,29,28
800,29,33
801,29,35
802,29,2
803,29,8
804,29,14
805,29,19
806,29,26
807,29,31
808,29,32
809,29,12
810,29,24
811,29,3
812,29,5
813,29,1
814,29,29
815,29,25
816,30,6
817,30,18
818,30,30
819,30,4
820,30,9
821,30,10
822,30,11
823,30,16
824,30,21
825,30,22
826,30,23
827,30,28
828,30,33
829,30,35
830,30,2
831,30,8
832,30,14
833,30,19
834,30,26
835,30,31
836,30,32
837,30,12
838,30,24
839,30,3
840,30,5
841,30,1
842,30,15
843,30,29
844,30,25
845,31,6
846,31,18
847,31,30
848,31,4
849,31,9
850,31,10
851,31,11
852,31,16
853,31,21
854,31,22
855,31,23
856,31,28
857,31,33
858,31,35
859,31,2
860,31,8
861,31,14
862,31,19
863,31,26
864,31,31
865,31,32
866,31,12
867,31,24
868,31,3
869,31,5
870,31,1
871,31,17
872,31,25
873,32,6
874,32,18
875,32,30
876,32,4
877,32,9
878,32,10
879,32,11
880,32,16
881,32,21
882,32,22
883,32,23
884,32,28
885,32,33
886,32,35
887,32,2
888,32,8
889,32,14
890,32,19
891,32,26
892,32,31
893,32,32
894,32,12
895,32,24
896,32,3
897,32,5
898,32,1
899,32,15
900,32,17
901,32,25
