,pw,x1,x2,x3
0,1,cT1_Automobile,cT2_Automobile,"""="""
1,1,cT2_Audi,cT2_Automobile,"""<"""
2,1,cT1_Sedan,cT2_Automobile,"""<"""
3,1,cT1_Wagon,cT2_Automobile,"""<"""
4,1,cT1_Wagon__cT2_BMW,cT2_Automobile,"""<"""
5,1,cT1_Wagon_not_cT2_BMW,cT2_Automobile,"""<"""
6,1,cT1_Wagon_Audi,cT2_Automobile,"""<"""
7,1,cT1_Sedan_BMW,cT2_Automobile,"""<"""
8,1,cT1_Wagon_BMW,cT2_Automobile,"""<"""
9,1,cT1_Automobile,cT2_BMW,""">"""
10,1,cT2_Automobile,cT2_BMW,""">"""
11,1,cT2_Audi,cT2_BMW,"""!"""
12,1,cT1_Wagon_not_cT2_BMW,cT2_BMW,"""!"""
13,1,cT1_Wagon_Audi,cT2_BMW,"""!"""
14,1,cT1_Wagon__cT2_BMW,cT2_BMW,"""<"""
15,1,cT1_Sedan_BMW,cT2_BMW,"""<"""
16,1,cT1_Wagon_BMW,cT2_BMW,"""<"""
17,1,cT1_Wagon,cT2_BMW,"""><"""
18,1,cT1_Automobile,cT2_Audi,""">"""
19,1,cT1_Wagon__cT2_BMW,cT2_Audi,"""!"""
20,1,cT1_Sedan_BMW,cT2_Audi,"""!"""
21,1,cT1_Wagon_BMW,cT2_Audi,"""!"""
22,1,cT1_Automobile,cT2_SUV_BMW,""">"""
23,1,cT2_BMW,cT2_SUV_BMW,""">"""
24,1,cT2_Automobile,cT2_SUV_BMW,""">"""
25,1,cT2_Audi,cT2_SUV_BMW,"""!"""
26,1,cT1_Wagon_not_cT2_BMW,cT2_SUV_BMW,"""!"""
27,1,cT1_Wagon_Audi,cT2_SUV_BMW,"""!"""
28,1,cT1_Sedan_BMW,cT2_SUV_BMW,"""!"""
29,1,cT1_Sedan_BMW,cT2_Sedan_BMW,"""="""
30,1,cT1_Automobile,cT2_Sedan_BMW,""">"""
31,1,cT2_BMW,cT2_Sedan_BMW,""">"""
32,1,cT2_Automobile,cT2_Sedan_BMW,""">"""
33,1,cT2_Audi,cT2_Sedan_BMW,"""!"""
34,1,cT1_Wagon,cT2_Sedan_BMW,"""!"""
35,1,cT1_Wagon__cT2_BMW,cT2_Sedan_BMW,"""!"""
36,1,cT1_Wagon_not_cT2_BMW,cT2_Sedan_BMW,"""!"""
37,1,cT1_Wagon_Audi,cT2_Sedan_BMW,"""!"""
38,1,cT1_Wagon_BMW,cT2_Sedan_BMW,"""!"""
39,1,cT2_SUV_BMW,cT2_Sedan_BMW,"""!"""
40,1,cT1_Wagon_not_cT2_BMW,cT2_Wagon_Audi,"""="""
41,1,cT1_Wagon_Audi,cT2_Wagon_Audi,"""="""
42,1,cT1_Automobile,cT2_Wagon_Audi,""">"""
43,1,cT1_Wagon,cT2_Wagon_Audi,""">"""
44,1,cT2_Automobile,cT2_Wagon_Audi,""">"""
45,1,cT2_BMW,cT2_Wagon_Audi,"""!"""
46,1,cT1_Sedan,cT2_Wagon_Audi,"""!"""
47,1,cT1_Wagon__cT2_BMW,cT2_Wagon_Audi,"""!"""
