,pw,x1,x2
0,1,7,7
1,1,20,20
2,1,34,34
3,1,15,15
4,1,17,17
5,1,25,25
6,2,7,7
7,2,20,20
8,2,34,34
9,2,13,13
10,2,15,15
11,2,17,17
12,2,25,25
13,3,7,7
14,3,20,20
15,3,34,34
16,3,13,13
17,3,15,15
18,3,29,29
19,4,7,7
20,4,20,20
21,4,34,34
22,4,13,13
23,4,15,15
24,4,25,25
25,4,29,29
26,5,7,7
27,5,20,20
28,5,34,34
29,5,13,13
30,5,15,15
31,5,17,17
32,5,25,25
33,5,29,29
34,6,7,7
35,6,20,20
36,6,34,34
37,6,13,13
38,6,15,15
39,6,17,17
40,6,29,29
41,7,7,7
42,7,20,20
43,7,34,34
44,7,15,15
45,7,17,17
46,7,29,29
47,8,7,7
48,8,20,20
49,8,34,34
50,8,15,15
51,8,29,29
52,9,7,7
53,9,20,20
54,9,34,34
55,9,15,15
56,9,17,17
57,9,25,25
58,9,29,29
59,10,7,7
60,10,20,20
61,10,34,34
62,10,15,15
63,10,25,25
64,10,29,29
65,11,7,7
66,11,20,20
67,11,34,34
68,11,17,17
69,11,25,25
70,11,27,27
71,11,29,29
72,12,7,7
73,12,20,20
74,12,34,34
75,12,15,15
76,12,17,17
77,12,25,25
78,12,27,27
79,12,29,29
80,13,7,7
81,13,20,20
82,13,34,34
83,13,15,15
84,13,25,25
85,13,27,27
86,13,29,29
87,14,7,7
88,14,20,20
89,14,34,34
90,14,15,15
91,14,17,17
92,14,25,25
93,14,27,27
94,15,7,7
95,15,20,20
96,15,34,34
97,15,17,17
98,15,25,25
99,15,27,27
100,16,7,7
101,16,20,20
102,16,34,34
103,16,13,13
104,16,15,15
105,16,25,25
106,16,27,27
107,16,29,29
108,17,7,7
109,17,20,20
110,17,34,34
111,17,13,13
112,17,25,25
113,17,27,27
114,17,29,29
115,18,7,7
116,18,20,20
117,18,34,34
118,18,13,13
119,18,15,15
120,18,17,17
121,18,25,25
122,18,27,27
123,19,7,7
124,19,20,20
125,19,34,34
126,19,13,13
127,19,17,17
128,19,25,25
129,19,27,27
130,20,7,7
131,20,20,20
132,20,34,34
133,20,13,13
134,20,17,17
135,20,25,25
136,20,27,27
137,20,29,29
138,21,7,7
139,21,20,20
140,21,34,34
141,21,13,13
142,21,15,15
143,21,17,17
144,21,25,25
145,21,27,27
146,21,29,29
147,22,7,7
148,22,20,20
149,22,34,34
150,22,15,15
151,22,17,17
152,22,27,27
153,22,29,29
154,23,7,7
155,23,20,20
156,23,34,34
157,23,17,17
158,23,27,27
159,23,29,29
160,24,7,7
161,24,20,20
162,24,34,34
163,24,13,13
164,24,15,15
165,24,17,17
166,24,27,27
167,24,29,29
168,25,7,7
169,25,20,20
170,25,34,34
171,25,13,13
172,25,17,17
173,25,27,27
174,25,29,29
175,26,7,7
176,26,20,20
177,26,34,34
178,26,15,15
179,26,17,17
180,26,27,27
181,27,7,7
182,27,20,20
183,27,34,34
184,27,17,17
185,27,27,27
186,28,7,7
187,28,20,20
188,28,34,34
189,28,15,15
190,28,27,27
191,28,29,29
192,29,7,7
193,29,20,20
194,29,34,34
195,29,13,13
196,29,15,15
197,29,17,17
198,29,27,27
199,30,7,7
200,30,20,20
201,30,34,34
202,30,13,13
203,30,17,17
204,30,27,27
205,31,7,7
206,31,20,20
207,31,34,34
208,31,13,13
209,31,15,15
210,31,27,27
211,31,29,29
212,32,7,7
213,32,20,20
214,32,34,34
215,32,13,13
216,32,27,27
217,32,29,29
