,pw,x1
0,1,7
1,1,20
2,1,34
3,1,15
4,1,17
5,1,25
6,2,7
7,2,20
8,2,34
9,2,13
10,2,15
11,2,17
12,2,25
13,3,7
14,3,20
15,3,34
16,3,13
17,3,15
18,3,29
19,4,7
20,4,20
21,4,34
22,4,13
23,4,15
24,4,25
25,4,29
26,5,7
27,5,20
28,5,34
29,5,13
30,5,15
31,5,17
32,5,25
33,5,29
34,6,7
35,6,20
36,6,34
37,6,13
38,6,15
39,6,17
40,6,29
41,7,7
42,7,20
43,7,34
44,7,15
45,7,17
46,7,29
47,8,7
48,8,20
49,8,34
50,8,15
51,8,29
52,9,7
53,9,20
54,9,34
55,9,15
56,9,17
57,9,25
58,9,29
59,10,7
60,10,20
61,10,34
62,10,15
63,10,25
64,10,29
65,11,7
66,11,20
67,11,34
68,11,17
69,11,25
70,11,27
71,11,29
72,12,7
73,12,20
74,12,34
75,12,15
76,12,17
77,12,25
78,12,27
79,12,29
80,13,7
81,13,20
82,13,34
83,13,15
84,13,25
85,13,27
86,13,29
87,14,7
88,14,20
89,14,34
90,14,15
91,14,17
92,14,25
93,14,27
94,15,7
95,15,20
96,15,34
97,15,17
98,15,25
99,15,27
100,16,7
101,16,20
102,16,34
103,16,13
104,16,15
105,16,25
106,16,27
107,16,29
108,17,7
109,17,20
110,17,34
111,17,13
112,17,25
113,17,27
114,17,29
115,18,7
116,18,20
117,18,34
118,18,13
119,18,15
120,18,17
121,18,25
122,18,27
123,19,7
124,19,20
125,19,34
126,19,13
127,19,17
128,19,25
129,19,27
130,20,7
131,20,20
132,20,34
133,20,13
134,20,17
135,20,25
136,20,27
137,20,29
138,21,7
139,21,20
140,21,34
141,21,13
142,21,15
143,21,17
144,21,25
145,21,27
146,21,29
147,22,7
148,22,20
149,22,34
150,22,15
151,22,17
152,22,27
153,22,29
154,23,7
155,23,20
156,23,34
157,23,17
158,23,27
159,23,29
160,24,7
161,24,20
162,24,34
163,24,13
164,24,15
165,24,17
166,24,27
167,24,29
168,25,7
169,25,20
170,25,34
171,25,13
172,25,17
173,25,27
174,25,29
175,26,7
176,26,20
177,26,34
178,26,15
179,26,17
180,26,27
181,27,7
182,27,20
183,27,34
184,27,17
185,27,27
186,28,7
187,28,20
188,28,34
189,28,15
190,28,27
191,28,29
192,29,7
193,29,20
194,29,34
195,29,13
196,29,15
197,29,17
198,29,27
199,30,7
200,30,20
201,30,34
202,30,13
203,30,17
204,30,27
205,31,7
206,31,20
207,31,34
208,31,13
209,31,15
210,31,27
211,31,29
212,32,7
213,32,20
214,32,34
215,32,13
216,32,27
217,32,29
