,pw,x1,x2
0,1,cT2_Automobile,0
1,1,cT2_BMW,0
2,1,cT2_Audi,0
3,1,cT1_Wagon,1
4,1,cT1_Automobile,1
5,1,cT1_Sedan,1
6,1,cT2_SUV_BMW,0
7,1,cT2_Sedan_BMW,0
8,1,cT2_Sedan_Audi,0
9,1,cT2_Wagon_Audi,0
10,1,cT2_SUV_Audi,0
11,1,cT1_Wagon_BMW,1
12,1,cT1_SUV,1
13,1,cT1_Sedan_BMW,1
14,1,cT1_Sedan_Audi,1
15,1,cT1_Wagon_Audi,1
16,2,cT2_Automobile,0
17,2,cT2_BMW,0
18,2,cT2_Audi,0
19,2,cT1_Wagon,1
20,2,cT1_Automobile,1
21,2,cT1_Sedan,1
22,2,cT2_SUV_BMW,0
23,2,cT2_Sedan_BMW,0
24,2,cT2_Sedan_Audi,0
25,2,cT2_Wagon_Audi,0
26,2,cT2_SUV_Audi,0
27,2,cT1_Wagon_BMW,1
28,2,cT1_SUV,1
29,2,cT1_Sedan_BMW,1
30,2,cT1_Sedan_Audi,1
31,2,cT1_Wagon_Audi,1
32,3,cT2_Automobile,0
33,3,cT2_BMW,0
34,3,cT2_Audi,0
35,3,cT1_Wagon,1
36,3,cT1_Automobile,1
37,3,cT1_Sedan,1
38,3,cT2_SUV_BMW,0
39,3,cT2_Sedan_BMW,0
40,3,cT2_Sedan_Audi,0
41,3,cT2_Wagon_Audi,0
42,3,cT2_SUV_Audi,0
43,3,cT1_Wagon_BMW,1
44,3,cT1_SUV,1
45,3,cT1_Sedan_BMW,1
46,3,cT1_Sedan_Audi,1
47,3,cT1_Wagon_Audi,1
48,4,cT2_Automobile,0
49,4,cT2_BMW,0
50,4,cT2_Audi,0
51,4,cT1_Wagon,1
52,4,cT1_Automobile,1
53,4,cT1_Sedan,1
54,4,cT2_SUV_BMW,0
55,4,cT2_Sedan_BMW,0
56,4,cT2_Sedan_Audi,0
57,4,cT2_Wagon_Audi,0
58,4,cT2_SUV_Audi,0
59,4,cT1_Wagon_BMW,1
60,4,cT1_SUV,1
61,4,cT1_Sedan_BMW,1
62,4,cT1_Sedan_Audi,1
63,4,cT1_Wagon_Audi,1
64,5,cT2_Automobile,0
65,5,cT2_BMW,0
66,5,cT2_Audi,0
67,5,cT1_Wagon,1
68,5,cT1_Automobile,1
69,5,cT1_Sedan,1
70,5,cT2_SUV_BMW,0
71,5,cT2_Sedan_BMW,0
72,5,cT2_Sedan_Audi,0
73,5,cT2_Wagon_Audi,0
74,5,cT2_SUV_Audi,0
75,5,cT1_Wagon_BMW,1
76,5,cT1_SUV,1
77,5,cT1_Sedan_BMW,1
78,5,cT1_Sedan_Audi,1
79,5,cT1_Wagon_Audi,1
80,6,cT2_Automobile,0
81,6,cT2_BMW,0
82,6,cT2_Audi,0
83,6,cT1_Wagon,1
84,6,cT1_Automobile,1
85,6,cT1_Sedan,1
86,6,cT2_SUV_BMW,0
87,6,cT2_Sedan_BMW,0
88,6,cT2_Sedan_Audi,0
89,6,cT2_Wagon_Audi,0
90,6,cT2_SUV_Audi,0
91,6,cT1_Wagon_BMW,1
92,6,cT1_SUV,1
93,6,cT1_Sedan_BMW,1
94,6,cT1_Sedan_Audi,1
95,6,cT1_Wagon_Audi,1
96,7,cT2_Automobile,0
97,7,cT2_BMW,0
98,7,cT2_Audi,0
99,7,cT1_Wagon,1
100,7,cT1_Automobile,1
101,7,cT1_Sedan,1
102,7,cT2_SUV_BMW,0
103,7,cT2_Sedan_BMW,0
104,7,cT2_Sedan_Audi,0
105,7,cT2_Wagon_Audi,0
106,7,cT2_SUV_Audi,0
107,7,cT1_Wagon_BMW,1
108,7,cT1_SUV,1
109,7,cT1_Sedan_BMW,1
110,7,cT1_Sedan_Audi,1
111,7,cT1_Wagon_Audi,1
112,8,cT2_Automobile,0
113,8,cT2_BMW,0
114,8,cT2_Audi,0
115,8,cT1_Wagon,1
116,8,cT1_Automobile,1
117,8,cT1_Sedan,1
118,8,cT2_SUV_BMW,0
119,8,cT2_Sedan_BMW,0
120,8,cT2_Sedan_Audi,0
121,8,cT2_Wagon_Audi,0
122,8,cT2_SUV_Audi,0
123,8,cT1_Wagon_BMW,1
124,8,cT1_SUV,1
125,8,cT1_Sedan_BMW,1
126,8,cT1_Sedan_Audi,1
127,8,cT1_Wagon_Audi,1
128,9,cT2_Automobile,0
129,9,cT2_BMW,0
130,9,cT2_Audi,0
131,9,cT1_Wagon,1
132,9,cT1_Automobile,1
133,9,cT1_Sedan,1
134,9,cT2_SUV_BMW,0
135,9,cT2_Sedan_BMW,0
136,9,cT2_Sedan_Audi,0
137,9,cT2_Wagon_Audi,0
138,9,cT2_SUV_Audi,0
139,9,cT1_Wagon_BMW,1
140,9,cT1_SUV,1
141,9,cT1_Sedan_BMW,1
142,9,cT1_Sedan_Audi,1
143,9,cT1_Wagon_Audi,1
144,10,cT2_Automobile,0
145,10,cT2_BMW,0
146,10,cT2_Audi,0
147,10,cT1_Wagon,1
148,10,cT1_Automobile,1
149,10,cT1_Sedan,1
150,10,cT2_SUV_BMW,0
151,10,cT2_Sedan_BMW,0
152,10,cT2_Sedan_Audi,0
153,10,cT2_Wagon_Audi,0
154,10,cT2_SUV_Audi,0
155,10,cT1_Wagon_BMW,1
156,10,cT1_SUV,1
157,10,cT1_Sedan_BMW,1
158,10,cT1_Sedan_Audi,1
159,10,cT1_Wagon_Audi,1
160,11,cT2_Automobile,0
161,11,cT2_BMW,0
162,11,cT2_Audi,0
163,11,cT1_Wagon,1
164,11,cT1_Automobile,1
165,11,cT1_Sedan,1
166,11,cT2_SUV_BMW,0
167,11,cT2_Sedan_BMW,0
168,11,cT2_Sedan_Audi,0
169,11,cT2_Wagon_Audi,0
170,11,cT2_SUV_Audi,0
171,11,cT1_Wagon_BMW,1
172,11,cT1_SUV,1
173,11,cT1_Sedan_BMW,1
174,11,cT1_Sedan_Audi,1
175,11,cT1_Wagon_Audi,1
176,12,cT2_Automobile,0
177,12,cT2_BMW,0
178,12,cT2_Audi,0
179,12,cT1_Wagon,1
180,12,cT1_Automobile,1
181,12,cT1_Sedan,1
182,12,cT2_SUV_BMW,0
183,12,cT2_Sedan_BMW,0
184,12,cT2_Sedan_Audi,0
185,12,cT2_Wagon_Audi,0
186,12,cT2_SUV_Audi,0
187,12,cT1_Wagon_BMW,1
188,12,cT1_SUV,1
189,12,cT1_Sedan_BMW,1
190,12,cT1_Sedan_Audi,1
191,12,cT1_Wagon_Audi,1
192,13,cT2_Automobile,0
193,13,cT2_BMW,0
194,13,cT2_Audi,0
195,13,cT1_Wagon,1
196,13,cT1_Automobile,1
197,13,cT1_Sedan,1
198,13,cT2_SUV_BMW,0
199,13,cT2_Sedan_BMW,0
200,13,cT2_Sedan_Audi,0
201,13,cT2_Wagon_Audi,0
202,13,cT2_SUV_Audi,0
203,13,cT1_Wagon_BMW,1
204,13,cT1_SUV,1
205,13,cT1_Sedan_BMW,1
206,13,cT1_Sedan_Audi,1
207,13,cT1_Wagon_Audi,1
208,14,cT2_Automobile,0
209,14,cT2_BMW,0
210,14,cT2_Audi,0
211,14,cT1_Wagon,1
212,14,cT1_Automobile,1
