,pw,x1,x2,x3
0,1,cT2_BMW,cT1_Wagon_Audi,2
1,1,cT2_BMW,cT1_Wagon,2
2,1,cT2_BMW,cT1_Automobile,2
3,1,cT2_Audi,cT1_Automobile,2
4,1,cT2_Audi,cT1_Sedan,2
5,1,cT2_Audi,cT1_Sedan_BMW,2
6,1,cT2_Audi,cT1_Wagon_BMW,2
7,1,cT2_Audi,cT1_Wagon,2
8,1,cT2_SUV_BMW,cT1_Automobile,2
9,1,cT2_SUV_BMW,cT1_Sedan_BMW,2
10,1,cT2_SUV_BMW,cT1_Sedan,2
11,1,cT2_SUV_BMW,cT1_Wagon_Audi,2
12,1,cT2_SUV_BMW,cT1_Wagon,2
13,1,cT2_Sedan_BMW,cT1_Wagon_BMW,2
14,1,cT2_Sedan_BMW,cT1_Wagon,2
15,1,cT2_Sedan_BMW,cT1_Automobile,2
16,1,cT2_Sedan_BMW,cT1_Wagon_Audi,2
17,1,cT2_Sedan_Audi,cT1_Wagon_BMW,2
18,1,cT2_Sedan_Audi,cT1_Wagon,2
19,1,cT2_Sedan_Audi,cT1_Automobile,2
20,1,cT2_Sedan_Audi,cT1_Sedan_BMW,2
21,1,cT2_Sedan_Audi,cT1_Sedan,2
22,1,cT2_Sedan_Audi,cT1_Wagon_Audi,2
23,1,cT2_Wagon_Audi,cT1_Wagon_BMW,2
24,1,cT2_Wagon_Audi,cT1_Wagon,2
25,1,cT2_Wagon_Audi,cT1_Automobile,2
26,1,cT2_Wagon_Audi,cT1_Sedan_BMW,2
27,1,cT2_Wagon_Audi,cT1_Sedan,2
28,1,cT2_SUV_Audi,cT1_Wagon_BMW,2
29,1,cT2_SUV_Audi,cT1_Wagon,2
30,1,cT2_SUV_Audi,cT1_Automobile,2
31,1,cT2_SUV_Audi,cT1_Sedan_BMW,2
32,1,cT2_SUV_Audi,cT1_Sedan,2
33,1,cT2_SUV_Audi,cT1_Wagon_Audi,2
34,1,cT2_Automobile,cT1_Wagon_BMW,1
35,1,cT2_Automobile,cT1_Wagon,1
36,1,cT2_Automobile,cT1_Automobile,1
37,1,cT2_Automobile,cT1_Sedan_BMW,1
38,1,cT2_Automobile,cT1_Sedan,1
39,1,cT2_Automobile,cT1_Wagon_Audi,1
40,1,cT2_BMW,cT1_Wagon_BMW,1
41,1,cT2_BMW,cT1_Wagon,1
42,1,cT2_BMW,cT1_Automobile,1
43,1,cT2_BMW,cT1_Sedan_BMW,1
44,1,cT2_BMW,cT1_Sedan,1
45,1,cT2_Audi,cT1_Automobile,1
46,1,cT2_Audi,cT1_Wagon_Audi,1
47,1,cT2_Audi,cT1_Wagon,1
48,1,cT2_SUV_BMW,cT1_Wagon_BMW,1
49,1,cT2_SUV_BMW,cT1_Wagon,1
50,1,cT2_SUV_BMW,cT1_Automobile,1
51,1,cT2_Sedan_BMW,cT1_Sedan_BMW,1
52,1,cT2_Sedan_BMW,cT1_Automobile,1
53,1,cT2_Sedan_BMW,cT1_Sedan,1
54,1,cT2_Wagon_Audi,cT1_Wagon_Audi,1
55,1,cT2_Wagon_Audi,cT1_Wagon,1
56,1,cT2_Wagon_Audi,cT1_Automobile,1
