,pw,x1,x2
0,1,cT2_SUV_BMW,1
1,1,cT2_SUV_BMW,7
2,1,cT2_SUV_BMW,13
3,1,cT2_SUV_BMW,19
4,1,cT2_SUV_BMW,25
5,1,cT2_SUV_BMW,31
6,1,cT2_Sedan_BMW,2
7,1,cT2_Sedan_BMW,8
8,1,cT2_Sedan_BMW,14
9,1,cT2_Sedan_BMW,20
10,1,cT2_Sedan_BMW,26
11,1,cT2_Sedan_BMW,32
12,1,cT2_Sedan_Audi,3
13,1,cT2_Sedan_Audi,9
14,1,cT2_Sedan_Audi,15
15,1,cT2_Sedan_Audi,21
16,1,cT2_Sedan_Audi,27
17,1,cT2_Sedan_Audi,33
18,1,cT2_Wagon_Audi,4
19,1,cT2_Wagon_Audi,10
20,1,cT2_Wagon_Audi,16
21,1,cT2_Wagon_Audi,22
22,1,cT2_Wagon_Audi,28
23,1,cT2_Wagon_Audi,34
24,1,cT2_SUV_Audi,5
25,1,cT2_SUV_Audi,11
26,1,cT2_SUV_Audi,17
27,1,cT2_SUV_Audi,23
28,1,cT2_SUV_Audi,29
29,1,cT2_SUV_Audi,35
30,1,cT1_Wagon_BMW,6
31,1,cT1_Wagon_BMW,7
32,1,cT1_Wagon_BMW,8
33,1,cT1_Wagon_BMW,9
34,1,cT1_Wagon_BMW,10
35,1,cT1_Wagon_BMW,11
36,1,cT1_SUV,12
37,1,cT1_SUV,13
38,1,cT1_SUV,14
39,1,cT1_SUV,15
40,1,cT1_SUV,16
41,1,cT1_SUV,17
42,1,cT1_Sedan_BMW,18
43,1,cT1_Sedan_BMW,19
44,1,cT1_Sedan_BMW,20
45,1,cT1_Sedan_BMW,21
46,1,cT1_Sedan_BMW,22
47,1,cT1_Sedan_BMW,23
48,1,cT1_Sedan_Audi,24
49,1,cT1_Sedan_Audi,25
50,1,cT1_Sedan_Audi,26
51,1,cT1_Sedan_Audi,27
52,1,cT1_Sedan_Audi,28
53,1,cT1_Sedan_Audi,29
54,1,cT1_Wagon_Audi,30
55,1,cT1_Wagon_Audi,31
56,1,cT1_Wagon_Audi,32
57,1,cT1_Wagon_Audi,33
58,1,cT1_Wagon_Audi,34
59,1,cT1_Wagon_Audi,35
60,1,cT2_Automobile,1
61,1,cT2_Automobile,2
62,1,cT2_Automobile,3
63,1,cT2_Automobile,4
64,1,cT2_Automobile,5
65,1,cT2_Automobile,7
66,1,cT2_Automobile,8
67,1,cT2_Automobile,9
68,1,cT2_Automobile,10
69,1,cT2_Automobile,11
70,1,cT2_Automobile,13
71,1,cT2_Automobile,14
72,1,cT2_Automobile,15
73,1,cT2_Automobile,16
74,1,cT2_Automobile,17
75,1,cT2_Automobile,19
76,1,cT2_Automobile,20
77,1,cT2_Automobile,21
78,1,cT2_Automobile,22
79,1,cT2_Automobile,23
80,1,cT2_Automobile,25
81,1,cT2_Automobile,26
82,1,cT2_Automobile,27
83,1,cT2_Automobile,28
84,1,cT2_Automobile,29
85,1,cT2_Automobile,31
86,1,cT2_Automobile,32
87,1,cT2_Automobile,33
88,1,cT2_Automobile,34
89,1,cT2_Automobile,35
90,1,cT2_BMW,1
91,1,cT2_BMW,2
92,1,cT2_BMW,7
93,1,cT2_BMW,8
94,1,cT2_BMW,13
95,1,cT2_BMW,14
96,1,cT2_BMW,19
97,1,cT2_BMW,20
98,1,cT2_BMW,25
99,1,cT2_BMW,26
100,1,cT2_BMW,31
101,1,cT2_BMW,32
102,1,cT2_Audi,3
103,1,cT2_Audi,4
104,1,cT2_Audi,5
105,1,cT2_Audi,9
106,1,cT2_Audi,10
107,1,cT2_Audi,11
108,1,cT2_Audi,15
109,1,cT2_Audi,16
110,1,cT2_Audi,17
111,1,cT2_Audi,21
112,1,cT2_Audi,22
113,1,cT2_Audi,23
114,1,cT2_Audi,27
115,1,cT2_Audi,28
116,1,cT2_Audi,29
117,1,cT2_Audi,33
118,1,cT2_Audi,34
119,1,cT2_Audi,35
120,1,cT1_Wagon,6
121,1,cT1_Wagon,7
122,1,cT1_Wagon,8
123,1,cT1_Wagon,9
124,1,cT1_Wagon,10
125,1,cT1_Wagon,11
126,1,cT1_Wagon,30
127,1,cT1_Wagon,31
128,1,cT1_Wagon,32
129,1,cT1_Wagon,33
130,1,cT1_Wagon,34
131,1,cT1_Wagon,35
132,1,cT1_Automobile,6
133,1,cT1_Automobile,7
134,1,cT1_Automobile,8
135,1,cT1_Automobile,9
136,1,cT1_Automobile,10
137,1,cT1_Automobile,11
138,1,cT1_Automobile,12
139,1,cT1_Automobile,13
140,1,cT1_Automobile,14
141,1,cT1_Automobile,15
142,1,cT1_Automobile,16
143,1,cT1_Automobile,17
144,1,cT1_Automobile,18
145,1,cT1_Automobile,19
146,1,cT1_Automobile,20
147,1,cT1_Automobile,21
148,1,cT1_Automobile,22
149,1,cT1_Automobile,23
150,1,cT1_Automobile,24
151,1,cT1_Automobile,25
152,1,cT1_Automobile,26
153,1,cT1_Automobile,27
154,1,cT1_Automobile,28
155,1,cT1_Automobile,29
156,1,cT1_Automobile,30
157,1,cT1_Automobile,31
158,1,cT1_Automobile,32
159,1,cT1_Automobile,33
160,1,cT1_Automobile,34
161,1,cT1_Automobile,35
162,1,cT1_Sedan,18
163,1,cT1_Sedan,19
164,1,cT1_Sedan,20
165,1,cT1_Sedan,21
166,1,cT1_Sedan,22
167,1,cT1_Sedan,23
168,1,cT1_Sedan,24
169,1,cT1_Sedan,25
170,1,cT1_Sedan,26
