,pw,x1
0,1,1
1,1,2
2,1,3
3,1,4
4,1,5
5,1,6
6,1,12
7,1,18
8,1,24
9,1,30
10,1,8
11,1,14
12,1,26
13,1,32
14,1,19
15,1,21
16,1,22
17,1,23
18,1,10
19,1,16
20,1,28
21,1,31
22,1,33
23,1,35
24,1,9
25,1,11
26,1,13
27,1,27
28,1,29
29,2,1
30,2,2
31,2,3
32,2,4
33,2,5
34,2,6
35,2,12
36,2,18
37,2,24
38,2,30
39,2,8
40,2,14
41,2,26
42,2,32
43,2,19
44,2,21
45,2,22
46,2,23
47,2,10
48,2,16
49,2,28
50,2,31
51,2,33
52,2,35
53,2,9
54,2,11
55,2,27
56,2,29
57,3,1
58,3,2
59,3,3
60,3,4
61,3,5
62,3,6
63,3,12
64,3,18
65,3,24
66,3,30
67,3,8
68,3,14
69,3,26
70,3,32
71,3,19
72,3,21
73,3,22
74,3,23
75,3,10
76,3,16
77,3,28
78,3,31
79,3,33
80,3,35
81,3,9
82,3,11
83,3,13
84,3,17
85,3,25
86,3,27
87,4,1
88,4,2
89,4,3
90,4,4
91,4,5
92,4,6
93,4,12
94,4,18
95,4,24
96,4,30
97,4,8
98,4,14
99,4,26
100,4,32
101,4,19
102,4,21
103,4,22
104,4,23
105,4,10
106,4,16
107,4,28
108,4,31
109,4,33
110,4,35
111,4,9
112,4,11
113,4,17
114,4,25
115,4,27
116,5,1
117,5,2
118,5,3
119,5,4
120,5,5
121,5,6
122,5,12
123,5,18
124,5,24
125,5,30
126,5,8
127,5,14
128,5,26
129,5,32
130,5,19
131,5,21
132,5,22
133,5,23
134,5,10
135,5,16
136,5,28
137,5,31
138,5,33
139,5,35
140,5,9
141,5,11
142,5,13
143,5,17
144,5,27
145,6,1
146,6,2
147,6,3
148,6,4
149,6,5
150,6,6
151,6,12
152,6,18
153,6,24
154,6,30
155,6,8
156,6,14
157,6,26
158,6,32
159,6,19
160,6,21
161,6,22
162,6,23
163,6,10
164,6,16
165,6,28
166,6,31
167,6,33
168,6,35
169,6,9
170,6,11
171,6,17
172,6,27
173,7,1
174,7,2
175,7,3
176,7,4
177,7,5
178,7,6
179,7,12
180,7,18
181,7,24
182,7,30
183,7,8
184,7,14
185,7,26
186,7,32
187,7,19
188,7,21
189,7,22
190,7,23
191,7,10
192,7,16
193,7,28
194,7,31
195,7,33
196,7,35
197,7,9
198,7,11
199,7,13
200,7,25
201,7,27
202,8,1
203,8,2
204,8,3
205,8,4
206,8,5
207,8,6
208,8,12
209,8,18
210,8,24
211,8,30
212,8,8
213,8,14
214,8,26
215,8,32
216,8,19
