,pw,x1,x2
0,1,tT2,0
1,1,tT1,1
2,2,tT2,0
3,2,tT1,1
4,3,tT2,0
5,3,tT1,1
6,4,tT2,0
7,4,tT1,1
8,5,tT2,0
9,5,tT1,1
10,6,tT2,0
11,6,tT1,1
12,7,tT2,0
13,7,tT1,1
14,8,tT2,0
15,8,tT1,1
16,9,tT2,0
17,9,tT1,1
18,10,tT2,0
19,10,tT1,1
20,11,tT2,0
21,11,tT1,1
22,12,tT2,0
23,12,tT1,1
24,13,tT2,0
25,13,tT1,1
26,14,tT2,0
27,14,tT1,1
28,15,tT2,0
29,15,tT1,1
30,16,tT2,0
31,16,tT1,1
32,17,tT2,0
33,17,tT1,1
34,18,tT2,0
35,18,tT1,1
36,19,tT2,0
37,19,tT1,1
38,20,tT2,0
39,20,tT1,1
40,21,tT2,0
41,21,tT1,1
42,22,tT2,0
43,22,tT1,1
44,23,tT2,0
45,23,tT1,1
46,24,tT2,0
47,24,tT1,1
48,25,tT2,0
49,25,tT1,1
50,26,tT2,0
51,26,tT1,1
52,27,tT2,0
53,27,tT1,1
54,28,tT2,0
55,28,tT1,1
56,29,tT2,0
57,29,tT1,1
58,30,tT2,0
59,30,tT1,1
60,31,tT2,0
61,31,tT1,1
62,32,tT2,0
63,32,tT1,1
