,pw,x1,x2
0,1,aCEN_USA,aCEN_Northeast
1,1,aCEN_USA,aCEN_Midwest
2,1,aCEN_USA,aCEN_South
3,1,aCEN_USA,aCEN_West
4,1,bNDC_USA,bNDC_Midwest
5,1,bNDC_USA,bNDC_Northeast
6,1,bNDC_USA,bNDC_Southeast
7,1,bNDC_USA,bNDC_Southwest
8,1,bNDC_USA,bNDC_West
9,2,aCEN_USA,aCEN_Northeast
10,2,aCEN_USA,aCEN_Midwest
11,2,aCEN_USA,aCEN_South
12,2,aCEN_USA,aCEN_West
13,2,bNDC_USA,bNDC_Midwest
14,2,bNDC_USA,bNDC_Northeast
15,2,bNDC_USA,bNDC_Southeast
16,2,bNDC_USA,bNDC_Southwest
17,2,bNDC_USA,bNDC_West
18,3,aCEN_USA,aCEN_Northeast
19,3,aCEN_USA,aCEN_Midwest
20,3,aCEN_USA,aCEN_South
21,3,aCEN_USA,aCEN_West
22,3,bNDC_USA,bNDC_Midwest
23,3,bNDC_USA,bNDC_Northeast
24,3,bNDC_USA,bNDC_Southeast
25,3,bNDC_USA,bNDC_Southwest
26,3,bNDC_USA,bNDC_West
27,4,aCEN_USA,aCEN_Northeast
28,4,aCEN_USA,aCEN_Midwest
29,4,aCEN_USA,aCEN_South
30,4,aCEN_USA,aCEN_West
31,4,bNDC_USA,bNDC_Midwest
32,4,bNDC_USA,bNDC_Northeast
33,4,bNDC_USA,bNDC_Southeast
34,4,bNDC_USA,bNDC_Southwest
35,4,bNDC_USA,bNDC_West
36,5,aCEN_USA,aCEN_Northeast
37,5,aCEN_USA,aCEN_Midwest
38,5,aCEN_USA,aCEN_South
39,5,aCEN_USA,aCEN_West
40,5,bNDC_USA,bNDC_Midwest
41,5,bNDC_USA,bNDC_Northeast
42,5,bNDC_USA,bNDC_Southeast
43,5,bNDC_USA,bNDC_Southwest
44,5,bNDC_USA,bNDC_West
45,6,aCEN_USA,aCEN_Northeast
46,6,aCEN_USA,aCEN_Midwest
47,6,aCEN_USA,aCEN_South
48,6,aCEN_USA,aCEN_West
49,6,bNDC_USA,bNDC_Midwest
50,6,bNDC_USA,bNDC_Northeast
51,6,bNDC_USA,bNDC_Southeast
52,6,bNDC_USA,bNDC_Southwest
53,6,bNDC_USA,bNDC_West
54,7,aCEN_USA,aCEN_Northeast
55,7,aCEN_USA,aCEN_Midwest
56,7,aCEN_USA,aCEN_South
57,7,aCEN_USA,aCEN_West
58,7,bNDC_USA,bNDC_Midwest
59,7,bNDC_USA,bNDC_Northeast
60,7,bNDC_USA,bNDC_Southeast
61,7,bNDC_USA,bNDC_Southwest
62,7,bNDC_USA,bNDC_West
63,8,aCEN_USA,aCEN_Northeast
64,8,aCEN_USA,aCEN_Midwest
65,8,aCEN_USA,aCEN_South
66,8,aCEN_USA,aCEN_West
67,8,bNDC_USA,bNDC_Midwest
68,8,bNDC_USA,bNDC_Northeast
69,8,bNDC_USA,bNDC_Southeast
70,8,bNDC_USA,bNDC_Southwest
71,8,bNDC_USA,bNDC_West
