,pw,x1,x2
0,1,aCEN_Midwest,aCEN_Northeast
1,1,aCEN_South,aCEN_Northeast
2,1,aCEN_West,aCEN_Northeast
3,1,aCEN_Northeast,aCEN_Midwest
4,1,aCEN_South,aCEN_Midwest
5,1,aCEN_West,aCEN_Midwest
6,1,aCEN_Northeast,aCEN_South
7,1,aCEN_Midwest,aCEN_South
8,1,aCEN_West,aCEN_South
9,1,aCEN_Northeast,aCEN_West
10,1,aCEN_Midwest,aCEN_West
11,1,aCEN_South,aCEN_West
12,1,bNDC_Northeast,bNDC_Midwest
13,1,bNDC_Southeast,bNDC_Midwest
14,1,bNDC_Southwest,bNDC_Midwest
15,1,bNDC_West,bNDC_Midwest
16,1,bNDC_Midwest,bNDC_Northeast
17,1,bNDC_Southeast,bNDC_Northeast
18,1,bNDC_Southwest,bNDC_Northeast
19,1,bNDC_West,bNDC_Northeast
20,1,bNDC_Midwest,bNDC_Southeast
21,1,bNDC_Northeast,bNDC_Southeast
22,1,bNDC_Southwest,bNDC_Southeast
23,1,bNDC_West,bNDC_Southeast
24,1,bNDC_Midwest,bNDC_Southwest
25,1,bNDC_Northeast,bNDC_Southwest
26,1,bNDC_Southeast,bNDC_Southwest
27,1,bNDC_West,bNDC_Southwest
28,1,bNDC_Midwest,bNDC_West
29,1,bNDC_Northeast,bNDC_West
30,1,bNDC_Southeast,bNDC_West
31,1,bNDC_Southwest,bNDC_West
32,1,aCEN_Northeast,bNDC_West
33,1,aCEN_Northeast,bNDC_Southwest
34,1,aCEN_Northeast,bNDC_Southeast
35,1,aCEN_Northeast,bNDC_Midwest
36,1,aCEN_South,bNDC_Midwest
37,1,aCEN_West,bNDC_Midwest
38,1,aCEN_Midwest,bNDC_West
39,1,aCEN_Midwest,bNDC_Southwest
40,1,aCEN_Midwest,bNDC_Southeast
41,1,aCEN_Midwest,bNDC_Northeast
42,1,bNDC_Northeast,aCEN_Midwest
43,1,bNDC_Southeast,aCEN_Midwest
44,1,bNDC_Southwest,aCEN_Midwest
45,1,bNDC_West,aCEN_Midwest
46,1,bNDC_Midwest,aCEN_West
47,1,bNDC_Midwest,aCEN_South
48,1,bNDC_Midwest,aCEN_Northeast
49,1,bNDC_Southeast,aCEN_Northeast
50,1,bNDC_Southwest,aCEN_Northeast
51,1,bNDC_West,aCEN_Northeast
52,1,bNDC_West,aCEN_South
53,1,bNDC_Southeast,aCEN_West
54,1,aCEN_South,bNDC_West
55,1,aCEN_West,bNDC_Southeast
56,1,aCEN_South,bNDC_Northeast
57,1,bNDC_Northeast,aCEN_South
58,1,aCEN_West,bNDC_Northeast
59,1,bNDC_Northeast,aCEN_West
60,1,bNDC_Southwest,aCEN_West
61,1,aCEN_West,bNDC_Southwest
62,2,aCEN_Midwest,aCEN_Northeast
63,2,aCEN_South,aCEN_Northeast
64,2,aCEN_West,aCEN_Northeast
65,2,aCEN_Northeast,aCEN_Midwest
66,2,aCEN_South,aCEN_Midwest
67,2,aCEN_West,aCEN_Midwest
68,2,aCEN_Northeast,aCEN_South
69,2,aCEN_Midwest,aCEN_South
70,2,aCEN_West,aCEN_South
71,2,aCEN_Northeast,aCEN_West
72,2,aCEN_Midwest,aCEN_West
73,2,aCEN_South,aCEN_West
74,2,bNDC_Northeast,bNDC_Midwest
75,2,bNDC_Southeast,bNDC_Midwest
76,2,bNDC_Southwest,bNDC_Midwest
77,2,bNDC_West,bNDC_Midwest
78,2,bNDC_Midwest,bNDC_Northeast
79,2,bNDC_Southeast,bNDC_Northeast
80,2,bNDC_Southwest,bNDC_Northeast
81,2,bNDC_West,bNDC_Northeast
82,2,bNDC_Midwest,bNDC_Southeast
83,2,bNDC_Northeast,bNDC_Southeast
84,2,bNDC_Southwest,bNDC_Southeast
85,2,bNDC_West,bNDC_Southeast
86,2,bNDC_Midwest,bNDC_Southwest
87,2,bNDC_Northeast,bNDC_Southwest
88,2,bNDC_Southeast,bNDC_Southwest
89,2,bNDC_West,bNDC_Southwest
90,2,bNDC_Midwest,bNDC_West
91,2,bNDC_Northeast,bNDC_West
92,2,bNDC_Southeast,bNDC_West
93,2,bNDC_Southwest,bNDC_West
94,2,aCEN_Northeast,bNDC_West
95,2,aCEN_Northeast,bNDC_Southwest
96,2,aCEN_Northeast,bNDC_Southeast
97,2,aCEN_Northeast,bNDC_Midwest
98,2,aCEN_South,bNDC_Midwest
99,2,aCEN_West,bNDC_Midwest
100,2,aCEN_Midwest,bNDC_West
101,2,aCEN_Midwest,bNDC_Southwest
102,2,aCEN_Midwest,bNDC_Southeast
103,2,aCEN_Midwest,bNDC_Northeast
104,2,bNDC_Northeast,aCEN_Midwest
105,2,bNDC_Southeast,aCEN_Midwest
106,2,bNDC_Southwest,aCEN_Midwest
107,2,bNDC_West,aCEN_Midwest
108,2,bNDC_Midwest,aCEN_West
109,2,bNDC_Midwest,aCEN_South
110,2,bNDC_Midwest,aCEN_Northeast
111,2,bNDC_Southeast,aCEN_Northeast
112,2,bNDC_Southwest,aCEN_Northeast
113,2,bNDC_West,aCEN_Northeast
114,2,bNDC_West,aCEN_South
115,2,bNDC_Southeast,aCEN_West
116,2,aCEN_South,bNDC_West
117,2,aCEN_West,bNDC_Southeast
118,2,aCEN_West,bNDC_Northeast
119,2,bNDC_Northeast,aCEN_West
120,2,bNDC_Southwest,aCEN_West
121,2,aCEN_West,bNDC_Southwest
122,3,aCEN_Midwest,aCEN_Northeast
