,pw,x1,x2
0,1,aCEN_South,bNDC_Southwest
1,1,bNDC_Southwest,aCEN_South
2,2,aCEN_South,bNDC_Southwest
3,2,bNDC_Southwest,aCEN_South
4,2,aCEN_South,bNDC_Northeast
5,2,bNDC_Northeast,aCEN_South
6,3,aCEN_South,bNDC_Southwest
7,3,bNDC_Southwest,aCEN_South
8,3,aCEN_West,bNDC_Southwest
9,3,bNDC_Southwest,aCEN_West
10,4,aCEN_South,bNDC_Southwest
11,4,bNDC_Southwest,aCEN_South
12,4,aCEN_South,bNDC_Northeast
13,4,aCEN_West,bNDC_Southwest
14,4,bNDC_Southwest,aCEN_West
15,4,bNDC_Northeast,aCEN_South
16,5,aCEN_South,bNDC_Southwest
17,5,bNDC_Southwest,aCEN_South
18,5,aCEN_West,bNDC_Northeast
19,5,bNDC_Northeast,aCEN_West
20,6,aCEN_South,bNDC_Southwest
21,6,bNDC_Southwest,aCEN_South
22,6,aCEN_South,bNDC_Northeast
23,6,aCEN_West,bNDC_Northeast
24,6,bNDC_Northeast,aCEN_West
25,6,bNDC_Northeast,aCEN_South
26,7,aCEN_South,bNDC_Southwest
27,7,bNDC_Southwest,aCEN_South
28,7,aCEN_West,bNDC_Northeast
29,7,aCEN_West,bNDC_Southwest
30,7,bNDC_Southwest,aCEN_West
31,7,bNDC_Northeast,aCEN_West
32,8,aCEN_South,bNDC_Southwest
33,8,bNDC_Southwest,aCEN_South
34,8,aCEN_South,bNDC_Northeast
35,8,aCEN_West,bNDC_Northeast
36,8,aCEN_West,bNDC_Southwest
37,8,bNDC_Southwest,aCEN_West
38,8,bNDC_Northeast,aCEN_West
39,8,bNDC_Northeast,aCEN_South
