,pw,x1,x2
0,1,aCEN_Northeast,bNDC_Northeast
1,1,aCEN_Northeast,aCEN_USA
2,1,aCEN_Midwest,aCEN_USA
3,1,aCEN_South,aCEN_USA
4,1,aCEN_West,aCEN_USA
5,1,bNDC_Midwest,bNDC_USA
6,1,bNDC_Northeast,bNDC_USA
7,1,bNDC_Southeast,bNDC_USA
8,1,bNDC_Southwest,bNDC_USA
9,1,bNDC_West,bNDC_USA
10,1,bNDC_Southeast,aCEN_South
11,1,bNDC_West,aCEN_West
12,1,aCEN_Northeast,bNDC_USA
13,1,aCEN_Midwest,bNDC_USA
14,1,aCEN_South,bNDC_USA
15,1,aCEN_West,bNDC_USA
16,1,bNDC_West,aCEN_USA
17,1,bNDC_Southeast,aCEN_USA
18,1,bNDC_Southwest,aCEN_USA
19,1,bNDC_Northeast,aCEN_USA
20,1,bNDC_Midwest,aCEN_USA
21,2,aCEN_Northeast,bNDC_Northeast
22,2,aCEN_Northeast,aCEN_USA
23,2,aCEN_Midwest,aCEN_USA
24,2,aCEN_South,aCEN_USA
25,2,aCEN_West,aCEN_USA
26,2,bNDC_Midwest,bNDC_USA
27,2,bNDC_Northeast,bNDC_USA
28,2,bNDC_Southeast,bNDC_USA
29,2,bNDC_Southwest,bNDC_USA
30,2,bNDC_West,bNDC_USA
31,2,bNDC_Southeast,aCEN_South
32,2,bNDC_West,aCEN_West
33,2,aCEN_Northeast,bNDC_USA
34,2,aCEN_Midwest,bNDC_USA
35,2,aCEN_South,bNDC_USA
36,2,aCEN_West,bNDC_USA
37,2,bNDC_West,aCEN_USA
38,2,bNDC_Southeast,aCEN_USA
39,2,bNDC_Southwest,aCEN_USA
40,2,bNDC_Northeast,aCEN_USA
41,2,bNDC_Midwest,aCEN_USA
42,3,aCEN_Northeast,bNDC_Northeast
43,3,aCEN_Northeast,aCEN_USA
44,3,aCEN_Midwest,aCEN_USA
45,3,aCEN_South,aCEN_USA
46,3,aCEN_West,aCEN_USA
47,3,bNDC_Midwest,bNDC_USA
48,3,bNDC_Northeast,bNDC_USA
49,3,bNDC_Southeast,bNDC_USA
50,3,bNDC_Southwest,bNDC_USA
51,3,bNDC_West,bNDC_USA
52,3,bNDC_Southeast,aCEN_South
53,3,bNDC_West,aCEN_West
54,3,aCEN_Northeast,bNDC_USA
55,3,aCEN_Midwest,bNDC_USA
56,3,aCEN_South,bNDC_USA
57,3,aCEN_West,bNDC_USA
58,3,bNDC_West,aCEN_USA
59,3,bNDC_Southeast,aCEN_USA
60,3,bNDC_Southwest,aCEN_USA
61,3,bNDC_Northeast,aCEN_USA
62,3,bNDC_Midwest,aCEN_USA
63,4,aCEN_Northeast,bNDC_Northeast
64,4,aCEN_Northeast,aCEN_USA
65,4,aCEN_Midwest,aCEN_USA
66,4,aCEN_South,aCEN_USA
67,4,aCEN_West,aCEN_USA
68,4,bNDC_Midwest,bNDC_USA
69,4,bNDC_Northeast,bNDC_USA
70,4,bNDC_Southeast,bNDC_USA
71,4,bNDC_Southwest,bNDC_USA
72,4,bNDC_West,bNDC_USA
73,4,bNDC_Southeast,aCEN_South
74,4,bNDC_West,aCEN_West
75,4,aCEN_Northeast,bNDC_USA
76,4,aCEN_Midwest,bNDC_USA
77,4,aCEN_South,bNDC_USA
78,4,aCEN_West,bNDC_USA
79,4,bNDC_West,aCEN_USA
80,4,bNDC_Southeast,aCEN_USA
81,4,bNDC_Southwest,aCEN_USA
82,4,bNDC_Northeast,aCEN_USA
83,4,bNDC_Midwest,aCEN_USA
84,5,aCEN_Northeast,bNDC_Northeast
85,5,aCEN_Northeast,aCEN_USA
86,5,aCEN_Midwest,aCEN_USA
87,5,aCEN_South,aCEN_USA
88,5,aCEN_West,aCEN_USA
89,5,bNDC_Midwest,bNDC_USA
90,5,bNDC_Northeast,bNDC_USA
91,5,bNDC_Southeast,bNDC_USA
92,5,bNDC_Southwest,bNDC_USA
93,5,bNDC_West,bNDC_USA
94,5,bNDC_Southeast,aCEN_South
95,5,bNDC_West,aCEN_West
96,5,aCEN_Northeast,bNDC_USA
97,5,aCEN_Midwest,bNDC_USA
98,5,aCEN_South,bNDC_USA
99,5,aCEN_West,bNDC_USA
100,5,bNDC_West,aCEN_USA
101,5,bNDC_Southeast,aCEN_USA
102,5,bNDC_Southwest,aCEN_USA
103,5,bNDC_Northeast,aCEN_USA
104,5,bNDC_Midwest,aCEN_USA
105,6,aCEN_Northeast,bNDC_Northeast
106,6,aCEN_Northeast,aCEN_USA
107,6,aCEN_Midwest,aCEN_USA
108,6,aCEN_South,aCEN_USA
109,6,aCEN_West,aCEN_USA
110,6,bNDC_Midwest,bNDC_USA
111,6,bNDC_Northeast,bNDC_USA
112,6,bNDC_Southeast,bNDC_USA
113,6,bNDC_Southwest,bNDC_USA
114,6,bNDC_West,bNDC_USA
115,6,bNDC_Southeast,aCEN_South
116,6,bNDC_West,aCEN_West
