,pw,x1
0,1,aCEN_Northeast
1,1,aCEN_Midwest
2,1,aCEN_South
3,1,aCEN_West
4,1,bNDC_Midwest
5,1,bNDC_Northeast
6,1,bNDC_Southeast
7,1,bNDC_Southwest
8,1,bNDC_West
9,1,aCEN_USA
10,1,bNDC_USA
11,2,aCEN_Northeast
12,2,aCEN_Midwest
13,2,aCEN_South
14,2,aCEN_West
15,2,bNDC_Midwest
16,2,bNDC_Northeast
17,2,bNDC_Southeast
18,2,bNDC_Southwest
19,2,bNDC_West
20,2,aCEN_USA
21,2,bNDC_USA
22,3,aCEN_Northeast
23,3,aCEN_Midwest
24,3,aCEN_South
25,3,aCEN_West
26,3,bNDC_Midwest
27,3,bNDC_Northeast
28,3,bNDC_Southeast
29,3,bNDC_Southwest
30,3,bNDC_West
31,3,aCEN_USA
32,3,bNDC_USA
33,4,aCEN_Northeast
34,4,aCEN_Midwest
35,4,aCEN_South
36,4,aCEN_West
37,4,bNDC_Midwest
38,4,bNDC_Northeast
39,4,bNDC_Southeast
40,4,bNDC_Southwest
41,4,bNDC_West
42,4,aCEN_USA
43,4,bNDC_USA
44,5,aCEN_Northeast
45,5,aCEN_Midwest
46,5,aCEN_South
47,5,aCEN_West
48,5,bNDC_Midwest
49,5,bNDC_Northeast
50,5,bNDC_Southeast
51,5,bNDC_Southwest
52,5,bNDC_West
53,5,aCEN_USA
54,5,bNDC_USA
55,6,aCEN_Northeast
56,6,aCEN_Midwest
57,6,aCEN_South
58,6,aCEN_West
59,6,bNDC_Midwest
60,6,bNDC_Northeast
61,6,bNDC_Southeast
62,6,bNDC_Southwest
63,6,bNDC_West
64,6,aCEN_USA
65,6,bNDC_USA
66,7,aCEN_Northeast
67,7,aCEN_Midwest
68,7,aCEN_South
69,7,aCEN_West
70,7,bNDC_Midwest
71,7,bNDC_Northeast
72,7,bNDC_Southeast
73,7,bNDC_Southwest
74,7,bNDC_West
75,7,aCEN_USA
76,7,bNDC_USA
77,8,aCEN_Northeast
78,8,aCEN_Midwest
79,8,aCEN_South
80,8,aCEN_West
81,8,bNDC_Midwest
82,8,bNDC_Northeast
83,8,bNDC_Southeast
84,8,bNDC_Southwest
85,8,bNDC_West
86,8,aCEN_USA
87,8,bNDC_USA
