,pw,x1,x2
0,1,6,g
1,1,1,b
2,1,2,g
3,1,3,r
4,1,4,g
5,1,5,r
6,2,6,g
7,2,1,y
8,2,2,g
9,2,3,r
10,2,4,g
11,2,5,r
12,3,6,b
13,3,1,y
14,3,2,g
15,3,3,r
16,3,4,g
17,3,5,r
18,4,1,b
19,4,6,y
20,4,2,g
21,4,3,r
22,4,4,g
23,4,5,r
24,5,1,g
25,5,6,y
26,5,2,b
27,5,3,r
28,5,4,g
29,5,5,r
30,6,6,g
31,6,1,y
32,6,2,b
33,6,3,r
34,6,4,g
35,6,5,r
36,7,1,g
37,7,6,b
38,7,2,b
39,7,3,r
40,7,4,g
41,7,5,r
42,8,6,b
43,8,1,y
44,8,2,b
45,8,3,r
46,8,4,g
47,8,5,r
48,9,6,g
49,9,1,b
50,9,2,y
51,9,3,r
52,9,4,g
53,9,5,r
54,10,1,g
55,10,6,y
56,10,2,y
57,10,3,r
58,10,4,g
59,10,5,r
60,11,1,b
61,11,6,y
62,11,2,y
63,11,3,r
64,11,4,g
65,11,5,r
66,12,1,g
67,12,6,b
68,12,2,y
69,12,3,r
70,12,4,g
71,12,5,r
72,13,1,g
73,13,6,b
74,13,2,r
75,13,3,b
76,13,4,g
77,13,5,r
78,14,1,g
79,14,6,y
80,14,2,r
81,14,3,b
82,14,4,g
83,14,5,r
84,15,1,g
85,15,6,b
86,15,2,y
87,15,3,b
88,15,4,g
89,15,5,r
90,16,1,g
91,16,6,y
92,16,2,y
93,16,3,b
94,16,4,g
95,16,5,r
96,17,6,g
97,17,1,y
98,17,2,r
99,17,3,b
100,17,4,g
101,17,5,r
102,18,6,b
103,18,1,y
104,18,2,r
105,18,3,b
106,18,4,g
107,18,5,r
108,19,6,g
109,19,1,y
110,19,2,g
111,19,3,b
112,19,4,g
113,19,5,r
114,20,6,b
115,20,1,y
116,20,2,g
117,20,3,b
118,20,4,g
119,20,5,r
120,21,6,g
121,21,1,b
122,21,2,g
123,21,3,b
124,21,4,g
125,21,5,r
126,22,1,b
127,22,6,y
128,22,2,g
129,22,3,b
130,22,4,g
131,22,5,r
132,23,6,g
133,23,1,b
134,23,2,y
135,23,3,b
136,23,4,g
137,23,5,r
138,24,1,b
139,24,6,y
140,24,2,y
141,24,3,b
142,24,4,g
143,24,5,r
144,25,6,g
145,25,1,b
146,25,2,r
147,25,3,b
148,25,4,g
149,25,5,r
150,26,1,b
151,26,6,y
152,26,2,r
153,26,3,b
154,26,4,g
155,26,5,r
156,27,6,g
157,27,1,y
158,27,2,g
159,27,3,y
160,27,4,g
161,27,5,r
162,28,6,g
163,28,1,y
164,28,2,r
165,28,3,y
166,28,4,g
167,28,5,r
168,29,6,g
169,29,1,y
170,29,2,b
171,29,3,y
172,29,4,g
173,29,5,r
174,30,6,g
175,30,1,b
176,30,2,g
177,30,3,y
178,30,4,g
179,30,5,r
180,31,6,g
181,31,1,b
182,31,2,r
183,31,3,y
184,31,4,g
185,31,5,r
186,32,6,b
187,32,1,y
188,32,2,g
189,32,3,y
190,32,4,g
191,32,5,r
192,33,1,g
193,33,6,b
194,33,2,b
195,33,3,y
196,33,4,g
197,33,5,r
198,34,6,b
199,34,1,y
200,34,2,b
201,34,3,y
202,34,4,g
203,34,5,r
204,35,1,g
205,35,6,b
206,35,2,r
207,35,3,y
208,35,4,g
209,35,5,r
210,36,6,b
211,36,1,y
212,36,2,r
213,36,3,y
214,36,4,g
215,36,5,r
216,37,1,g
217,37,6,y
218,37,2,r
219,37,3,y
220,37,4,g
221,37,5,r
222,38,1,g
223,38,6,y
224,38,2,b
225,38,3,y
226,38,4,g
227,38,5,r
228,39,1,b
229,39,6,y
230,39,2,g
231,39,3,y
232,39,4,g
233,39,5,r
234,40,1,b
235,40,6,y
236,40,2,r
237,40,3,y
238,40,4,g
239,40,5,r
240,41,1,g
241,41,6,y
242,41,2,y
243,41,3,g
244,41,4,b
245,41,5,r
246,42,1,g
247,42,6,y
248,42,2,y
249,42,3,r
250,42,4,b
251,42,5,r
252,43,6,g
253,43,1,y
254,43,2,g
255,43,3,y
256,43,4,b
257,43,5,r
258,44,6,g
259,44,1,y
260,44,2,g
261,44,3,r
262,44,4,b
263,44,5,r
264,45,1,g
265,45,6,b
266,45,2,y
267,45,3,g
268,45,4,b
269,45,5,r
270,46,6,b
271,46,1,y
272,46,2,g
273,46,3,y
274,46,4,b
275,46,5,r
276,47,1,g
277,47,6,b
278,47,2,y
279,47,3,r
280,47,4,b
281,47,5,r
282,48,6,b
283,48,1,y
284,48,2,g
285,48,3,r
286,48,4,b
287,48,5,r
288,49,6,g
289,49,1,b
290,49,2,g
291,49,3,y
292,49,4,b
293,49,5,r
294,50,6,g
295,50,1,b
296,50,2,y
297,50,3,g
298,50,4,b
299,50,5,r
300,51,6,g
301,51,1,b
302,51,2,g
303,51,3,r
304,51,4,b
305,51,5,r
306,52,6,g
307,52,1,b
308,52,2,y
309,52,3,r
310,52,4,b
311,52,5,r
312,53,1,b
313,53,6,y
314,53,2,g
315,53,3,y
316,53,4,b
317,53,5,r
318,54,1,b
319,54,6,y
320,54,2,g
321,54,3,r
322,54,4,b
323,54,5,r
324,55,1,b
325,55,6,y
326,55,2,y
327,55,3,g
328,55,4,b
329,55,5,r
330,56,1,b
331,56,6,y
332,56,2,y
333,56,3,r
334,56,4,b
335,56,5,r
336,57,1,g
337,57,6,b
338,57,2,b
339,57,3,g
340,57,4,b
341,57,5,r
342,58,1,g
343,58,6,b
344,58,2,b
345,58,3,y
346,58,4,b
347,58,5,r
348,59,6,g
349,59,1,y
350,59,2,b
351,59,3,g
352,59,4,b
353,59,5,r
354,60,6,b
355,60,1,y
356,60,2,b
357,60,3,g
358,60,4,b
359,60,5,r
360,61,6,g
361,61,1,y
362,61,2,b
363,61,3,y
364,61,4,b
365,61,5,r
366,62,6,b
367,62,1,y
368,62,2,b
369,62,3,y
370,62,4,b
371,62,5,r
372,63,1,g
373,63,6,y
374,63,2,b
375,63,3,g
376,63,4,b
377,63,5,r
378,64,1,g
379,64,6,y
380,64,2,b
381,64,3,y
382,64,4,b
383,64,5,r
384,65,6,g
385,65,1,y
386,65,2,b
387,65,3,r
388,65,4,b
389,65,5,r
390,66,1,g
391,66,6,y
392,66,2,b
393,66,3,r
394,66,4,b
395,66,5,r
396,67,1,g
397,67,6,b
398,67,2,b
399,67,3,r
400,67,4,b
401,67,5,r
402,68,6,b
403,68,1,y
404,68,2,b
405,68,3,r
406,68,4,b
407,68,5,r
408,69,6,g
409,69,1,b
410,69,2,r
411,69,3,g
412,69,4,b
413,69,5,r
414,70,6,g
415,70,1,b
416,70,2,r
417,70,3,y
418,70,4,b
419,70,5,r
420,71,1,g
421,71,6,b
422,71,2,r
