,pw,x1,x2
0,1,belgium,red
1,1,netherlands,blue
2,1,france,white
3,1,luxembourg,red
4,1,germany,green
5,1,denmark,red
6,2,belgium,red
7,2,netherlands,blue
8,2,france,white
9,2,luxembourg,red
10,2,germany,green
11,2,denmark,blue
12,3,belgium,red
13,3,netherlands,blue
14,3,france,white
15,3,luxembourg,red
16,3,germany,green
17,3,denmark,green
18,4,belgium,red
19,4,netherlands,blue
20,4,france,white
21,4,luxembourg,red
22,4,germany,green
23,4,denmark,white
24,5,belgium,red
25,5,netherlands,blue
26,5,france,blue
27,5,luxembourg,red
28,5,germany,green
29,5,denmark,blue
30,6,belgium,red
31,6,netherlands,blue
32,6,france,blue
33,6,luxembourg,red
34,6,germany,green
35,6,denmark,green
36,7,belgium,red
37,7,netherlands,blue
38,7,france,blue
39,7,luxembourg,red
40,7,germany,green
41,7,denmark,white
42,8,belgium,red
43,8,netherlands,blue
44,8,france,blue
45,8,luxembourg,red
46,8,germany,green
47,8,denmark,red
48,9,belgium,red
49,9,netherlands,blue
50,9,france,green
51,9,luxembourg,red
52,9,germany,green
53,9,denmark,white
54,10,belgium,red
55,10,netherlands,blue
56,10,france,green
57,10,luxembourg,red
58,10,germany,green
59,10,denmark,green
60,11,belgium,red
61,11,netherlands,blue
62,11,france,green
63,11,luxembourg,red
64,11,germany,green
65,11,denmark,red
66,12,belgium,red
67,12,netherlands,blue
68,12,france,green
69,12,luxembourg,red
70,12,germany,green
71,12,denmark,blue
72,13,belgium,red
73,13,netherlands,blue
74,13,france,green
75,13,germany,green
76,13,luxembourg,blue
77,13,denmark,blue
78,14,belgium,red
79,14,netherlands,blue
80,14,france,green
81,14,germany,green
82,14,luxembourg,blue
83,14,denmark,red
84,15,belgium,red
85,15,netherlands,blue
86,15,france,green
87,15,germany,green
88,15,luxembourg,blue
89,15,denmark,green
90,16,belgium,red
91,16,netherlands,blue
92,16,france,green
93,16,germany,green
94,16,luxembourg,blue
95,16,denmark,white
96,17,belgium,red
97,17,netherlands,blue
98,17,france,white
99,17,germany,green
100,17,luxembourg,blue
101,17,denmark,red
102,18,belgium,red
103,18,netherlands,blue
104,18,france,white
105,18,germany,green
106,18,luxembourg,blue
107,18,denmark,green
108,19,belgium,red
109,19,netherlands,blue
110,19,france,white
111,19,germany,green
