,pw,x1,x2
0,1,"""1_c""","""1_b"""
1,1,"""1_d""","""1_b"""
2,1,"""1_e""","""1_b"""
3,1,"""1_b""","""1_c"""
4,1,"""1_d""","""1_c"""
5,1,"""1_e""","""1_c"""
6,1,"""1_b""","""1_d"""
7,1,"""1_c""","""1_d"""
8,1,"""1_e""","""1_d"""
9,1,"""1_b""","""1_e"""
10,1,"""1_c""","""1_e"""
11,1,"""1_d""","""1_e"""
12,1,"""2_d""","""2_b"""
13,1,"""2_f""","""2_b"""
14,1,"""2_g""","""2_b"""
15,1,"""2_b""","""2_d"""
16,1,"""2_f""","""2_d"""
17,1,"""2_g""","""2_d"""
18,1,"""2_b""","""2_f"""
19,1,"""2_d""","""2_f"""
20,1,"""2_g""","""2_f"""
21,1,"""2_b""","""2_g"""
22,1,"""2_d""","""2_g"""
23,1,"""2_f""","""2_g"""
24,1,"""1_c""","""2_d"""
25,1,"""1_c""","""2_b"""
26,1,"""1_b""","""2_g"""
27,1,"""1_d""","""2_g"""
28,1,"""1_b""","""2_d"""
29,1,"""1_e""","""2_d"""
30,1,"""1_d""","""2_b"""
31,1,"""1_e""","""2_b"""
32,1,"""1_d""","""2_f"""
33,1,"""1_b""","""2_f"""
34,1,"""2_f""","""1_b"""
35,1,"""2_f""","""1_d"""
36,1,"""2_b""","""1_e"""
37,1,"""2_b""","""1_d"""
38,1,"""2_d""","""1_e"""
39,1,"""2_d""","""1_b"""
40,1,"""2_g""","""1_d"""
41,1,"""2_g""","""1_b"""
42,1,"""2_b""","""1_c"""
43,1,"""2_d""","""1_c"""
44,1,"""1_c""","""2_g"""
45,1,"""1_e""","""2_f"""
46,1,"""2_f""","""1_e"""
47,1,"""2_g""","""1_c"""
48,2,"""1_c""","""1_b"""
49,2,"""1_d""","""1_b"""
50,2,"""1_e""","""1_b"""
51,2,"""1_b""","""1_c"""
52,2,"""1_d""","""1_c"""
53,2,"""1_e""","""1_c"""
54,2,"""1_b""","""1_d"""
55,2,"""1_c""","""1_d"""
56,2,"""1_e""","""1_d"""
57,2,"""1_b""","""1_e"""
58,2,"""1_c""","""1_e"""
59,2,"""1_d""","""1_e"""
60,2,"""2_d""","""2_b"""
61,2,"""2_f""","""2_b"""
62,2,"""2_g""","""2_b"""
63,2,"""2_b""","""2_d"""
64,2,"""2_f""","""2_d"""
65,2,"""2_g""","""2_d"""
66,2,"""2_b""","""2_f"""
67,2,"""2_d""","""2_f"""
68,2,"""2_g""","""2_f"""
69,2,"""2_b""","""2_g"""
70,2,"""2_d""","""2_g"""
71,2,"""2_f""","""2_g"""
72,2,"""1_c""","""2_d"""
73,2,"""1_c""","""2_b"""
74,2,"""1_b""","""2_g"""
75,2,"""1_d""","""2_g"""
76,2,"""1_b""","""2_d"""
77,2,"""1_e""","""2_d"""
78,2,"""1_d""","""2_b"""
79,2,"""1_e""","""2_b"""
80,2,"""1_d""","""2_f"""
81,2,"""1_b""","""2_f"""
82,2,"""2_f""","""1_b"""
83,2,"""2_f""","""1_d"""
84,2,"""2_b""","""1_e"""
85,2,"""2_b""","""1_d"""
86,2,"""2_d""","""1_e"""
87,2,"""2_d""","""1_b"""
