,pw,x1,x2
0,1,"""1_b""","""2_b"""
1,1,"""1_d""","""2_d"""
2,1,"""2_d""","""1_d"""
3,1,"""2_b""","""1_b"""
4,1,"""2_a""","""2_a"""
5,1,"""1_a""","""1_a"""
6,1,"""2_g""","""2_g"""
7,1,"""2_f""","""2_f"""
8,1,"""2_d""","""2_d"""
9,1,"""2_b""","""2_b"""
10,1,"""1_e""","""1_e"""
11,1,"""1_d""","""1_d"""
12,1,"""1_c""","""1_c"""
13,1,"""1_b""","""1_b"""
14,1,"""1_a""","""2_a"""
15,1,"""1_e""","""2_g"""
16,1,"""2_g""","""1_e"""
17,1,"""2_a""","""1_a"""
18,2,"""1_b""","""2_b"""
19,2,"""1_d""","""2_d"""
20,2,"""2_d""","""1_d"""
21,2,"""2_b""","""1_b"""
22,2,"""2_a""","""2_a"""
23,2,"""1_a""","""1_a"""
24,2,"""2_g""","""2_g"""
25,2,"""2_f""","""2_f"""
26,2,"""2_d""","""2_d"""
27,2,"""2_b""","""2_b"""
28,2,"""1_e""","""1_e"""
29,2,"""1_d""","""1_d"""
30,2,"""1_c""","""1_c"""
31,2,"""1_b""","""1_b"""
32,2,"""1_e""","""2_g"""
33,2,"""2_g""","""1_e"""
34,3,"""1_b""","""2_b"""
35,3,"""1_d""","""2_d"""
36,3,"""2_d""","""1_d"""
37,3,"""2_b""","""1_b"""
38,3,"""2_a""","""2_a"""
39,3,"""1_a""","""1_a"""
40,3,"""2_g""","""2_g"""
41,3,"""2_f""","""2_f"""
42,3,"""2_d""","""2_d"""
43,3,"""2_b""","""2_b"""
44,3,"""1_e""","""1_e"""
45,3,"""1_d""","""1_d"""
46,3,"""1_c""","""1_c"""
47,3,"""1_b""","""1_b"""
48,3,"""1_a""","""2_a"""
49,3,"""2_a""","""1_a"""
50,4,"""1_b""","""2_b"""
51,4,"""1_d""","""2_d"""
52,4,"""2_d""","""1_d"""
53,4,"""2_b""","""1_b"""
54,4,"""2_a""","""2_a"""
55,4,"""1_a""","""1_a"""
56,4,"""2_g""","""2_g"""
57,4,"""2_f""","""2_f"""
58,4,"""2_d""","""2_d"""
59,4,"""2_b""","""2_b"""
60,4,"""1_e""","""1_e"""
61,4,"""1_d""","""1_d"""
62,4,"""1_c""","""1_c"""
63,4,"""1_b""","""1_b"""
64,5,"""1_b""","""2_b"""
65,5,"""1_d""","""2_d"""
66,5,"""2_d""","""1_d"""
67,5,"""2_b""","""1_b"""
68,5,"""2_a""","""2_a"""
69,5,"""1_a""","""1_a"""
70,5,"""2_g""","""2_g"""
71,5,"""2_f""","""2_f"""
72,5,"""2_d""","""2_d"""
73,5,"""2_b""","""2_b"""
74,5,"""1_e""","""1_e"""
75,5,"""1_d""","""1_d"""
76,5,"""1_c""","""1_c"""
77,5,"""1_b""","""1_b"""
78,5,"""1_a""","""2_a"""
79,5,"""2_a""","""1_a"""
80,6,"""1_b""","""2_b"""
81,6,"""1_d""","""2_d"""
82,6,"""2_d""","""1_d"""
83,6,"""2_b""","""1_b"""
84,6,"""2_a""","""2_a"""
85,6,"""1_a""","""1_a"""
86,6,"""2_g""","""2_g"""
87,6,"""2_f""","""2_f"""
88,6,"""2_d""","""2_d"""
89,6,"""2_b""","""2_b"""
90,6,"""1_e""","""1_e"""
91,6,"""1_d""","""1_d"""
92,6,"""1_c""","""1_c"""
93,6,"""1_b""","""1_b"""
94,7,"""1_b""","""2_b"""
95,7,"""1_d""","""2_d"""
96,7,"""2_d""","""1_d"""
97,7,"""2_b""","""1_b"""
98,7,"""2_a""","""2_a"""
99,7,"""1_a""","""1_a"""
100,7,"""2_g""","""2_g"""
101,7,"""2_f""","""2_f"""
102,7,"""2_d""","""2_d"""
103,7,"""2_b""","""2_b"""
104,7,"""1_e""","""1_e"""
105,7,"""1_d""","""1_d"""
106,7,"""1_c""","""1_c"""
107,7,"""1_b""","""1_b"""
108,7,"""1_a""","""2_a"""
109,7,"""1_e""","""2_g"""
110,7,"""2_g""","""1_e"""
111,7,"""2_a""","""1_a"""
112,8,"""1_b""","""2_b"""
113,8,"""1_d""","""2_d"""
114,8,"""2_d""","""1_d"""
115,8,"""2_b""","""1_b"""
116,8,"""2_a""","""2_a"""
117,8,"""1_a""","""1_a"""
118,8,"""2_g""","""2_g"""
119,8,"""2_f""","""2_f"""
120,8,"""2_d""","""2_d"""
121,8,"""2_b""","""2_b"""
122,8,"""1_e""","""1_e"""
123,8,"""1_d""","""1_d"""
124,8,"""1_c""","""1_c"""
125,8,"""1_b""","""1_b"""
126,8,"""1_e""","""2_g"""
127,8,"""2_g""","""1_e"""
128,9,"""1_b""","""2_b"""
129,9,"""1_d""","""2_d"""
130,9,"""2_d""","""1_d"""
131,9,"""2_b""","""1_b"""
132,9,"""2_a""","""2_a"""
133,9,"""1_a""","""1_a"""
134,9,"""2_g""","""2_g"""
135,9,"""2_f""","""2_f"""
136,9,"""2_d""","""2_d"""
137,9,"""2_b""","""2_b"""
138,9,"""1_e""","""1_e"""
139,9,"""1_d""","""1_d"""
140,9,"""1_c""","""1_c"""
141,9,"""1_b""","""1_b"""
142,9,"""1_a""","""2_a"""
143,9,"""2_a""","""1_a"""
144,10,"""1_b""","""2_b"""
145,10,"""1_d""","""2_d"""
146,10,"""2_d""","""1_d"""
147,10,"""2_b""","""1_b"""
148,10,"""2_a""","""2_a"""
149,10,"""1_a""","""1_a"""
150,10,"""2_g""","""2_g"""
151,10,"""2_f""","""2_f"""
152,10,"""2_d""","""2_d"""
153,10,"""2_b""","""2_b"""
154,10,"""1_e""","""1_e"""
155,10,"""1_d""","""1_d"""
156,10,"""1_c""","""1_c"""
157,10,"""1_b""","""1_b"""
158,11,"""1_b""","""2_b"""
159,11,"""1_d""","""2_d"""
160,11,"""2_d""","""1_d"""
161,11,"""2_b""","""1_b"""
162,11,"""2_a""","""2_a"""
163,11,"""1_a""","""1_a"""
164,11,"""2_g""","""2_g"""
165,11,"""2_f""","""2_f"""
166,11,"""2_d""","""2_d"""
167,11,"""2_b""","""2_b"""
168,11,"""1_e""","""1_e"""
169,11,"""1_d""","""1_d"""
170,11,"""1_c""","""1_c"""
171,11,"""1_b""","""1_b"""
172,11,"""1_a""","""2_a"""
173,11,"""2_a""","""1_a"""
174,12,"""1_b""","""2_b"""
175,12,"""1_d""","""2_d"""
176,12,"""2_d""","""1_d"""
177,12,"""2_b""","""1_b"""
178,12,"""2_a""","""2_a"""
179,12,"""1_a""","""1_a"""
180,12,"""2_g""","""2_g"""
181,12,"""2_f""","""2_f"""
182,12,"""2_d""","""2_d"""
183,12,"""2_b""","""2_b"""
184,12,"""1_e""","""1_e"""
185,12,"""1_d""","""1_d"""
186,12,"""1_c""","""1_c"""
187,12,"""1_b""","""1_b"""
188,13,"""1_b""","""2_b"""
189,13,"""1_d""","""2_d"""
190,13,"""2_d""","""1_d"""
191,13,"""2_b""","""1_b"""
192,13,"""2_a""","""2_a"""
193,13,"""1_a""","""1_a"""
194,13,"""2_g""","""2_g"""
195,13,"""2_f""","""2_f"""
