,pw,x1,x2
0,1,"""2_a""","""2_g"""
1,1,"""2_a""","""2_f"""
2,1,"""2_a""","""2_d"""
3,1,"""2_a""","""2_b"""
4,1,"""1_a""","""1_e"""
5,1,"""1_a""","""1_d"""
6,1,"""1_a""","""1_c"""
7,1,"""1_a""","""1_b"""
8,1,"""2_a""","""1_d"""
9,1,"""2_a""","""1_b"""
10,1,"""1_a""","""2_b"""
11,1,"""1_a""","""2_d"""
12,1,"""2_f""","""1_c"""
13,1,"""2_a""","""1_e"""
14,1,"""2_a""","""1_c"""
15,1,"""1_a""","""2_g"""
16,1,"""1_a""","""2_f"""
17,2,"""2_a""","""2_g"""
18,2,"""2_a""","""2_f"""
19,2,"""2_a""","""2_d"""
20,2,"""2_a""","""2_b"""
21,2,"""1_a""","""1_e"""
22,2,"""1_a""","""1_d"""
23,2,"""1_a""","""1_c"""
24,2,"""1_a""","""1_b"""
25,2,"""2_a""","""1_d"""
26,2,"""2_a""","""1_b"""
27,2,"""1_a""","""2_b"""
28,2,"""1_a""","""2_d"""
29,2,"""2_f""","""1_c"""
30,2,"""2_a""","""1_a"""
31,2,"""2_a""","""1_e"""
32,2,"""2_a""","""1_c"""
33,2,"""1_a""","""2_g"""
34,2,"""1_a""","""2_f"""
35,3,"""2_a""","""2_g"""
36,3,"""2_a""","""2_f"""
37,3,"""2_a""","""2_d"""
38,3,"""2_a""","""2_b"""
39,3,"""1_a""","""1_e"""
40,3,"""1_a""","""1_d"""
41,3,"""1_a""","""1_c"""
42,3,"""1_a""","""1_b"""
43,3,"""2_a""","""1_d"""
44,3,"""2_a""","""1_b"""
45,3,"""1_a""","""2_b"""
46,3,"""1_a""","""2_d"""
47,3,"""2_f""","""1_c"""
48,3,"""2_a""","""1_e"""
49,3,"""2_a""","""1_c"""
50,3,"""1_a""","""2_g"""
51,3,"""1_a""","""2_f"""
52,4,"""2_a""","""2_g"""
53,4,"""2_a""","""2_f"""
54,4,"""2_a""","""2_d"""
55,4,"""2_a""","""2_b"""
56,4,"""1_a""","""1_e"""
57,4,"""1_a""","""1_d"""
58,4,"""1_a""","""1_c"""
59,4,"""1_a""","""1_b"""
60,4,"""2_a""","""1_d"""
61,4,"""2_a""","""1_b"""
62,4,"""1_a""","""2_b"""
63,4,"""1_a""","""2_d"""
64,4,"""2_f""","""1_c"""
65,4,"""2_a""","""1_a"""
66,4,"""2_a""","""1_e"""
67,4,"""2_a""","""1_c"""
68,4,"""1_a""","""2_g"""
69,4,"""1_a""","""2_f"""
70,5,"""2_a""","""2_g"""
71,5,"""2_a""","""2_f"""
72,5,"""2_a""","""2_d"""
73,5,"""2_a""","""2_b"""
74,5,"""1_a""","""1_e"""
75,5,"""1_a""","""1_d"""
76,5,"""1_a""","""1_c"""
77,5,"""1_a""","""1_b"""
78,5,"""2_a""","""1_d"""
79,5,"""2_a""","""1_b"""
80,5,"""1_a""","""2_b"""
81,5,"""1_a""","""2_d"""
82,5,"""2_f""","""1_c"""
83,5,"""2_a""","""1_e"""
84,5,"""2_a""","""1_c"""
85,5,"""1_a""","""2_g"""
86,5,"""1_a""","""2_f"""
87,6,"""2_a""","""2_g"""
88,6,"""2_a""","""2_f"""
89,6,"""2_a""","""2_d"""
90,6,"""2_a""","""2_b"""
91,6,"""1_a""","""1_e"""
92,6,"""1_a""","""1_d"""
93,6,"""1_a""","""1_c"""
94,6,"""1_a""","""1_b"""
95,6,"""2_a""","""1_d"""
96,6,"""2_a""","""1_b"""
97,6,"""1_a""","""2_b"""
98,6,"""1_a""","""2_d"""
99,6,"""2_f""","""1_c"""
100,6,"""2_a""","""1_a"""
101,6,"""2_a""","""1_e"""
102,6,"""2_a""","""1_c"""
103,6,"""1_a""","""2_g"""
104,6,"""1_a""","""2_f"""
105,7,"""2_a""","""2_g"""
106,7,"""2_a""","""2_f"""
107,7,"""2_a""","""2_d"""
108,7,"""2_a""","""2_b"""
109,7,"""1_a""","""1_e"""
110,7,"""1_a""","""1_d"""
111,7,"""1_a""","""1_c"""
112,7,"""1_a""","""1_b"""
113,7,"""2_a""","""1_d"""
114,7,"""2_a""","""1_b"""
115,7,"""1_a""","""2_b"""
116,7,"""1_a""","""2_d"""
117,7,"""2_a""","""1_e"""
118,7,"""2_a""","""1_c"""
119,7,"""1_a""","""2_g"""
120,7,"""1_a""","""2_f"""
121,8,"""2_a""","""2_g"""
122,8,"""2_a""","""2_f"""
123,8,"""2_a""","""2_d"""
124,8,"""2_a""","""2_b"""
125,8,"""1_a""","""1_e"""
126,8,"""1_a""","""1_d"""
127,8,"""1_a""","""1_c"""
128,8,"""1_a""","""1_b"""
129,8,"""2_a""","""1_d"""
130,8,"""2_a""","""1_b"""
131,8,"""1_a""","""2_b"""
132,8,"""1_a""","""2_d"""
133,8,"""2_a""","""1_a"""
134,8,"""2_a""","""1_e"""
135,8,"""2_a""","""1_c"""
136,8,"""1_a""","""2_g"""
137,8,"""1_a""","""2_f"""
138,9,"""2_a""","""2_g"""
139,9,"""2_a""","""2_f"""
140,9,"""2_a""","""2_d"""
141,9,"""2_a""","""2_b"""
142,9,"""1_a""","""1_e"""
143,9,"""1_a""","""1_d"""
144,9,"""1_a""","""1_c"""
145,9,"""1_a""","""1_b"""
146,9,"""2_a""","""1_d"""
147,9,"""2_a""","""1_b"""
148,9,"""1_a""","""2_b"""
149,9,"""1_a""","""2_d"""
