,pw,x1,x2
0,3,"""2_g""","""1_e"""
1,3,"""1_e""","""2_g"""
2,4,"""2_g""","""1_e"""
3,4,"""1_e""","""2_g"""
4,5,"""2_g""","""1_e"""
5,5,"""1_e""","""2_g"""
6,5,"""1_e""","""2_f"""
7,5,"""2_f""","""1_e"""
8,6,"""2_g""","""1_e"""
9,6,"""1_e""","""2_g"""
10,6,"""1_e""","""2_f"""
11,6,"""2_f""","""1_e"""
12,7,"""2_f""","""1_c"""
13,7,"""1_c""","""2_f"""
14,8,"""2_f""","""1_c"""
15,8,"""1_c""","""2_f"""
16,9,"""2_f""","""1_c"""
17,9,"""1_c""","""2_f"""
18,9,"""2_g""","""1_e"""
19,9,"""1_e""","""2_g"""
20,10,"""2_f""","""1_c"""
21,10,"""1_c""","""2_f"""
22,10,"""2_g""","""1_e"""
23,10,"""1_e""","""2_g"""
24,11,"""2_f""","""1_c"""
25,11,"""1_c""","""2_f"""
26,11,"""2_g""","""1_e"""
27,11,"""1_e""","""2_g"""
28,11,"""1_c""","""2_g"""
29,11,"""2_g""","""1_c"""
30,12,"""2_f""","""1_c"""
31,12,"""1_c""","""2_f"""
32,12,"""2_g""","""1_e"""
33,12,"""1_e""","""2_g"""
34,12,"""1_c""","""2_g"""
35,12,"""2_g""","""1_c"""
36,13,"""2_f""","""1_c"""
37,13,"""1_c""","""2_f"""
38,13,"""2_g""","""1_e"""
39,13,"""1_e""","""2_g"""
40,13,"""1_e""","""2_f"""
41,13,"""2_f""","""1_e"""
42,14,"""2_f""","""1_c"""
43,14,"""1_c""","""2_f"""
44,14,"""2_g""","""1_e"""
45,14,"""1_e""","""2_g"""
46,14,"""1_e""","""2_f"""
47,14,"""2_f""","""1_e"""
48,15,"""2_f""","""1_c"""
49,15,"""1_c""","""2_f"""
50,15,"""2_g""","""1_e"""
51,15,"""1_e""","""2_g"""
52,15,"""1_e""","""2_f"""
53,15,"""1_c""","""2_g"""
54,15,"""2_f""","""1_e"""
55,15,"""2_g""","""1_c"""
56,16,"""2_f""","""1_c"""
57,16,"""1_c""","""2_f"""
58,16,"""2_g""","""1_e"""
59,16,"""1_e""","""2_g"""
60,16,"""1_e""","""2_f"""
61,16,"""1_c""","""2_g"""
62,16,"""2_f""","""1_e"""
63,16,"""2_g""","""1_c"""
64,17,"""2_g""","""1_e"""
65,17,"""1_e""","""2_g"""
66,17,"""2_g""","""1_a"""
67,17,"""1_a""","""2_g"""
68,18,"""2_g""","""1_e"""
69,18,"""1_e""","""2_g"""
70,18,"""2_g""","""1_a"""
71,18,"""1_e""","""2_f"""
72,18,"""1_a""","""2_g"""
73,18,"""2_f""","""1_e"""
74,19,"""2_f""","""1_c"""
75,19,"""1_c""","""2_f"""
76,19,"""2_g""","""1_e"""
77,19,"""1_e""","""2_g"""
78,19,"""2_g""","""1_a"""
79,19,"""1_a""","""2_g"""
80,20,"""2_f""","""1_c"""
81,20,"""1_c""","""2_f"""
82,20,"""2_g""","""1_e"""
83,20,"""1_e""","""2_g"""
84,20,"""2_g""","""1_a"""
85,20,"""1_c""","""2_g"""
86,20,"""1_a""","""2_g"""
87,20,"""2_g""","""1_c"""
88,21,"""2_f""","""1_c"""
89,21,"""1_c""","""2_f"""
90,21,"""2_g""","""1_e"""
91,21,"""1_e""","""2_g"""
92,21,"""2_g""","""1_a"""
93,21,"""1_e""","""2_f"""
94,21,"""1_a""","""2_g"""
95,21,"""2_f""","""1_e"""
96,22,"""2_f""","""1_c"""
97,22,"""1_c""","""2_f"""
98,22,"""2_g""","""1_e"""
99,22,"""1_e""","""2_g"""
100,22,"""2_g""","""1_a"""
101,22,"""1_e""","""2_f"""
102,22,"""1_c""","""2_g"""
103,22,"""1_a""","""2_g"""
104,22,"""2_f""","""1_e"""
105,22,"""2_g""","""1_c"""
106,23,"""2_f""","""1_a"""
107,23,"""1_a""","""2_f"""
108,24,"""2_f""","""1_c"""
109,24,"""1_c""","""2_f"""
110,24,"""2_f""","""1_a"""
111,24,"""1_a""","""2_f"""
112,25,"""2_g""","""1_e"""
113,25,"""1_e""","""2_g"""
114,25,"""2_f""","""1_a"""
115,25,"""1_a""","""2_f"""
116,26,"""2_g""","""1_e"""
117,26,"""1_e""","""2_g"""
118,26,"""2_f""","""1_a"""
119,26,"""1_e""","""2_f"""
120,26,"""1_a""","""2_f"""
121,26,"""2_f""","""1_e"""
122,27,"""2_f""","""1_c"""
123,27,"""1_c""","""2_f"""
124,27,"""2_g""","""1_e"""
125,27,"""1_e""","""2_g"""
126,27,"""2_f""","""1_a"""
127,27,"""1_a""","""2_f"""
128,28,"""2_f""","""1_c"""
129,28,"""1_c""","""2_f"""
130,28,"""2_g""","""1_e"""
131,28,"""1_e""","""2_g"""
132,28,"""2_f""","""1_a"""
133,28,"""1_a""","""2_f"""
134,28,"""1_c""","""2_g"""
135,28,"""2_g""","""1_c"""
136,29,"""2_f""","""1_c"""
137,29,"""1_c""","""2_f"""
138,29,"""2_g""","""1_e"""
139,29,"""1_e""","""2_g"""
140,29,"""2_f""","""1_a"""
141,29,"""1_e""","""2_f"""
142,29,"""1_a""","""2_f"""
143,29,"""2_f""","""1_e"""
144,30,"""2_f""","""1_c"""
145,30,"""1_c""","""2_f"""
146,30,"""2_g""","""1_e"""
147,30,"""1_e""","""2_g"""
148,30,"""2_f""","""1_a"""
149,30,"""1_e""","""2_f"""
150,30,"""1_a""","""2_f"""
151,30,"""1_c""","""2_g"""
152,30,"""2_f""","""1_e"""
153,30,"""2_g""","""1_c"""
154,31,"""2_g""","""1_e"""
155,31,"""1_e""","""2_g"""
156,31,"""2_f""","""1_a"""
157,31,"""2_g""","""1_a"""
158,31,"""1_a""","""2_f"""
159,31,"""1_a""","""2_g"""
160,32,"""2_g""","""1_e"""
161,32,"""1_e""","""2_g"""
162,32,"""2_f""","""1_a"""
163,32,"""2_g""","""1_a"""
164,32,"""1_e""","""2_f"""
165,32,"""1_a""","""2_f"""
166,32,"""1_a""","""2_g"""
167,32,"""2_f""","""1_e"""
168,33,"""2_f""","""1_c"""
169,33,"""1_c""","""2_f"""
170,33,"""2_g""","""1_e"""
171,33,"""1_e""","""2_g"""
172,33,"""2_f""","""1_a"""
173,33,"""2_g""","""1_a"""
174,33,"""1_a""","""2_f"""
175,33,"""1_a""","""2_g"""
176,34,"""2_f""","""1_c"""
177,34,"""1_c""","""2_f"""
178,34,"""2_g""","""1_e"""
179,34,"""1_e""","""2_g"""
180,34,"""2_f""","""1_a"""
181,34,"""2_g""","""1_a"""
182,34,"""1_a""","""2_f"""
183,34,"""1_c""","""2_g"""
184,34,"""1_a""","""2_g"""
185,34,"""2_g""","""1_c"""
186,35,"""2_f""","""1_c"""
187,35,"""1_c""","""2_f"""
188,35,"""2_g""","""1_e"""
189,35,"""1_e""","""2_g"""
190,35,"""2_f""","""1_a"""
191,35,"""2_g""","""1_a"""
192,35,"""1_e""","""2_f"""
193,35,"""1_a""","""2_f"""
194,35,"""1_a""","""2_g"""
195,35,"""2_f""","""1_e"""
196,36,"""2_f""","""1_c"""
197,36,"""1_c""","""2_f"""
198,36,"""2_g""","""1_e"""
199,36,"""1_e""","""2_g"""
200,36,"""2_f""","""1_a"""
201,36,"""2_g""","""1_a"""
202,36,"""1_e""","""2_f"""
203,36,"""1_a""","""2_f"""
204,36,"""1_c""","""2_g"""
205,36,"""1_a""","""2_g"""
206,36,"""2_f""","""1_e"""
207,36,"""2_g""","""1_c"""
