,pw,x1,x2
0,1,"""1_b""","""1_a"""
1,1,"""1_c""","""1_a"""
2,1,"""1_d""","""1_a"""
3,1,"""1_e""","""1_a"""
4,1,"""2_b""","""2_a"""
5,1,"""2_d""","""2_a"""
6,1,"""2_f""","""2_a"""
7,1,"""2_g""","""2_a"""
8,1,"""1_b""","""2_a"""
9,1,"""1_d""","""2_a"""
10,1,"""2_d""","""1_a"""
11,1,"""2_b""","""1_a"""
12,1,"""1_c""","""2_a"""
13,1,"""1_e""","""2_a"""
14,1,"""1_c""","""2_f"""
15,1,"""2_f""","""1_a"""
16,1,"""2_g""","""1_a"""
17,2,"""1_b""","""1_a"""
18,2,"""1_c""","""1_a"""
19,2,"""1_d""","""1_a"""
20,2,"""1_e""","""1_a"""
21,2,"""2_b""","""2_a"""
22,2,"""2_d""","""2_a"""
23,2,"""2_f""","""2_a"""
24,2,"""2_g""","""2_a"""
25,2,"""1_b""","""2_a"""
26,2,"""1_d""","""2_a"""
27,2,"""2_d""","""1_a"""
28,2,"""2_b""","""1_a"""
29,2,"""1_a""","""2_a"""
30,2,"""1_c""","""2_a"""
31,2,"""1_e""","""2_a"""
32,2,"""1_c""","""2_f"""
33,2,"""2_f""","""1_a"""
34,2,"""2_g""","""1_a"""
35,3,"""1_b""","""1_a"""
36,3,"""1_c""","""1_a"""
37,3,"""1_d""","""1_a"""
38,3,"""1_e""","""1_a"""
39,3,"""2_b""","""2_a"""
40,3,"""2_d""","""2_a"""
41,3,"""2_f""","""2_a"""
42,3,"""2_g""","""2_a"""
43,3,"""1_b""","""2_a"""
44,3,"""1_d""","""2_a"""
45,3,"""2_d""","""1_a"""
46,3,"""2_b""","""1_a"""
47,3,"""1_c""","""2_a"""
48,3,"""1_e""","""2_a"""
49,3,"""1_c""","""2_f"""
50,3,"""2_f""","""1_a"""
51,3,"""2_g""","""1_a"""
52,4,"""1_b""","""1_a"""
53,4,"""1_c""","""1_a"""
54,4,"""1_d""","""1_a"""
55,4,"""1_e""","""1_a"""
56,4,"""2_b""","""2_a"""
57,4,"""2_d""","""2_a"""
58,4,"""2_f""","""2_a"""
59,4,"""2_g""","""2_a"""
60,4,"""1_b""","""2_a"""
61,4,"""1_d""","""2_a"""
62,4,"""2_d""","""1_a"""
63,4,"""2_b""","""1_a"""
64,4,"""1_a""","""2_a"""
65,4,"""1_c""","""2_a"""
66,4,"""1_e""","""2_a"""
67,4,"""1_c""","""2_f"""
68,4,"""2_f""","""1_a"""
69,4,"""2_g""","""1_a"""
70,5,"""1_b""","""1_a"""
71,5,"""1_c""","""1_a"""
72,5,"""1_d""","""1_a"""
73,5,"""1_e""","""1_a"""
74,5,"""2_b""","""2_a"""
75,5,"""2_d""","""2_a"""
76,5,"""2_f""","""2_a"""
77,5,"""2_g""","""2_a"""
78,5,"""1_b""","""2_a"""
79,5,"""1_d""","""2_a"""
80,5,"""2_d""","""1_a"""
81,5,"""2_b""","""1_a"""
82,5,"""1_c""","""2_a"""
83,5,"""1_e""","""2_a"""
84,5,"""1_c""","""2_f"""
85,5,"""2_f""","""1_a"""
86,5,"""2_g""","""1_a"""
87,6,"""1_b""","""1_a"""
88,6,"""1_c""","""1_a"""
89,6,"""1_d""","""1_a"""
90,6,"""1_e""","""1_a"""
91,6,"""2_b""","""2_a"""
92,6,"""2_d""","""2_a"""
93,6,"""2_f""","""2_a"""
94,6,"""2_g""","""2_a"""
95,6,"""1_b""","""2_a"""
96,6,"""1_d""","""2_a"""
97,6,"""2_d""","""1_a"""
98,6,"""2_b""","""1_a"""
