,pw,x1
0,1,"""1_b"""
1,1,"""1_c"""
2,1,"""1_d"""
3,1,"""1_e"""
4,1,"""2_b"""
5,1,"""2_d"""
6,1,"""2_f"""
7,1,"""2_g"""
8,1,"""1_a"""
9,1,"""2_a"""
10,2,"""1_b"""
11,2,"""1_c"""
12,2,"""1_d"""
13,2,"""1_e"""
14,2,"""2_b"""
15,2,"""2_d"""
16,2,"""2_f"""
17,2,"""2_g"""
18,2,"""1_a"""
19,2,"""2_a"""
20,3,"""1_b"""
21,3,"""1_c"""
22,3,"""1_d"""
23,3,"""1_e"""
24,3,"""2_b"""
25,3,"""2_d"""
26,3,"""2_f"""
27,3,"""2_g"""
28,3,"""1_a"""
29,3,"""2_a"""
30,4,"""1_b"""
31,4,"""1_c"""
32,4,"""1_d"""
33,4,"""1_e"""
34,4,"""2_b"""
35,4,"""2_d"""
36,4,"""2_f"""
37,4,"""2_g"""
38,4,"""1_a"""
39,4,"""2_a"""
40,5,"""1_b"""
41,5,"""1_c"""
42,5,"""1_d"""
43,5,"""1_e"""
44,5,"""2_b"""
45,5,"""2_d"""
46,5,"""2_f"""
47,5,"""2_g"""
48,5,"""1_a"""
49,5,"""2_a"""
50,6,"""1_b"""
51,6,"""1_c"""
52,6,"""1_d"""
53,6,"""1_e"""
54,6,"""2_b"""
55,6,"""2_d"""
56,6,"""2_f"""
57,6,"""2_g"""
58,6,"""1_a"""
59,6,"""2_a"""
60,7,"""1_b"""
61,7,"""1_c"""
62,7,"""1_d"""
63,7,"""1_e"""
64,7,"""2_b"""
65,7,"""2_d"""
66,7,"""2_f"""
67,7,"""2_g"""
68,7,"""1_a"""
69,7,"""2_a"""
70,8,"""1_b"""
71,8,"""1_c"""
72,8,"""1_d"""
73,8,"""1_e"""
74,8,"""2_b"""
75,8,"""2_d"""
76,8,"""2_f"""
77,8,"""2_g"""
78,8,"""1_a"""
79,8,"""2_a"""
80,9,"""1_b"""
81,9,"""1_c"""
82,9,"""1_d"""
83,9,"""1_e"""
84,9,"""2_b"""
85,9,"""2_d"""
86,9,"""2_f"""
87,9,"""2_g"""
88,9,"""1_a"""
89,9,"""2_a"""
90,10,"""1_b"""
91,10,"""1_c"""
92,10,"""1_d"""
93,10,"""1_e"""
94,10,"""2_b"""
95,10,"""2_d"""
96,10,"""2_f"""
97,10,"""2_g"""
98,10,"""1_a"""
99,10,"""2_a"""
100,11,"""1_b"""
101,11,"""1_c"""
102,11,"""1_d"""
103,11,"""1_e"""
104,11,"""2_b"""
105,11,"""2_d"""
106,11,"""2_f"""
107,11,"""2_g"""
108,11,"""1_a"""
109,11,"""2_a"""
110,12,"""1_b"""
111,12,"""1_c"""
112,12,"""1_d"""
113,12,"""1_e"""
114,12,"""2_b"""
115,12,"""2_d"""
116,12,"""2_f"""
117,12,"""2_g"""
118,12,"""1_a"""
119,12,"""2_a"""
120,13,"""1_b"""
121,13,"""1_c"""
122,13,"""1_d"""
123,13,"""1_e"""
124,13,"""2_b"""
125,13,"""2_d"""
126,13,"""2_f"""
127,13,"""2_g"""
128,13,"""1_a"""
129,13,"""2_a"""
130,14,"""1_b"""
131,14,"""1_c"""
132,14,"""1_d"""
133,14,"""1_e"""
134,14,"""2_b"""
135,14,"""2_d"""
136,14,"""2_f"""
137,14,"""2_g"""
138,14,"""1_a"""
139,14,"""2_a"""
140,15,"""1_b"""
141,15,"""1_c"""
142,15,"""1_d"""
143,15,"""1_e"""
144,15,"""2_b"""
145,15,"""2_d"""
146,15,"""2_f"""
147,15,"""2_g"""
148,15,"""1_a"""
149,15,"""2_a"""
150,16,"""1_b"""
151,16,"""1_c"""
152,16,"""1_d"""
153,16,"""1_e"""
154,16,"""2_b"""
155,16,"""2_d"""
156,16,"""2_f"""
157,16,"""2_g"""
158,16,"""1_a"""
159,16,"""2_a"""
160,17,"""1_b"""
161,17,"""1_c"""
162,17,"""1_d"""
163,17,"""1_e"""
164,17,"""2_b"""
165,17,"""2_d"""
166,17,"""2_f"""
167,17,"""2_g"""
168,17,"""1_a"""
169,17,"""2_a"""
170,18,"""1_b"""
171,18,"""1_c"""
172,18,"""1_d"""
173,18,"""1_e"""
174,18,"""2_b"""
175,18,"""2_d"""
176,18,"""2_f"""
177,18,"""2_g"""
178,18,"""1_a"""
179,18,"""2_a"""
180,19,"""1_b"""
181,19,"""1_c"""
182,19,"""1_d"""
183,19,"""1_e"""
184,19,"""2_b"""
185,19,"""2_d"""
186,19,"""2_f"""
187,19,"""2_g"""
188,19,"""1_a"""
189,19,"""2_a"""
190,20,"""1_b"""
191,20,"""1_c"""
192,20,"""1_d"""
193,20,"""1_e"""
194,20,"""2_b"""
195,20,"""2_d"""
196,20,"""2_f"""
197,20,"""2_g"""
198,20,"""1_a"""
199,20,"""2_a"""
200,21,"""1_b"""
201,21,"""1_c"""
202,21,"""1_d"""
203,21,"""1_e"""
204,21,"""2_b"""
205,21,"""2_d"""
206,21,"""2_f"""
207,21,"""2_g"""
208,21,"""1_a"""
209,21,"""2_a"""
210,22,"""1_b"""
211,22,"""1_c"""
212,22,"""1_d"""
213,22,"""1_e"""
214,22,"""2_b"""
215,22,"""2_d"""
216,22,"""2_f"""
217,22,"""2_g"""
218,22,"""1_a"""
