,pw,x1,x2
0,1,cCEN_USA,cCEN_Northeast
1,1,cCEN_USA,cCEN_Midwest
2,1,cCEN_USA,cCEN_South
3,1,cCEN_USA,cCEN_West
4,1,nNDC_USA,nNDC_Midwest
5,1,nNDC_USA,nNDC_Northeast
6,1,nNDC_USA,nNDC_Southeast
7,1,nNDC_USA,nNDC_Southwest
8,1,nNDC_USA,nNDC_West
9,2,cCEN_USA,cCEN_Northeast
10,2,cCEN_USA,cCEN_Midwest
11,2,cCEN_USA,cCEN_South
12,2,cCEN_USA,cCEN_West
13,2,nNDC_USA,nNDC_Midwest
14,2,nNDC_USA,nNDC_Northeast
15,2,nNDC_USA,nNDC_Southeast
16,2,nNDC_USA,nNDC_Southwest
17,2,nNDC_USA,nNDC_West
18,3,cCEN_USA,cCEN_Northeast
19,3,cCEN_USA,cCEN_Midwest
20,3,cCEN_USA,cCEN_South
21,3,cCEN_USA,cCEN_West
22,3,nNDC_USA,nNDC_Midwest
23,3,nNDC_USA,nNDC_Northeast
24,3,nNDC_USA,nNDC_Southeast
25,3,nNDC_USA,nNDC_Southwest
26,3,nNDC_USA,nNDC_West
27,4,cCEN_USA,cCEN_Northeast
28,4,cCEN_USA,cCEN_Midwest
29,4,cCEN_USA,cCEN_South
30,4,cCEN_USA,cCEN_West
31,4,nNDC_USA,nNDC_Midwest
32,4,nNDC_USA,nNDC_Northeast
33,4,nNDC_USA,nNDC_Southeast
34,4,nNDC_USA,nNDC_Southwest
35,4,nNDC_USA,nNDC_West
36,5,cCEN_USA,cCEN_Northeast
37,5,cCEN_USA,cCEN_Midwest
38,5,cCEN_USA,cCEN_South
39,5,cCEN_USA,cCEN_West
40,5,nNDC_USA,nNDC_Midwest
41,5,nNDC_USA,nNDC_Northeast
42,5,nNDC_USA,nNDC_Southeast
43,5,nNDC_USA,nNDC_Southwest
44,5,nNDC_USA,nNDC_West
45,6,cCEN_USA,cCEN_Northeast
46,6,cCEN_USA,cCEN_Midwest
47,6,cCEN_USA,cCEN_South
48,6,cCEN_USA,cCEN_West
49,6,nNDC_USA,nNDC_Midwest
50,6,nNDC_USA,nNDC_Northeast
51,6,nNDC_USA,nNDC_Southeast
52,6,nNDC_USA,nNDC_Southwest
53,6,nNDC_USA,nNDC_West
54,7,cCEN_USA,cCEN_Northeast
55,7,cCEN_USA,cCEN_Midwest
56,7,cCEN_USA,cCEN_South
57,7,cCEN_USA,cCEN_West
58,7,nNDC_USA,nNDC_Midwest
59,7,nNDC_USA,nNDC_Northeast
60,7,nNDC_USA,nNDC_Southeast
61,7,nNDC_USA,nNDC_Southwest
62,7,nNDC_USA,nNDC_West
63,8,cCEN_USA,cCEN_Northeast
64,8,cCEN_USA,cCEN_Midwest
65,8,cCEN_USA,cCEN_South
66,8,cCEN_USA,cCEN_West
67,8,nNDC_USA,nNDC_Midwest
68,8,nNDC_USA,nNDC_Northeast
69,8,nNDC_USA,nNDC_Southeast
70,8,nNDC_USA,nNDC_Southwest
71,8,nNDC_USA,nNDC_West
72,9,cCEN_USA,cCEN_Northeast
73,9,cCEN_USA,cCEN_Midwest
74,9,cCEN_USA,cCEN_South
75,9,cCEN_USA,cCEN_West
76,9,nNDC_USA,nNDC_Midwest
77,9,nNDC_USA,nNDC_Northeast
78,9,nNDC_USA,nNDC_Southeast
79,9,nNDC_USA,nNDC_Southwest
80,9,nNDC_USA,nNDC_West
81,10,cCEN_USA,cCEN_Northeast
82,10,cCEN_USA,cCEN_Midwest
83,10,cCEN_USA,cCEN_South
84,10,cCEN_USA,cCEN_West
85,10,nNDC_USA,nNDC_Midwest
86,10,nNDC_USA,nNDC_Northeast
87,10,nNDC_USA,nNDC_Southeast
88,10,nNDC_USA,nNDC_Southwest
89,10,nNDC_USA,nNDC_West
90,11,cCEN_USA,cCEN_Northeast
91,11,cCEN_USA,cCEN_Midwest
92,11,cCEN_USA,cCEN_South
93,11,cCEN_USA,cCEN_West
94,11,nNDC_USA,nNDC_Midwest
95,11,nNDC_USA,nNDC_Northeast
96,11,nNDC_USA,nNDC_Southeast
97,11,nNDC_USA,nNDC_Southwest
98,11,nNDC_USA,nNDC_West
99,12,cCEN_USA,cCEN_Northeast
100,12,cCEN_USA,cCEN_Midwest
101,12,cCEN_USA,cCEN_South
102,12,cCEN_USA,cCEN_West
103,12,nNDC_USA,nNDC_Midwest
104,12,nNDC_USA,nNDC_Northeast
105,12,nNDC_USA,nNDC_Southeast
106,12,nNDC_USA,nNDC_Southwest
107,12,nNDC_USA,nNDC_West
108,13,cCEN_USA,cCEN_Northeast
109,13,cCEN_USA,cCEN_Midwest
110,13,cCEN_USA,cCEN_South
111,13,cCEN_USA,cCEN_West
112,13,nNDC_USA,nNDC_Midwest
113,13,nNDC_USA,nNDC_Northeast
114,13,nNDC_USA,nNDC_Southeast
115,13,nNDC_USA,nNDC_Southwest
116,13,nNDC_USA,nNDC_West
117,14,cCEN_USA,cCEN_Northeast
118,14,cCEN_USA,cCEN_Midwest
119,14,cCEN_USA,cCEN_South
120,14,cCEN_USA,cCEN_West
121,14,nNDC_USA,nNDC_Midwest
122,14,nNDC_USA,nNDC_Northeast
123,14,nNDC_USA,nNDC_Southeast
124,14,nNDC_USA,nNDC_Southwest
125,14,nNDC_USA,nNDC_West
126,15,cCEN_USA,cCEN_Northeast
127,15,cCEN_USA,cCEN_Midwest
128,15,cCEN_USA,cCEN_South
129,15,cCEN_USA,cCEN_West
130,15,nNDC_USA,nNDC_Midwest
131,15,nNDC_USA,nNDC_Northeast
132,15,nNDC_USA,nNDC_Southeast
133,15,nNDC_USA,nNDC_Southwest
134,15,nNDC_USA,nNDC_West
135,16,cCEN_USA,cCEN_Northeast
136,16,cCEN_USA,cCEN_Midwest
137,16,cCEN_USA,cCEN_South
138,16,cCEN_USA,cCEN_West
139,16,nNDC_USA,nNDC_Midwest
140,16,nNDC_USA,nNDC_Northeast
141,16,nNDC_USA,nNDC_Southeast
142,16,nNDC_USA,nNDC_Southwest
143,16,nNDC_USA,nNDC_West
144,17,cCEN_USA,cCEN_Northeast
145,17,cCEN_USA,cCEN_Midwest
146,17,cCEN_USA,cCEN_South
147,17,cCEN_USA,cCEN_West
148,17,nNDC_USA,nNDC_Midwest
149,17,nNDC_USA,nNDC_Northeast
150,17,nNDC_USA,nNDC_Southeast
151,17,nNDC_USA,nNDC_Southwest
152,17,nNDC_USA,nNDC_West
153,18,cCEN_USA,cCEN_Northeast
154,18,cCEN_USA,cCEN_Midwest
155,18,cCEN_USA,cCEN_South
156,18,cCEN_USA,cCEN_West
157,18,nNDC_USA,nNDC_Midwest
158,18,nNDC_USA,nNDC_Northeast
159,18,nNDC_USA,nNDC_Southeast
160,18,nNDC_USA,nNDC_Southwest
161,18,nNDC_USA,nNDC_West
162,19,cCEN_USA,cCEN_Northeast
163,19,cCEN_USA,cCEN_Midwest
164,19,cCEN_USA,cCEN_South
165,19,cCEN_USA,cCEN_West
166,19,nNDC_USA,nNDC_Midwest
167,19,nNDC_USA,nNDC_Northeast
168,19,nNDC_USA,nNDC_Southeast
169,19,nNDC_USA,nNDC_Southwest
170,19,nNDC_USA,nNDC_West
171,20,cCEN_USA,cCEN_Northeast
172,20,cCEN_USA,cCEN_Midwest
173,20,cCEN_USA,cCEN_South
174,20,cCEN_USA,cCEN_West
175,20,nNDC_USA,nNDC_Midwest
176,20,nNDC_USA,nNDC_Northeast
177,20,nNDC_USA,nNDC_Southeast
178,20,nNDC_USA,nNDC_Southwest
179,20,nNDC_USA,nNDC_West
180,21,cCEN_USA,cCEN_Northeast
181,21,cCEN_USA,cCEN_Midwest
182,21,cCEN_USA,cCEN_South
183,21,cCEN_USA,cCEN_West
184,21,nNDC_USA,nNDC_Midwest
185,21,nNDC_USA,nNDC_Northeast
186,21,nNDC_USA,nNDC_Southeast
187,21,nNDC_USA,nNDC_Southwest
188,21,nNDC_USA,nNDC_West
189,22,cCEN_USA,cCEN_Northeast
190,22,cCEN_USA,cCEN_Midwest
191,22,cCEN_USA,cCEN_South
192,22,cCEN_USA,cCEN_West
193,22,nNDC_USA,nNDC_Midwest
194,22,nNDC_USA,nNDC_Northeast
195,22,nNDC_USA,nNDC_Southeast
196,22,nNDC_USA,nNDC_Southwest
197,22,nNDC_USA,nNDC_West
198,23,cCEN_USA,cCEN_Northeast
199,23,cCEN_USA,cCEN_Midwest
200,23,cCEN_USA,cCEN_South
201,23,cCEN_USA,cCEN_West
202,23,nNDC_USA,nNDC_Midwest
203,23,nNDC_USA,nNDC_Northeast
204,23,nNDC_USA,nNDC_Southeast
205,23,nNDC_USA,nNDC_Southwest
206,23,nNDC_USA,nNDC_West
207,24,cCEN_USA,cCEN_Northeast
208,24,cCEN_USA,cCEN_Midwest
209,24,cCEN_USA,cCEN_South
210,24,cCEN_USA,cCEN_West
211,24,nNDC_USA,nNDC_Midwest
212,24,nNDC_USA,nNDC_Northeast
213,24,nNDC_USA,nNDC_Southeast
214,24,nNDC_USA,nNDC_Southwest
