,pw,x1,x2
0,1,cCEN_West,nNDC_Northeast
1,1,cCEN_Midwest,cCEN_Northeast
2,1,cCEN_South,cCEN_Northeast
3,1,cCEN_West,cCEN_Northeast
4,1,cCEN_Northeast,cCEN_Midwest
5,1,cCEN_South,cCEN_Midwest
6,1,cCEN_West,cCEN_Midwest
7,1,cCEN_Northeast,cCEN_South
8,1,cCEN_Midwest,cCEN_South
9,1,cCEN_West,cCEN_South
10,1,cCEN_Northeast,cCEN_West
11,1,cCEN_Midwest,cCEN_West
12,1,cCEN_South,cCEN_West
13,1,nNDC_Northeast,nNDC_Midwest
14,1,nNDC_Southeast,nNDC_Midwest
15,1,nNDC_Southwest,nNDC_Midwest
16,1,nNDC_West,nNDC_Midwest
17,1,nNDC_Midwest,nNDC_Northeast
18,1,nNDC_Southeast,nNDC_Northeast
19,1,nNDC_Southwest,nNDC_Northeast
20,1,nNDC_West,nNDC_Northeast
21,1,nNDC_Midwest,nNDC_Southeast
22,1,nNDC_Northeast,nNDC_Southeast
23,1,nNDC_Southwest,nNDC_Southeast
24,1,nNDC_West,nNDC_Southeast
25,1,nNDC_Midwest,nNDC_Southwest
26,1,nNDC_Northeast,nNDC_Southwest
27,1,nNDC_Southeast,nNDC_Southwest
28,1,nNDC_West,nNDC_Southwest
29,1,nNDC_Midwest,nNDC_West
30,1,nNDC_Northeast,nNDC_West
31,1,nNDC_Southeast,nNDC_West
32,1,nNDC_Southwest,nNDC_West
33,1,nNDC_Northeast,cCEN_West
34,1,cCEN_Northeast,nNDC_West
35,1,cCEN_Northeast,nNDC_Southwest
36,1,cCEN_Northeast,nNDC_Southeast
37,1,cCEN_Northeast,nNDC_Midwest
38,1,cCEN_South,nNDC_Midwest
39,1,cCEN_West,nNDC_Midwest
40,1,cCEN_Midwest,nNDC_West
41,1,cCEN_Midwest,nNDC_Southwest
42,1,cCEN_Midwest,nNDC_Southeast
43,1,cCEN_Midwest,nNDC_Northeast
44,1,nNDC_Northeast,cCEN_Midwest
45,1,nNDC_Southeast,cCEN_Midwest
46,1,nNDC_Southwest,cCEN_Midwest
47,1,nNDC_West,cCEN_Midwest
48,1,nNDC_Midwest,cCEN_West
49,1,nNDC_Midwest,cCEN_South
50,1,nNDC_Midwest,cCEN_Northeast
51,1,nNDC_Southeast,cCEN_Northeast
52,1,nNDC_Southwest,cCEN_Northeast
53,1,nNDC_West,cCEN_Northeast
54,1,nNDC_West,cCEN_South
55,1,cCEN_South,nNDC_West
56,1,cCEN_South,nNDC_Southeast
57,1,nNDC_Southeast,cCEN_South
58,1,cCEN_South,nNDC_Northeast
59,1,nNDC_Northeast,cCEN_South
60,1,nNDC_Southwest,cCEN_West
61,1,cCEN_West,nNDC_Southwest
62,2,cCEN_West,nNDC_Northeast
63,2,cCEN_Midwest,cCEN_Northeast
64,2,cCEN_South,cCEN_Northeast
65,2,cCEN_West,cCEN_Northeast
66,2,cCEN_Northeast,cCEN_Midwest
67,2,cCEN_South,cCEN_Midwest
68,2,cCEN_West,cCEN_Midwest
69,2,cCEN_Northeast,cCEN_South
70,2,cCEN_Midwest,cCEN_South
71,2,cCEN_West,cCEN_South
72,2,cCEN_Northeast,cCEN_West
73,2,cCEN_Midwest,cCEN_West
74,2,cCEN_South,cCEN_West
75,2,nNDC_Northeast,nNDC_Midwest
76,2,nNDC_Southeast,nNDC_Midwest
77,2,nNDC_Southwest,nNDC_Midwest
78,2,nNDC_West,nNDC_Midwest
79,2,nNDC_Midwest,nNDC_Northeast
80,2,nNDC_Southeast,nNDC_Northeast
81,2,nNDC_Southwest,nNDC_Northeast
82,2,nNDC_West,nNDC_Northeast
83,2,nNDC_Midwest,nNDC_Southeast
84,2,nNDC_Northeast,nNDC_Southeast
85,2,nNDC_Southwest,nNDC_Southeast
86,2,nNDC_West,nNDC_Southeast
87,2,nNDC_Midwest,nNDC_Southwest
88,2,nNDC_Northeast,nNDC_Southwest
89,2,nNDC_Southeast,nNDC_Southwest
90,2,nNDC_West,nNDC_Southwest
91,2,nNDC_Midwest,nNDC_West
92,2,nNDC_Northeast,nNDC_West
93,2,nNDC_Southeast,nNDC_West
94,2,nNDC_Southwest,nNDC_West
95,2,nNDC_Northeast,cCEN_West
96,2,cCEN_Northeast,nNDC_West
97,2,cCEN_Northeast,nNDC_Southwest
98,2,cCEN_Northeast,nNDC_Southeast
99,2,cCEN_Northeast,nNDC_Midwest
100,2,cCEN_South,nNDC_Midwest
101,2,cCEN_West,nNDC_Midwest
102,2,cCEN_Midwest,nNDC_West
103,2,cCEN_Midwest,nNDC_Southwest
104,2,cCEN_Midwest,nNDC_Southeast
105,2,cCEN_Midwest,nNDC_Northeast
106,2,nNDC_Northeast,cCEN_Midwest
107,2,nNDC_Southeast,cCEN_Midwest
108,2,nNDC_Southwest,cCEN_Midwest
109,2,nNDC_West,cCEN_Midwest
110,2,nNDC_Midwest,cCEN_West
111,2,nNDC_Midwest,cCEN_South
112,2,nNDC_Midwest,cCEN_Northeast
113,2,nNDC_Southeast,cCEN_Northeast
114,2,nNDC_Southwest,cCEN_Northeast
115,2,nNDC_West,cCEN_Northeast
116,2,nNDC_West,cCEN_South
117,2,cCEN_South,nNDC_West
118,2,cCEN_South,nNDC_Southeast
119,2,nNDC_Southeast,cCEN_South
120,2,nNDC_Southwest,cCEN_West
121,2,cCEN_West,nNDC_Southwest
122,3,cCEN_West,nNDC_Northeast
123,3,cCEN_Midwest,cCEN_Northeast
124,3,cCEN_South,cCEN_Northeast
125,3,cCEN_West,cCEN_Northeast
126,3,cCEN_Northeast,cCEN_Midwest
127,3,cCEN_South,cCEN_Midwest
128,3,cCEN_West,cCEN_Midwest
129,3,cCEN_Northeast,cCEN_South
130,3,cCEN_Midwest,cCEN_South
131,3,cCEN_West,cCEN_South
132,3,cCEN_Northeast,cCEN_West
133,3,cCEN_Midwest,cCEN_West
134,3,cCEN_South,cCEN_West
135,3,nNDC_Northeast,nNDC_Midwest
136,3,nNDC_Southeast,nNDC_Midwest
137,3,nNDC_Southwest,nNDC_Midwest
138,3,nNDC_West,nNDC_Midwest
139,3,nNDC_Midwest,nNDC_Northeast
140,3,nNDC_Southeast,nNDC_Northeast
141,3,nNDC_Southwest,nNDC_Northeast
142,3,nNDC_West,nNDC_Northeast
143,3,nNDC_Midwest,nNDC_Southeast
144,3,nNDC_Northeast,nNDC_Southeast
145,3,nNDC_Southwest,nNDC_Southeast
146,3,nNDC_West,nNDC_Southeast
147,3,nNDC_Midwest,nNDC_Southwest
148,3,nNDC_Northeast,nNDC_Southwest
149,3,nNDC_Southeast,nNDC_Southwest
150,3,nNDC_West,nNDC_Southwest
151,3,nNDC_Midwest,nNDC_West
152,3,nNDC_Northeast,nNDC_West
153,3,nNDC_Southeast,nNDC_West
154,3,nNDC_Southwest,nNDC_West
155,3,nNDC_Northeast,cCEN_West
156,3,cCEN_Northeast,nNDC_West
157,3,cCEN_Northeast,nNDC_Southwest
158,3,cCEN_Northeast,nNDC_Southeast
159,3,cCEN_Northeast,nNDC_Midwest
160,3,cCEN_South,nNDC_Midwest
161,3,cCEN_West,nNDC_Midwest
162,3,cCEN_Midwest,nNDC_West
163,3,cCEN_Midwest,nNDC_Southwest
164,3,cCEN_Midwest,nNDC_Southeast
165,3,cCEN_Midwest,nNDC_Northeast
166,3,nNDC_Northeast,cCEN_Midwest
167,3,nNDC_Southeast,cCEN_Midwest
168,3,nNDC_Southwest,cCEN_Midwest
169,3,nNDC_West,cCEN_Midwest
170,3,nNDC_Midwest,cCEN_West
171,3,nNDC_Midwest,cCEN_South
