,pw,x1,x2
0,1,cCEN_USA,nNDC_USA
1,1,cCEN_Midwest,nNDC_Midwest
2,1,nNDC_Midwest,cCEN_Midwest
3,1,nNDC_USA,cCEN_USA
4,1,nNDC_USA,nNDC_USA
5,1,cCEN_USA,cCEN_USA
6,1,nNDC_West,nNDC_West
7,1,nNDC_Southwest,nNDC_Southwest
8,1,nNDC_Southeast,nNDC_Southeast
9,1,nNDC_Northeast,nNDC_Northeast
10,1,nNDC_Midwest,nNDC_Midwest
11,1,cCEN_West,cCEN_West
12,1,cCEN_South,cCEN_South
13,1,cCEN_Midwest,cCEN_Midwest
14,1,cCEN_Northeast,cCEN_Northeast
15,2,cCEN_USA,nNDC_USA
16,2,cCEN_Midwest,nNDC_Midwest
17,2,nNDC_Midwest,cCEN_Midwest
18,2,nNDC_USA,cCEN_USA
19,2,nNDC_USA,nNDC_USA
20,2,cCEN_USA,cCEN_USA
21,2,nNDC_West,nNDC_West
22,2,nNDC_Southwest,nNDC_Southwest
23,2,nNDC_Southeast,nNDC_Southeast
24,2,nNDC_Northeast,nNDC_Northeast
25,2,nNDC_Midwest,nNDC_Midwest
26,2,cCEN_West,cCEN_West
27,2,cCEN_South,cCEN_South
28,2,cCEN_Midwest,cCEN_Midwest
29,2,cCEN_Northeast,cCEN_Northeast
30,3,cCEN_USA,nNDC_USA
31,3,cCEN_Midwest,nNDC_Midwest
32,3,nNDC_Midwest,cCEN_Midwest
33,3,nNDC_USA,cCEN_USA
34,3,nNDC_USA,nNDC_USA
35,3,cCEN_USA,cCEN_USA
36,3,nNDC_West,nNDC_West
37,3,nNDC_Southwest,nNDC_Southwest
38,3,nNDC_Southeast,nNDC_Southeast
39,3,nNDC_Northeast,nNDC_Northeast
40,3,nNDC_Midwest,nNDC_Midwest
41,3,cCEN_West,cCEN_West
42,3,cCEN_South,cCEN_South
43,3,cCEN_Midwest,cCEN_Midwest
44,3,cCEN_Northeast,cCEN_Northeast
45,4,cCEN_USA,nNDC_USA
46,4,cCEN_Midwest,nNDC_Midwest
47,4,nNDC_Midwest,cCEN_Midwest
48,4,nNDC_USA,cCEN_USA
49,4,nNDC_USA,nNDC_USA
50,4,cCEN_USA,cCEN_USA
51,4,nNDC_West,nNDC_West
52,4,nNDC_Southwest,nNDC_Southwest
53,4,nNDC_Southeast,nNDC_Southeast
54,4,nNDC_Northeast,nNDC_Northeast
55,4,nNDC_Midwest,nNDC_Midwest
56,4,cCEN_West,cCEN_West
57,4,cCEN_South,cCEN_South
58,4,cCEN_Midwest,cCEN_Midwest
59,4,cCEN_Northeast,cCEN_Northeast
60,5,cCEN_USA,nNDC_USA
61,5,cCEN_Midwest,nNDC_Midwest
62,5,nNDC_Midwest,cCEN_Midwest
63,5,nNDC_USA,cCEN_USA
64,5,nNDC_USA,nNDC_USA
65,5,cCEN_USA,cCEN_USA
66,5,nNDC_West,nNDC_West
67,5,nNDC_Southwest,nNDC_Southwest
68,5,nNDC_Southeast,nNDC_Southeast
69,5,nNDC_Northeast,nNDC_Northeast
70,5,nNDC_Midwest,nNDC_Midwest
71,5,cCEN_West,cCEN_West
72,5,cCEN_South,cCEN_South
73,5,cCEN_Midwest,cCEN_Midwest
74,5,cCEN_Northeast,cCEN_Northeast
75,6,cCEN_USA,nNDC_USA
76,6,cCEN_Midwest,nNDC_Midwest
77,6,nNDC_Midwest,cCEN_Midwest
78,6,nNDC_USA,cCEN_USA
79,6,nNDC_USA,nNDC_USA
80,6,cCEN_USA,cCEN_USA
81,6,nNDC_West,nNDC_West
82,6,nNDC_Southwest,nNDC_Southwest
83,6,nNDC_Southeast,nNDC_Southeast
84,6,nNDC_Northeast,nNDC_Northeast
85,6,nNDC_Midwest,nNDC_Midwest
86,6,cCEN_West,cCEN_West
87,6,cCEN_South,cCEN_South
88,6,cCEN_Midwest,cCEN_Midwest
89,6,cCEN_Northeast,cCEN_Northeast
90,7,cCEN_USA,nNDC_USA
91,7,cCEN_Midwest,nNDC_Midwest
92,7,nNDC_Midwest,cCEN_Midwest
93,7,nNDC_USA,cCEN_USA
94,7,nNDC_USA,nNDC_USA
95,7,cCEN_USA,cCEN_USA
96,7,nNDC_West,nNDC_West
97,7,nNDC_Southwest,nNDC_Southwest
98,7,nNDC_Southeast,nNDC_Southeast
99,7,nNDC_Northeast,nNDC_Northeast
100,7,nNDC_Midwest,nNDC_Midwest
101,7,cCEN_West,cCEN_West
102,7,cCEN_South,cCEN_South
103,7,cCEN_Midwest,cCEN_Midwest
104,7,cCEN_Northeast,cCEN_Northeast
105,8,cCEN_USA,nNDC_USA
106,8,cCEN_Midwest,nNDC_Midwest
107,8,nNDC_Midwest,cCEN_Midwest
108,8,nNDC_USA,cCEN_USA
109,8,nNDC_USA,nNDC_USA
110,8,cCEN_USA,cCEN_USA
111,8,nNDC_West,nNDC_West
112,8,nNDC_Southwest,nNDC_Southwest
113,8,nNDC_Southeast,nNDC_Southeast
114,8,nNDC_Northeast,nNDC_Northeast
115,8,nNDC_Midwest,nNDC_Midwest
116,8,cCEN_West,cCEN_West
117,8,cCEN_South,cCEN_South
118,8,cCEN_Midwest,cCEN_Midwest
119,8,cCEN_Northeast,cCEN_Northeast
120,9,cCEN_USA,nNDC_USA
121,9,cCEN_Midwest,nNDC_Midwest
122,9,nNDC_Midwest,cCEN_Midwest
123,9,nNDC_USA,cCEN_USA
124,9,nNDC_USA,nNDC_USA
125,9,cCEN_USA,cCEN_USA
126,9,nNDC_West,nNDC_West
127,9,nNDC_Southwest,nNDC_Southwest
128,9,nNDC_Southeast,nNDC_Southeast
129,9,nNDC_Northeast,nNDC_Northeast
130,9,nNDC_Midwest,nNDC_Midwest
131,9,cCEN_West,cCEN_West
132,9,cCEN_South,cCEN_South
133,9,cCEN_Midwest,cCEN_Midwest
134,9,cCEN_Northeast,cCEN_Northeast
135,10,cCEN_USA,nNDC_USA
136,10,cCEN_Midwest,nNDC_Midwest
137,10,nNDC_Midwest,cCEN_Midwest
138,10,nNDC_USA,cCEN_USA
139,10,nNDC_USA,nNDC_USA
140,10,cCEN_USA,cCEN_USA
141,10,nNDC_West,nNDC_West
142,10,nNDC_Southwest,nNDC_Southwest
143,10,nNDC_Southeast,nNDC_Southeast
