,pw,x1,x2
0,1,cCEN_West,nNDC_West
1,1,nNDC_USA,nNDC_West
2,1,nNDC_USA,nNDC_Southwest
3,1,nNDC_USA,nNDC_Southeast
4,1,nNDC_USA,nNDC_Northeast
5,1,nNDC_USA,nNDC_Midwest
6,1,cCEN_USA,cCEN_West
7,1,cCEN_USA,cCEN_South
8,1,cCEN_USA,cCEN_Midwest
9,1,cCEN_USA,cCEN_Northeast
10,1,nNDC_Northeast,cCEN_Northeast
11,1,nNDC_USA,cCEN_West
12,1,nNDC_USA,cCEN_South
13,1,nNDC_USA,cCEN_Midwest
14,1,nNDC_USA,cCEN_Northeast
15,1,cCEN_USA,nNDC_West
16,1,cCEN_USA,nNDC_Midwest
17,1,cCEN_USA,nNDC_Northeast
18,1,cCEN_USA,nNDC_Southeast
19,1,cCEN_USA,nNDC_Southwest
20,1,cCEN_West,nNDC_Southeast
21,2,cCEN_West,nNDC_West
22,2,nNDC_USA,nNDC_West
23,2,nNDC_USA,nNDC_Southwest
24,2,nNDC_USA,nNDC_Southeast
25,2,nNDC_USA,nNDC_Northeast
26,2,nNDC_USA,nNDC_Midwest
27,2,cCEN_USA,cCEN_West
28,2,cCEN_USA,cCEN_South
29,2,cCEN_USA,cCEN_Midwest
30,2,cCEN_USA,cCEN_Northeast
31,2,nNDC_Northeast,cCEN_Northeast
32,2,nNDC_USA,cCEN_West
33,2,nNDC_USA,cCEN_South
34,2,nNDC_USA,cCEN_Midwest
35,2,nNDC_USA,cCEN_Northeast
36,2,cCEN_USA,nNDC_West
37,2,cCEN_USA,nNDC_Midwest
38,2,cCEN_USA,nNDC_Northeast
39,2,cCEN_USA,nNDC_Southeast
40,2,cCEN_USA,nNDC_Southwest
41,2,cCEN_West,nNDC_Southeast
42,3,cCEN_West,nNDC_West
43,3,nNDC_USA,nNDC_West
44,3,nNDC_USA,nNDC_Southwest
45,3,nNDC_USA,nNDC_Southeast
46,3,nNDC_USA,nNDC_Northeast
47,3,nNDC_USA,nNDC_Midwest
48,3,cCEN_USA,cCEN_West
49,3,cCEN_USA,cCEN_South
50,3,cCEN_USA,cCEN_Midwest
51,3,cCEN_USA,cCEN_Northeast
52,3,nNDC_Northeast,cCEN_Northeast
53,3,nNDC_USA,cCEN_West
54,3,nNDC_USA,cCEN_South
55,3,nNDC_USA,cCEN_Midwest
56,3,nNDC_USA,cCEN_Northeast
57,3,cCEN_USA,nNDC_West
58,3,cCEN_USA,nNDC_Midwest
59,3,cCEN_USA,nNDC_Northeast
60,3,cCEN_USA,nNDC_Southeast
61,3,cCEN_USA,nNDC_Southwest
62,4,cCEN_West,nNDC_West
63,4,nNDC_USA,nNDC_West
64,4,nNDC_USA,nNDC_Southwest
65,4,nNDC_USA,nNDC_Southeast
66,4,nNDC_USA,nNDC_Northeast
67,4,nNDC_USA,nNDC_Midwest
68,4,cCEN_USA,cCEN_West
69,4,cCEN_USA,cCEN_South
70,4,cCEN_USA,cCEN_Midwest
71,4,cCEN_USA,cCEN_Northeast
72,4,nNDC_Northeast,cCEN_Northeast
73,4,nNDC_USA,cCEN_West
74,4,nNDC_USA,cCEN_South
75,4,nNDC_USA,cCEN_Midwest
76,4,nNDC_USA,cCEN_Northeast
77,4,cCEN_USA,nNDC_West
78,4,cCEN_USA,nNDC_Midwest
79,4,cCEN_USA,nNDC_Northeast
80,4,cCEN_USA,nNDC_Southeast
81,4,cCEN_USA,nNDC_Southwest
82,5,cCEN_West,nNDC_West
83,5,nNDC_USA,nNDC_West
84,5,nNDC_USA,nNDC_Southwest
85,5,nNDC_USA,nNDC_Southeast
86,5,nNDC_USA,nNDC_Northeast
87,5,nNDC_USA,nNDC_Midwest
88,5,cCEN_USA,cCEN_West
89,5,cCEN_USA,cCEN_South
90,5,cCEN_USA,cCEN_Midwest
91,5,cCEN_USA,cCEN_Northeast
92,5,nNDC_Northeast,cCEN_Northeast
93,5,nNDC_USA,cCEN_West
94,5,nNDC_USA,cCEN_South
95,5,nNDC_USA,cCEN_Midwest
96,5,nNDC_USA,cCEN_Northeast
97,5,cCEN_USA,nNDC_West
98,5,cCEN_USA,nNDC_Midwest
99,5,cCEN_USA,nNDC_Northeast
100,5,cCEN_USA,nNDC_Southeast
101,5,cCEN_USA,nNDC_Southwest
102,6,cCEN_West,nNDC_West
103,6,nNDC_USA,nNDC_West
104,6,nNDC_USA,nNDC_Southwest
105,6,nNDC_USA,nNDC_Southeast
106,6,nNDC_USA,nNDC_Northeast
107,6,nNDC_USA,nNDC_Midwest
108,6,cCEN_USA,cCEN_West
