,pw,x1,x2
0,1,cCEN_South,nNDC_Southwest
1,1,nNDC_Southwest,cCEN_South
2,2,cCEN_South,nNDC_Southwest
3,2,nNDC_Southwest,cCEN_South
4,2,nNDC_Northeast,cCEN_South
5,2,cCEN_South,nNDC_Northeast
6,3,cCEN_South,nNDC_Southwest
7,3,nNDC_Southwest,cCEN_South
8,4,cCEN_South,nNDC_Southwest
9,4,nNDC_Southwest,cCEN_South
10,4,nNDC_Northeast,cCEN_South
11,4,cCEN_South,nNDC_Northeast
12,5,cCEN_South,nNDC_Southwest
13,5,nNDC_Southwest,cCEN_South
14,5,cCEN_South,nNDC_Southeast
15,5,nNDC_Southeast,cCEN_South
16,6,cCEN_South,nNDC_Southwest
17,6,nNDC_Southwest,cCEN_South
18,6,cCEN_South,nNDC_Southeast
19,6,nNDC_Northeast,cCEN_South
20,6,nNDC_Southeast,cCEN_South
21,6,cCEN_South,nNDC_Northeast
22,7,cCEN_South,nNDC_Southwest
23,7,nNDC_Southwest,cCEN_South
24,8,cCEN_South,nNDC_Southwest
25,8,nNDC_Southwest,cCEN_South
26,8,nNDC_Northeast,cCEN_South
27,8,cCEN_South,nNDC_Northeast
28,9,cCEN_South,nNDC_Southwest
29,9,nNDC_Southwest,cCEN_South
30,9,cCEN_West,nNDC_Southwest
31,9,nNDC_Southwest,cCEN_West
32,10,cCEN_South,nNDC_Southwest
33,10,nNDC_Southwest,cCEN_South
34,10,cCEN_West,nNDC_Southwest
35,10,nNDC_Southwest,cCEN_West
36,10,nNDC_Northeast,cCEN_South
37,10,cCEN_South,nNDC_Northeast
38,11,cCEN_South,nNDC_Southwest
39,11,nNDC_Southwest,cCEN_South
40,11,cCEN_West,nNDC_Southwest
41,11,nNDC_Southwest,cCEN_West
42,12,cCEN_South,nNDC_Southwest
43,12,nNDC_Southwest,cCEN_South
44,12,cCEN_West,nNDC_Southwest
45,12,nNDC_Southwest,cCEN_West
46,12,nNDC_Northeast,cCEN_South
47,12,cCEN_South,nNDC_Northeast
48,13,cCEN_South,nNDC_Southwest
49,13,nNDC_Southwest,cCEN_South
50,13,cCEN_South,nNDC_Southeast
51,13,cCEN_West,nNDC_Southwest
52,13,nNDC_Southwest,cCEN_West
53,13,nNDC_Southeast,cCEN_South
54,14,cCEN_South,nNDC_Southwest
55,14,nNDC_Southwest,cCEN_South
56,14,cCEN_South,nNDC_Southeast
57,14,cCEN_West,nNDC_Southwest
58,14,nNDC_Southwest,cCEN_West
59,14,nNDC_Northeast,cCEN_South
60,14,nNDC_Southeast,cCEN_South
61,14,cCEN_South,nNDC_Northeast
62,15,cCEN_South,nNDC_Southwest
63,15,nNDC_Southwest,cCEN_South
64,15,cCEN_West,nNDC_Southwest
65,15,nNDC_Southwest,cCEN_West
66,16,cCEN_South,nNDC_Southwest
67,16,nNDC_Southwest,cCEN_South
68,16,cCEN_West,nNDC_Southwest
69,16,nNDC_Southwest,cCEN_West
70,16,nNDC_Northeast,cCEN_South
71,16,cCEN_South,nNDC_Northeast
72,17,cCEN_South,nNDC_Southwest
73,17,nNDC_Southwest,cCEN_South
74,17,cCEN_West,nNDC_Southeast
75,17,nNDC_Southeast,cCEN_West
76,18,cCEN_South,nNDC_Southwest
77,18,nNDC_Southwest,cCEN_South
78,18,cCEN_West,nNDC_Southeast
79,18,nNDC_Southeast,cCEN_West
80,18,nNDC_Northeast,cCEN_South
81,18,cCEN_South,nNDC_Northeast
82,19,cCEN_South,nNDC_Southwest
83,19,nNDC_Southwest,cCEN_South
84,19,cCEN_South,nNDC_Southeast
85,19,cCEN_West,nNDC_Southeast
86,19,nNDC_Southeast,cCEN_West
87,19,nNDC_Southeast,cCEN_South
88,20,cCEN_South,nNDC_Southwest
89,20,nNDC_Southwest,cCEN_South
90,20,cCEN_South,nNDC_Southeast
91,20,cCEN_West,nNDC_Southeast
92,20,nNDC_Southeast,cCEN_West
93,20,nNDC_Northeast,cCEN_South
94,20,nNDC_Southeast,cCEN_South
95,20,cCEN_South,nNDC_Northeast
96,21,cCEN_South,nNDC_Southwest
97,21,nNDC_Southwest,cCEN_South
98,21,cCEN_West,nNDC_Southeast
99,21,cCEN_West,nNDC_Southwest
100,21,nNDC_Southwest,cCEN_West
101,21,nNDC_Southeast,cCEN_West
102,22,cCEN_South,nNDC_Southwest
103,22,nNDC_Southwest,cCEN_South
104,22,cCEN_West,nNDC_Southeast
105,22,cCEN_West,nNDC_Southwest
106,22,nNDC_Southwest,cCEN_West
107,22,nNDC_Southeast,cCEN_West
108,22,nNDC_Northeast,cCEN_South
109,22,cCEN_South,nNDC_Northeast
110,23,cCEN_South,nNDC_Southwest
111,23,nNDC_Southwest,cCEN_South
112,23,cCEN_South,nNDC_Southeast
113,23,cCEN_West,nNDC_Southeast
114,23,cCEN_West,nNDC_Southwest
115,23,nNDC_Southwest,cCEN_West
116,23,nNDC_Southeast,cCEN_West
117,23,nNDC_Southeast,cCEN_South
118,24,cCEN_South,nNDC_Southwest
119,24,nNDC_Southwest,cCEN_South
120,24,cCEN_South,nNDC_Southeast
121,24,cCEN_West,nNDC_Southeast
122,24,cCEN_West,nNDC_Southwest
123,24,nNDC_Southwest,cCEN_West
124,24,nNDC_Southeast,cCEN_West
125,24,nNDC_Northeast,cCEN_South
126,24,nNDC_Southeast,cCEN_South
127,24,cCEN_South,nNDC_Northeast
