,pw,x1,x2
0,1,cCEN_Northeast,nNDC_Northeast
1,1,cCEN_Northeast,cCEN_USA
2,1,cCEN_Midwest,cCEN_USA
3,1,cCEN_South,cCEN_USA
4,1,cCEN_West,cCEN_USA
5,1,nNDC_Midwest,nNDC_USA
6,1,nNDC_Northeast,nNDC_USA
7,1,nNDC_Southeast,nNDC_USA
8,1,nNDC_Southwest,nNDC_USA
9,1,nNDC_West,nNDC_USA
10,1,nNDC_West,cCEN_West
11,1,cCEN_Northeast,nNDC_USA
12,1,cCEN_Midwest,nNDC_USA
13,1,cCEN_South,nNDC_USA
14,1,cCEN_West,nNDC_USA
15,1,nNDC_West,cCEN_USA
16,1,nNDC_Southwest,cCEN_USA
17,1,nNDC_Southeast,cCEN_USA
18,1,nNDC_Northeast,cCEN_USA
19,1,nNDC_Midwest,cCEN_USA
20,1,nNDC_Southeast,cCEN_West
21,2,cCEN_Northeast,nNDC_Northeast
22,2,cCEN_Northeast,cCEN_USA
23,2,cCEN_Midwest,cCEN_USA
24,2,cCEN_South,cCEN_USA
25,2,cCEN_West,cCEN_USA
26,2,nNDC_Midwest,nNDC_USA
27,2,nNDC_Northeast,nNDC_USA
28,2,nNDC_Southeast,nNDC_USA
29,2,nNDC_Southwest,nNDC_USA
30,2,nNDC_West,nNDC_USA
31,2,nNDC_West,cCEN_West
32,2,cCEN_Northeast,nNDC_USA
33,2,cCEN_Midwest,nNDC_USA
34,2,cCEN_South,nNDC_USA
35,2,cCEN_West,nNDC_USA
36,2,nNDC_West,cCEN_USA
37,2,nNDC_Southwest,cCEN_USA
38,2,nNDC_Southeast,cCEN_USA
39,2,nNDC_Northeast,cCEN_USA
40,2,nNDC_Midwest,cCEN_USA
41,2,nNDC_Southeast,cCEN_West
42,3,cCEN_Northeast,nNDC_Northeast
43,3,cCEN_Northeast,cCEN_USA
44,3,cCEN_Midwest,cCEN_USA
45,3,cCEN_South,cCEN_USA
46,3,cCEN_West,cCEN_USA
47,3,nNDC_Midwest,nNDC_USA
48,3,nNDC_Northeast,nNDC_USA
49,3,nNDC_Southeast,nNDC_USA
50,3,nNDC_Southwest,nNDC_USA
51,3,nNDC_West,nNDC_USA
52,3,nNDC_West,cCEN_West
53,3,cCEN_Northeast,nNDC_USA
54,3,cCEN_Midwest,nNDC_USA
55,3,cCEN_South,nNDC_USA
56,3,cCEN_West,nNDC_USA
57,3,nNDC_West,cCEN_USA
58,3,nNDC_Southwest,cCEN_USA
59,3,nNDC_Southeast,cCEN_USA
60,3,nNDC_Northeast,cCEN_USA
61,3,nNDC_Midwest,cCEN_USA
62,4,cCEN_Northeast,nNDC_Northeast
63,4,cCEN_Northeast,cCEN_USA
64,4,cCEN_Midwest,cCEN_USA
65,4,cCEN_South,cCEN_USA
66,4,cCEN_West,cCEN_USA
67,4,nNDC_Midwest,nNDC_USA
68,4,nNDC_Northeast,nNDC_USA
69,4,nNDC_Southeast,nNDC_USA
70,4,nNDC_Southwest,nNDC_USA
71,4,nNDC_West,nNDC_USA
72,4,nNDC_West,cCEN_West
73,4,cCEN_Northeast,nNDC_USA
74,4,cCEN_Midwest,nNDC_USA
75,4,cCEN_South,nNDC_USA
76,4,cCEN_West,nNDC_USA
77,4,nNDC_West,cCEN_USA
78,4,nNDC_Southwest,cCEN_USA
79,4,nNDC_Southeast,cCEN_USA
80,4,nNDC_Northeast,cCEN_USA
81,4,nNDC_Midwest,cCEN_USA
82,5,cCEN_Northeast,nNDC_Northeast
83,5,cCEN_Northeast,cCEN_USA
84,5,cCEN_Midwest,cCEN_USA
85,5,cCEN_South,cCEN_USA
86,5,cCEN_West,cCEN_USA
87,5,nNDC_Midwest,nNDC_USA
88,5,nNDC_Northeast,nNDC_USA
89,5,nNDC_Southeast,nNDC_USA
90,5,nNDC_Southwest,nNDC_USA
91,5,nNDC_West,nNDC_USA
92,5,nNDC_West,cCEN_West
93,5,cCEN_Northeast,nNDC_USA
94,5,cCEN_Midwest,nNDC_USA
95,5,cCEN_South,nNDC_USA
96,5,cCEN_West,nNDC_USA
97,5,nNDC_West,cCEN_USA
98,5,nNDC_Southwest,cCEN_USA
99,5,nNDC_Southeast,cCEN_USA
100,5,nNDC_Northeast,cCEN_USA
101,5,nNDC_Midwest,cCEN_USA
102,6,cCEN_Northeast,nNDC_Northeast
103,6,cCEN_Northeast,cCEN_USA
104,6,cCEN_Midwest,cCEN_USA
105,6,cCEN_South,cCEN_USA
106,6,cCEN_West,cCEN_USA
107,6,nNDC_Midwest,nNDC_USA
108,6,nNDC_Northeast,nNDC_USA
109,6,nNDC_Southeast,nNDC_USA
110,6,nNDC_Southwest,nNDC_USA
111,6,nNDC_West,nNDC_USA
112,6,nNDC_West,cCEN_West
113,6,cCEN_Northeast,nNDC_USA
114,6,cCEN_Midwest,nNDC_USA
115,6,cCEN_South,nNDC_USA
116,6,cCEN_West,nNDC_USA
117,6,nNDC_West,cCEN_USA
118,6,nNDC_Southwest,cCEN_USA
119,6,nNDC_Southeast,cCEN_USA
120,6,nNDC_Northeast,cCEN_USA
121,6,nNDC_Midwest,cCEN_USA
122,7,cCEN_Northeast,nNDC_Northeast
123,7,cCEN_Northeast,cCEN_USA
124,7,cCEN_Midwest,cCEN_USA
125,7,cCEN_South,cCEN_USA
126,7,cCEN_West,cCEN_USA
127,7,nNDC_Midwest,nNDC_USA
128,7,nNDC_Northeast,nNDC_USA
129,7,nNDC_Southeast,nNDC_USA
130,7,nNDC_Southwest,nNDC_USA
131,7,nNDC_West,nNDC_USA
132,7,nNDC_West,cCEN_West
133,7,cCEN_Northeast,nNDC_USA
134,7,cCEN_Midwest,nNDC_USA
135,7,cCEN_South,nNDC_USA
136,7,cCEN_West,nNDC_USA
137,7,nNDC_West,cCEN_USA
138,7,nNDC_Southwest,cCEN_USA
139,7,nNDC_Southeast,cCEN_USA
140,7,nNDC_Northeast,cCEN_USA
141,7,nNDC_Midwest,cCEN_USA
142,7,nNDC_Southeast,cCEN_South
143,8,cCEN_Northeast,nNDC_Northeast
144,8,cCEN_Northeast,cCEN_USA
145,8,cCEN_Midwest,cCEN_USA
146,8,cCEN_South,cCEN_USA
147,8,cCEN_West,cCEN_USA
148,8,nNDC_Midwest,nNDC_USA
149,8,nNDC_Northeast,nNDC_USA
150,8,nNDC_Southeast,nNDC_USA
151,8,nNDC_Southwest,nNDC_USA
152,8,nNDC_West,nNDC_USA
153,8,nNDC_West,cCEN_West
154,8,cCEN_Northeast,nNDC_USA
155,8,cCEN_Midwest,nNDC_USA
156,8,cCEN_South,nNDC_USA
157,8,cCEN_West,nNDC_USA
158,8,nNDC_West,cCEN_USA
159,8,nNDC_Southwest,cCEN_USA
160,8,nNDC_Southeast,cCEN_USA
161,8,nNDC_Northeast,cCEN_USA
162,8,nNDC_Midwest,cCEN_USA
163,8,nNDC_Southeast,cCEN_South
164,9,cCEN_Northeast,nNDC_Northeast
165,9,cCEN_Northeast,cCEN_USA
166,9,cCEN_Midwest,cCEN_USA
167,9,cCEN_South,cCEN_USA
168,9,cCEN_West,cCEN_USA
169,9,nNDC_Midwest,nNDC_USA
170,9,nNDC_Northeast,nNDC_USA
171,9,nNDC_Southeast,nNDC_USA
172,9,nNDC_Southwest,nNDC_USA
173,9,nNDC_West,nNDC_USA
174,9,nNDC_West,cCEN_West
175,9,cCEN_Northeast,nNDC_USA
176,9,cCEN_Midwest,nNDC_USA
177,9,cCEN_South,nNDC_USA
178,9,cCEN_West,nNDC_USA
179,9,nNDC_West,cCEN_USA
180,9,nNDC_Southwest,cCEN_USA
181,9,nNDC_Southeast,cCEN_USA
182,9,nNDC_Northeast,cCEN_USA
183,9,nNDC_Midwest,cCEN_USA
184,9,nNDC_Southeast,cCEN_West
185,10,cCEN_Northeast,nNDC_Northeast
186,10,cCEN_Northeast,cCEN_USA
187,10,cCEN_Midwest,cCEN_USA
188,10,cCEN_South,cCEN_USA
189,10,cCEN_West,cCEN_USA
190,10,nNDC_Midwest,nNDC_USA
191,10,nNDC_Northeast,nNDC_USA
192,10,nNDC_Southeast,nNDC_USA
193,10,nNDC_Southwest,nNDC_USA
194,10,nNDC_West,nNDC_USA
195,10,nNDC_West,cCEN_West
196,10,cCEN_Northeast,nNDC_USA
197,10,cCEN_Midwest,nNDC_USA
198,10,cCEN_South,nNDC_USA
199,10,cCEN_West,nNDC_USA
200,10,nNDC_West,cCEN_USA
201,10,nNDC_Southwest,cCEN_USA
202,10,nNDC_Southeast,cCEN_USA
203,10,nNDC_Northeast,cCEN_USA
204,10,nNDC_Midwest,cCEN_USA
205,10,nNDC_Southeast,cCEN_West
206,11,cCEN_Northeast,nNDC_Northeast
207,11,cCEN_Northeast,cCEN_USA
208,11,cCEN_Midwest,cCEN_USA
209,11,cCEN_South,cCEN_USA
210,11,cCEN_West,cCEN_USA
211,11,nNDC_Midwest,nNDC_USA
212,11,nNDC_Northeast,nNDC_USA
213,11,nNDC_Southeast,nNDC_USA
214,11,nNDC_Southwest,nNDC_USA
215,11,nNDC_West,nNDC_USA
216,11,nNDC_West,cCEN_West
217,11,cCEN_Northeast,nNDC_USA
218,11,cCEN_Midwest,nNDC_USA
219,11,cCEN_South,nNDC_USA
220,11,cCEN_West,nNDC_USA
221,11,nNDC_West,cCEN_USA
222,11,nNDC_Southwest,cCEN_USA
223,11,nNDC_Southeast,cCEN_USA
224,11,nNDC_Northeast,cCEN_USA
225,11,nNDC_Midwest,cCEN_USA
