,pw,x1
0,1,cCEN_Northeast
1,1,cCEN_Midwest
2,1,cCEN_South
3,1,cCEN_West
4,1,nNDC_Midwest
5,1,nNDC_Northeast
6,1,nNDC_Southeast
7,1,nNDC_Southwest
8,1,nNDC_West
9,1,cCEN_USA
10,1,nNDC_USA
11,2,cCEN_Northeast
12,2,cCEN_Midwest
13,2,cCEN_South
14,2,cCEN_West
15,2,nNDC_Midwest
16,2,nNDC_Northeast
17,2,nNDC_Southeast
18,2,nNDC_Southwest
19,2,nNDC_West
20,2,cCEN_USA
21,2,nNDC_USA
22,3,cCEN_Northeast
23,3,cCEN_Midwest
24,3,cCEN_South
25,3,cCEN_West
26,3,nNDC_Midwest
27,3,nNDC_Northeast
28,3,nNDC_Southeast
29,3,nNDC_Southwest
30,3,nNDC_West
31,3,cCEN_USA
32,3,nNDC_USA
33,4,cCEN_Northeast
34,4,cCEN_Midwest
35,4,cCEN_South
36,4,cCEN_West
37,4,nNDC_Midwest
38,4,nNDC_Northeast
39,4,nNDC_Southeast
40,4,nNDC_Southwest
41,4,nNDC_West
42,4,cCEN_USA
43,4,nNDC_USA
44,5,cCEN_Northeast
45,5,cCEN_Midwest
46,5,cCEN_South
47,5,cCEN_West
48,5,nNDC_Midwest
49,5,nNDC_Northeast
50,5,nNDC_Southeast
51,5,nNDC_Southwest
52,5,nNDC_West
53,5,cCEN_USA
54,5,nNDC_USA
55,6,cCEN_Northeast
56,6,cCEN_Midwest
57,6,cCEN_South
58,6,cCEN_West
59,6,nNDC_Midwest
60,6,nNDC_Northeast
61,6,nNDC_Southeast
62,6,nNDC_Southwest
63,6,nNDC_West
64,6,cCEN_USA
65,6,nNDC_USA
66,7,cCEN_Northeast
67,7,cCEN_Midwest
68,7,cCEN_South
69,7,cCEN_West
70,7,nNDC_Midwest
71,7,nNDC_Northeast
72,7,nNDC_Southeast
73,7,nNDC_Southwest
74,7,nNDC_West
75,7,cCEN_USA
76,7,nNDC_USA
77,8,cCEN_Northeast
