,pw,x1,x2,x3
0,1,cT1_a,cT2_A,"""="""
1,1,cT1_b,cT2_A,"""<"""
2,1,cT1_c,cT2_A,"""<"""
3,1,cT1_b,cT2_C,"""="""
4,1,cT1_a,cT2_C,""">"""
5,1,cT2_A,cT2_C,""">"""
6,1,cT1_c,cT2_C,"""!"""
7,1,cT2_B,cT2_C,"""!"""
8,1,cT1_c,cT2_B,"""="""
9,1,cT1_a,cT2_B,""">"""
10,1,cT2_A,cT2_B,""">"""
11,1,cT1_b,cT2_B,"""!"""
12,1,cT1_a,cT1_c,""">"""
13,1,cT1_b,cT1_c,"""!"""
14,1,cT1_a,cT1_b,""">"""
15,2,cT1_a,cT2_A,"""="""
16,2,cT1_b_not_cT2_B,cT2_A,"""<"""
17,2,cT1_b__cT2_B,cT2_A,"""<"""
18,2,cT1_b,cT2_A,"""<"""
19,2,cT1_c,cT2_A,"""<"""
20,2,cT1_b_not_cT2_B,cT2_C,"""="""
21,2,cT1_b,cT2_C,""">"""
22,2,cT1_a,cT2_C,""">"""
23,2,cT2_A,cT2_C,""">"""
24,2,cT1_b__cT2_B,cT2_C,"""!"""
25,2,cT1_c,cT2_C,"""!"""
26,2,cT2_B,cT2_C,"""!"""
27,2,cT1_a,cT2_B,""">"""
28,2,cT2_A,cT2_B,""">"""
29,2,cT1_b_not_cT2_B,cT2_B,"""!"""
30,2,cT1_b__cT2_B,cT2_B,"""<"""
31,2,cT1_c,cT2_B,"""<"""
32,2,cT1_b,cT2_B,"""><"""
33,2,cT1_a,cT1_c,""">"""
34,2,cT1_b_not_cT2_B,cT1_c,"""!"""
35,2,cT1_b__cT2_B,cT1_c,"""!"""
36,2,cT1_b,cT1_c,"""!"""
37,2,cT1_a,cT1_b,""">"""
38,2,cT1_a,cT1_b_not_cT2_B,""">"""
39,2,cT1_b,cT1_b_not_cT2_B,""">"""
40,2,cT1_b__cT2_B,cT1_b_not_cT2_B,"""!"""
41,2,cT1_a,cT1_b__cT2_B,""">"""
42,2,cT1_b,cT1_b__cT2_B,""">"""
43,2,cT1_c,not_cT1_b__cT2_B,"""="""
44,2,cT1_a,not_cT1_b__cT2_B,""">"""
45,2,cT2_A,not_cT1_b__cT2_B,""">"""
46,2,cT2_B,not_cT1_b__cT2_B,""">"""
47,2,cT1_b_not_cT2_B,not_cT1_b__cT2_B,"""!"""
48,2,cT1_b__cT2_B,not_cT1_b__cT2_B,"""!"""
49,2,cT1_b,not_cT1_b__cT2_B,"""!"""
50,2,cT2_C,not_cT1_b__cT2_B,"""!"""
51,3,cT1_a,cT2_A,"""="""
52,3,cT1_c_not_cT2_B,cT2_A,"""<"""
53,3,cT1_b_not_cT2_B,cT2_A,"""<"""
54,3,cT1_b_not_cT2_C,cT2_A,"""<"""
55,3,cT1_c_not_cT2_C,cT2_A,"""<"""
56,3,cT1_c__cT2_C,cT2_A,"""<"""
57,3,cT1_b__cT2_C,cT2_A,"""<"""
58,3,cT1_b__cT2_B,cT2_A,"""<"""
59,3,cT1_c__cT2_B,cT2_A,"""<"""
60,3,cT1_b,cT2_A,"""<"""
61,3,cT1_c,cT2_A,"""<"""
62,3,cT1_a,cT2_C,""">"""
63,3,cT2_A,cT2_C,""">"""
64,3,cT1_b_not_cT2_C,cT2_C,"""!"""
65,3,cT1_c_not_cT2_C,cT2_C,"""!"""
66,3,cT1_b__cT2_B,cT2_C,"""!"""
67,3,cT1_c__cT2_B,cT2_C,"""!"""
68,3,cT2_B,cT2_C,"""!"""
69,3,cT1_c_not_cT2_B,cT2_C,"""<"""
