,pw,x1,x2
0,1,cT2_A,0
1,1,cT1_a,1
2,1,cT2_C,0
3,1,cT2_B,0
4,1,cT1_c,1
5,1,cT1_b,1
6,2,cT2_A,0
7,2,cT1_a,1
8,2,cT2_C,0
9,2,cT2_B,0
10,2,cT1_c,1
11,2,cT1_b,1
12,3,cT2_A,0
13,3,cT1_a,1
14,3,cT2_C,0
15,3,cT2_B,0
16,3,cT1_c,1
17,3,cT1_b,1
18,4,cT2_A,0
19,4,cT1_a,1
20,4,cT2_C,0
21,4,cT2_B,0
22,4,cT1_c,1
23,4,cT1_b,1
24,5,cT2_A,0
25,5,cT1_a,1
26,5,cT2_C,0
27,5,cT2_B,0
28,5,cT1_c,1
29,5,cT1_b,1
30,6,cT2_A,0
31,6,cT1_a,1
32,6,cT2_C,0
33,6,cT2_B,0
34,6,cT1_c,1
35,6,cT1_b,1
36,7,cT2_A,0
37,7,cT1_a,1
38,7,cT2_C,0
39,7,cT2_B,0
40,7,cT1_c,1
41,7,cT1_b,1
