,pw,x1,x2,x3
0,1,cT2_C,cT1_c,2
1,1,cT2_C,cT1_a,2
2,1,cT2_B,cT1_a,2
3,1,cT2_B,cT1_b,2
4,1,cT2_A,cT1_c,1
5,1,cT2_A,cT1_a,1
6,1,cT2_A,cT1_b,1
7,1,cT2_C,cT1_a,1
8,1,cT2_C,cT1_b,1
9,1,cT2_B,cT1_c,1
10,1,cT2_B,cT1_a,1
11,1,cT2_A,cT1_b,0
12,1,cT2_A,cT1_c,0
13,1,cT2_C,cT1_c,0
14,1,cT2_B,cT1_b,0
15,2,cT2_C,cT1_c,2
16,2,cT2_C,cT1_a,2
17,2,cT2_C,cT1_b,2
18,2,cT2_B,cT1_a,2
19,2,cT2_B,cT1_b,2
20,2,cT2_A,cT1_c,1
21,2,cT2_A,cT1_a,1
22,2,cT2_A,cT1_b,1
23,2,cT2_C,cT1_a,1
24,2,cT2_C,cT1_b,1
25,2,cT2_B,cT1_c,1
26,2,cT2_B,cT1_a,1
27,2,cT2_B,cT1_b,1
28,2,cT2_A,cT1_b,0
29,2,cT2_A,cT1_c,0
30,2,cT2_C,cT1_c,0
31,2,cT2_B,cT1_b,0
32,2,cT2_B,cT1_c,0
33,3,cT2_C,cT1_c,2
34,3,cT2_C,cT1_a,2
35,3,cT2_B,cT1_c,2
36,3,cT2_B,cT1_a,2
37,3,cT2_B,cT1_b,2
38,3,cT2_A,cT1_c,1
39,3,cT2_A,cT1_a,1
40,3,cT2_A,cT1_b,1
41,3,cT2_C,cT1_c,1
42,3,cT2_C,cT1_a,1
43,3,cT2_C,cT1_b,1
44,3,cT2_B,cT1_c,1
45,3,cT2_B,cT1_a,1
46,3,cT2_A,cT1_b,0
47,3,cT2_A,cT1_c,0
48,3,cT2_C,cT1_b,0
49,3,cT2_C,cT1_c,0
50,3,cT2_B,cT1_b,0
51,4,cT2_C,cT1_a,2
52,4,cT2_C,cT1_b,2
53,4,cT2_B,cT1_c,2
54,4,cT2_B,cT1_a,2
55,4,cT2_A,cT1_c,1
56,4,cT2_A,cT1_a,1
57,4,cT2_A,cT1_b,1
58,4,cT2_C,cT1_c,1
59,4,cT2_C,cT1_a,1
60,4,cT2_B,cT1_a,1
61,4,cT2_B,cT1_b,1
62,4,cT2_A,cT1_b,0
63,4,cT2_A,cT1_c,0
64,4,cT2_C,cT1_b,0
65,4,cT2_B,cT1_c,0
66,5,cT2_C,cT1_c,2
67,5,cT2_C,cT1_a,2
68,5,cT2_C,cT1_b,2
69,5,cT2_B,cT1_c,2
70,5,cT2_B,cT1_a,2
71,5,cT2_A,cT1_c,1
72,5,cT2_A,cT1_a,1
73,5,cT2_A,cT1_b,1
74,5,cT2_C,cT1_c,1
75,5,cT2_C,cT1_a,1
76,5,cT2_B,cT1_c,1
77,5,cT2_B,cT1_a,1
78,5,cT2_B,cT1_b,1
79,5,cT2_A,cT1_b,0
80,5,cT2_A,cT1_c,0
81,5,cT2_C,cT1_b,0
82,5,cT2_B,cT1_b,0
83,5,cT2_B,cT1_c,0
84,6,cT2_C,cT1_a,2
85,6,cT2_C,cT1_b,2
86,6,cT2_B,cT1_c,2
87,6,cT2_B,cT1_a,2
88,6,cT2_B,cT1_b,2
89,6,cT2_A,cT1_c,1
90,6,cT2_A,cT1_a,1
91,6,cT2_A,cT1_b,1
92,6,cT2_C,cT1_c,1
93,6,cT2_C,cT1_a,1
94,6,cT2_C,cT1_b,1
95,6,cT2_B,cT1_a,1
96,6,cT2_B,cT1_b,1
97,6,cT2_A,cT1_b,0
98,6,cT2_A,cT1_c,0
99,6,cT2_C,cT1_b,0
100,6,cT2_C,cT1_c,0
101,6,cT2_B,cT1_c,0
102,7,cT2_C,cT1_c,2
103,7,cT2_C,cT1_a,2
104,7,cT2_C,cT1_b,2
105,7,cT2_B,cT1_c,2
106,7,cT2_B,cT1_a,2
107,7,cT2_B,cT1_b,2
108,7,cT2_A,cT1_c,1
109,7,cT2_A,cT1_a,1
110,7,cT2_A,cT1_b,1
111,7,cT2_C,cT1_c,1
112,7,cT2_C,cT1_a,1
113,7,cT2_C,cT1_b,1
114,7,cT2_B,cT1_c,1
115,7,cT2_B,cT1_a,1
116,7,cT2_B,cT1_b,1
117,7,cT2_A,cT1_b,0
118,7,cT2_A,cT1_c,0
119,7,cT2_C,cT1_b,0
120,7,cT2_C,cT1_c,0
121,7,cT2_B,cT1_b,0
122,7,cT2_B,cT1_c,0
