,pw,x1,x2
0,1,cT2_C,1
1,1,cT2_C,4
2,1,cT2_C,7
3,1,cT2_B,2
4,1,cT2_B,5
5,1,cT2_B,8
6,1,cT1_c,3
7,1,cT1_c,4
8,1,cT1_c,5
9,1,cT1_b,6
10,1,cT1_b,7
11,1,cT1_b,8
12,1,cT2_A,1
13,1,cT2_A,2
14,1,cT2_A,4
15,1,cT2_A,5
16,1,cT2_A,7
17,1,cT2_A,8
18,1,cT1_a,3
19,1,cT1_a,4
20,1,cT1_a,5
21,1,cT1_a,6
22,1,cT1_a,7
23,1,cT1_a,8
24,2,cT2_C,1
25,2,cT2_C,4
26,2,cT2_C,7
27,2,cT2_B,2
28,2,cT2_B,5
29,2,cT2_B,8
30,2,cT1_c,3
31,2,cT1_c,4
32,2,cT1_c,5
33,2,cT1_b,6
34,2,cT1_b,7
35,2,cT1_b,8
36,2,cT2_A,1
37,2,cT2_A,2
38,2,cT2_A,4
39,2,cT2_A,5
40,2,cT2_A,7
41,2,cT2_A,8
42,2,cT1_a,3
43,2,cT1_a,4
44,2,cT1_a,5
45,2,cT1_a,6
46,2,cT1_a,7
47,2,cT1_a,8
48,3,cT2_C,1
49,3,cT2_C,4
50,3,cT2_C,7
51,3,cT2_B,2
52,3,cT2_B,5
53,3,cT2_B,8
54,3,cT1_c,3
55,3,cT1_c,4
56,3,cT1_c,5
57,3,cT1_b,6
58,3,cT1_b,7
59,3,cT1_b,8
60,3,cT2_A,1
61,3,cT2_A,2
62,3,cT2_A,4
63,3,cT2_A,5
64,3,cT2_A,7
65,3,cT2_A,8
66,3,cT1_a,3
67,3,cT1_a,4
68,3,cT1_a,5
69,3,cT1_a,6
70,3,cT1_a,7
71,3,cT1_a,8
72,4,cT2_C,1
73,4,cT2_C,4
74,4,cT2_C,7
75,4,cT2_B,2
76,4,cT2_B,5
77,4,cT2_B,8
78,4,cT1_c,3
79,4,cT1_c,4
80,4,cT1_c,5
81,4,cT1_b,6
82,4,cT1_b,7
83,4,cT1_b,8
84,4,cT2_A,1
85,4,cT2_A,2
86,4,cT2_A,4
87,4,cT2_A,5
88,4,cT2_A,7
89,4,cT2_A,8
90,4,cT1_a,3
91,4,cT1_a,4
92,4,cT1_a,5
93,4,cT1_a,6
94,4,cT1_a,7
95,4,cT1_a,8
96,5,cT2_C,1
97,5,cT2_C,4
98,5,cT2_C,7
99,5,cT2_B,2
100,5,cT2_B,5
101,5,cT2_B,8
102,5,cT1_c,3
103,5,cT1_c,4
104,5,cT1_c,5
105,5,cT1_b,6
106,5,cT1_b,7
107,5,cT1_b,8
108,5,cT2_A,1
109,5,cT2_A,2
110,5,cT2_A,4
111,5,cT2_A,5
112,5,cT2_A,7
113,5,cT2_A,8
114,5,cT1_a,3
115,5,cT1_a,4
116,5,cT1_a,5
117,5,cT1_a,6
118,5,cT1_a,7
119,5,cT1_a,8
120,6,cT2_C,1
121,6,cT2_C,4
122,6,cT2_C,7
123,6,cT2_B,2
124,6,cT2_B,5
125,6,cT2_B,8
126,6,cT1_c,3
127,6,cT1_c,4
128,6,cT1_c,5
129,6,cT1_b,6
130,6,cT1_b,7
131,6,cT1_b,8
132,6,cT2_A,1
133,6,cT2_A,2
134,6,cT2_A,4
135,6,cT2_A,5
136,6,cT2_A,7
137,6,cT2_A,8
138,6,cT1_a,3
139,6,cT1_a,4
140,6,cT1_a,5
141,6,cT1_a,6
142,6,cT1_a,7
143,6,cT1_a,8
144,7,cT2_C,1
145,7,cT2_C,4
146,7,cT2_C,7
147,7,cT2_B,2
148,7,cT2_B,5
149,7,cT2_B,8
150,7,cT1_c,3
151,7,cT1_c,4
152,7,cT1_c,5
153,7,cT1_b,6
154,7,cT1_b,7
155,7,cT1_b,8
156,7,cT2_A,1
157,7,cT2_A,2
158,7,cT2_A,4
159,7,cT2_A,5
160,7,cT2_A,7
161,7,cT2_A,8
162,7,cT1_a,3
163,7,cT1_a,4
164,7,cT1_a,5
165,7,cT1_a,6
166,7,cT1_a,7
167,7,cT1_a,8
