,pw,x1,x2
0,1,cT2_C,2
1,1,cT2_C,3
2,1,cT2_C,5
3,1,cT2_C,6
4,1,cT2_C,8
5,1,cT2_B,1
6,1,cT2_B,3
7,1,cT2_B,4
8,1,cT2_B,6
9,1,cT2_B,7
10,1,cT1_c,1
11,1,cT1_c,2
12,1,cT1_c,6
13,1,cT1_c,7
14,1,cT1_c,8
15,1,cT1_b,1
16,1,cT1_b,2
17,1,cT1_b,3
18,1,cT1_b,4
19,1,cT1_b,5
20,1,cT2_A,3
21,1,cT2_A,6
22,1,cT1_a,1
23,1,cT1_a,2
24,2,cT2_C,2
25,2,cT2_C,3
26,2,cT2_C,5
27,2,cT2_C,6
28,2,cT2_C,8
29,2,cT2_B,1
30,2,cT2_B,3
31,2,cT2_B,4
32,2,cT2_B,6
33,2,cT2_B,7
34,2,cT1_c,1
35,2,cT1_c,2
36,2,cT1_c,6
37,2,cT1_c,7
38,2,cT1_c,8
39,2,cT1_b,1
40,2,cT1_b,2
41,2,cT1_b,3
42,2,cT1_b,4
43,2,cT1_b,5
44,2,cT2_A,3
45,2,cT2_A,6
46,2,cT1_a,1
47,2,cT1_a,2
48,3,cT2_C,2
49,3,cT2_C,3
50,3,cT2_C,5
51,3,cT2_C,6
52,3,cT2_C,8
53,3,cT2_B,1
54,3,cT2_B,3
55,3,cT2_B,4
56,3,cT2_B,6
57,3,cT2_B,7
58,3,cT1_c,1
59,3,cT1_c,2
60,3,cT1_c,6
61,3,cT1_c,7
62,3,cT1_c,8
63,3,cT1_b,1
64,3,cT1_b,2
65,3,cT1_b,3
66,3,cT1_b,4
67,3,cT1_b,5
68,3,cT2_A,3
69,3,cT2_A,6
70,3,cT1_a,1
71,3,cT1_a,2
72,4,cT2_C,2
73,4,cT2_C,3
74,4,cT2_C,5
75,4,cT2_C,6
76,4,cT2_C,8
77,4,cT2_B,1
78,4,cT2_B,3
79,4,cT2_B,4
80,4,cT2_B,6
81,4,cT2_B,7
82,4,cT1_c,1
83,4,cT1_c,2
84,4,cT1_c,6
85,4,cT1_c,7
86,4,cT1_c,8
87,4,cT1_b,1
88,4,cT1_b,2
89,4,cT1_b,3
90,4,cT1_b,4
91,4,cT1_b,5
92,4,cT2_A,3
93,4,cT2_A,6
94,4,cT1_a,1
95,4,cT1_a,2
96,5,cT2_C,2
97,5,cT2_C,3
98,5,cT2_C,5
99,5,cT2_C,6
100,5,cT2_C,8
101,5,cT2_B,1
102,5,cT2_B,3
103,5,cT2_B,4
104,5,cT2_B,6
105,5,cT2_B,7
106,5,cT1_c,1
107,5,cT1_c,2
108,5,cT1_c,6
109,5,cT1_c,7
110,5,cT1_c,8
111,5,cT1_b,1
112,5,cT1_b,2
113,5,cT1_b,3
114,5,cT1_b,4
115,5,cT1_b,5
116,5,cT2_A,3
117,5,cT2_A,6
118,5,cT1_a,1
119,5,cT1_a,2
120,6,cT2_C,2
121,6,cT2_C,3
122,6,cT2_C,5
123,6,cT2_C,6
124,6,cT2_C,8
125,6,cT2_B,1
126,6,cT2_B,3
127,6,cT2_B,4
128,6,cT2_B,6
129,6,cT2_B,7
130,6,cT1_c,1
131,6,cT1_c,2
132,6,cT1_c,6
133,6,cT1_c,7
134,6,cT1_c,8
135,6,cT1_b,1
136,6,cT1_b,2
137,6,cT1_b,3
138,6,cT1_b,4
139,6,cT1_b,5
140,6,cT2_A,3
141,6,cT2_A,6
142,6,cT1_a,1
143,6,cT1_a,2
144,7,cT2_C,2
145,7,cT2_C,3
146,7,cT2_C,5
147,7,cT2_C,6
148,7,cT2_C,8
149,7,cT2_B,1
150,7,cT2_B,3
151,7,cT2_B,4
152,7,cT2_B,6
153,7,cT2_B,7
154,7,cT1_c,1
155,7,cT1_c,2
156,7,cT1_c,6
157,7,cT1_c,7
158,7,cT1_c,8
159,7,cT1_b,1
160,7,cT1_b,2
161,7,cT1_b,3
162,7,cT1_b,4
163,7,cT1_b,5
164,7,cT2_A,3
165,7,cT2_A,6
166,7,cT1_a,1
167,7,cT1_a,2
