,pw,x1,x2,x3
0,1,1,0,1
1,1,2,0,2
2,1,3,0,0
3,1,4,0,1
4,1,5,0,2
5,1,6,0,0
6,1,7,0,1
7,1,8,0,2
8,1,1,1,0
9,1,2,1,0
10,1,3,1,1
11,1,4,1,1
12,1,5,1,1
13,1,6,1,2
14,1,7,1,2
15,1,8,1,2
16,2,1,0,1
17,2,2,0,2
18,2,3,0,0
19,2,4,0,1
20,2,5,0,2
21,2,6,0,0
22,2,7,0,1
23,2,8,0,2
24,2,1,1,0
25,2,2,1,0
26,2,3,1,1
27,2,4,1,1
28,2,5,1,1
29,2,6,1,2
30,2,7,1,2
31,2,8,1,2
32,3,1,0,1
33,3,2,0,2
34,3,3,0,0
35,3,4,0,1
36,3,5,0,2
37,3,6,0,0
38,3,7,0,1
39,3,8,0,2
40,3,1,1,0
41,3,2,1,0
42,3,3,1,1
43,3,4,1,1
44,3,5,1,1
45,3,6,1,2
46,3,7,1,2
47,3,8,1,2
48,4,1,0,1
49,4,2,0,2
50,4,3,0,0
51,4,4,0,1
52,4,5,0,2
53,4,6,0,0
54,4,7,0,1
55,4,8,0,2
56,4,1,1,0
57,4,2,1,0
58,4,3,1,1
59,4,4,1,1
60,4,5,1,1
61,4,6,1,2
62,4,7,1,2
63,4,8,1,2
64,5,1,0,1
65,5,2,0,2
66,5,3,0,0
67,5,4,0,1
68,5,5,0,2
69,5,6,0,0
70,5,7,0,1
71,5,8,0,2
72,5,1,1,0
73,5,2,1,0
74,5,3,1,1
75,5,4,1,1
76,5,5,1,1
77,5,6,1,2
78,5,7,1,2
79,5,8,1,2
80,6,1,0,1
81,6,2,0,2
82,6,3,0,0
83,6,4,0,1
84,6,5,0,2
85,6,6,0,0
86,6,7,0,1
87,6,8,0,2
88,6,1,1,0
89,6,2,1,0
90,6,3,1,1
91,6,4,1,1
92,6,5,1,1
93,6,6,1,2
94,6,7,1,2
95,6,8,1,2
96,7,1,0,1
97,7,2,0,2
98,7,3,0,0
99,7,4,0,1
100,7,5,0,2
101,7,6,0,0
102,7,7,0,1
103,7,8,0,2
104,7,1,1,0
105,7,2,1,0
106,7,3,1,1
107,7,4,1,1
108,7,5,1,1
109,7,6,1,2
110,7,7,1,2
111,7,8,1,2
