,pw,x1,x2
0,1,1,r8
1,1,2,r8
2,1,3,r8
3,1,6,r8
4,1,1,1
5,1,2,2
6,1,3,3
7,1,6,6
8,1,4,4
9,1,8,8
10,2,1,r8
11,2,2,r8
12,2,3,r8
13,2,6,r8
14,2,1,1
15,2,2,2
16,2,3,3
17,2,6,6
18,2,4,4
19,3,1,r8
20,3,2,r8
21,3,3,r8
22,3,6,r8
23,3,1,1
24,3,2,2
25,3,3,3
26,3,6,6
27,3,8,8
28,4,1,r8
29,4,2,r8
30,4,3,r8
31,4,6,r8
32,4,1,1
33,4,2,2
34,4,3,3
35,4,6,6
36,4,5,5
37,4,7,7
38,5,1,r8
39,5,2,r8
40,5,3,r8
41,5,6,r8
42,5,1,1
43,5,2,2
44,5,3,3
45,5,6,6
46,5,7,7
47,6,1,r8
48,6,2,r8
49,6,3,r8
50,6,6,r8
51,6,1,1
52,6,2,2
53,6,3,3
54,6,6,6
55,6,5,5
56,7,1,r8
57,7,2,r8
58,7,3,r8
59,7,6,r8
60,7,1,1
61,7,2,2
62,7,3,3
63,7,6,6
