,pw,x1,x2,x3
0,1,cT2_C,cT1_a,"""<"""
1,1,cT2_B,cT1_a,"""<"""
2,1,cT2_A,cT1_a,"""="""
3,1,cT2_C,cT1_b,"""="""
4,1,cT2_B,cT1_c,"""="""
5,1,cT2_A,cT1_c,""">"""
6,1,cT2_A,cT1_b,""">"""
7,1,cT2_C,cT1_c,"""!"""
8,1,cT2_B,cT1_b,"""!"""
9,2,cT2_C,cT1_a,"""<"""
10,2,cT2_C,cT1_b,"""<"""
11,2,cT2_B,cT1_a,"""<"""
12,2,cT2_A,cT1_a,"""="""
13,2,cT2_A,cT1_c,""">"""
14,2,cT2_A,cT1_b,""">"""
15,2,cT2_B,cT1_c,""">"""
16,2,cT2_B,cT1_b,"""><"""
17,2,cT2_C,cT1_c,"""!"""
18,3,cT2_C,cT1_a,"""<"""
19,3,cT2_B,cT1_c,"""<"""
20,3,cT2_B,cT1_a,"""<"""
21,3,cT2_A,cT1_a,"""="""
22,3,cT2_A,cT1_c,""">"""
23,3,cT2_A,cT1_b,""">"""
24,3,cT2_C,cT1_b,""">"""
25,3,cT2_C,cT1_c,"""><"""
26,3,cT2_B,cT1_b,"""!"""
27,4,cT2_C,cT1_a,"""<"""
28,4,cT2_B,cT1_a,"""<"""
29,4,cT2_A,cT1_a,"""="""
30,4,cT2_C,cT1_c,"""="""
31,4,cT2_B,cT1_b,"""="""
32,4,cT2_A,cT1_c,""">"""
33,4,cT2_A,cT1_b,""">"""
34,4,cT2_C,cT1_b,"""!"""
35,4,cT2_B,cT1_c,"""!"""
36,5,cT2_C,cT1_c,"""<"""
37,5,cT2_C,cT1_a,"""<"""
38,5,cT2_B,cT1_a,"""<"""
39,5,cT2_A,cT1_a,"""="""
40,5,cT2_A,cT1_c,""">"""
41,5,cT2_A,cT1_b,""">"""
42,5,cT2_B,cT1_b,""">"""
43,5,cT2_B,cT1_c,"""><"""
44,5,cT2_C,cT1_b,"""!"""
45,6,cT2_C,cT1_a,"""<"""
46,6,cT2_B,cT1_a,"""<"""
47,6,cT2_B,cT1_b,"""<"""
48,6,cT2_A,cT1_a,"""="""
49,6,cT2_A,cT1_c,""">"""
50,6,cT2_A,cT1_b,""">"""
51,6,cT2_C,cT1_c,""">"""
52,6,cT2_C,cT1_b,"""><"""
53,6,cT2_B,cT1_c,"""!"""
54,7,cT2_C,cT1_a,"""<"""
55,7,cT2_B,cT1_a,"""<"""
56,7,cT2_A,cT1_a,"""="""
57,7,cT2_A,cT1_c,""">"""
58,7,cT2_A,cT1_b,""">"""
59,7,cT2_C,cT1_c,"""><"""
60,7,cT2_C,cT1_b,"""><"""
61,7,cT2_B,cT1_c,"""><"""
62,7,cT2_B,cT1_b,"""><"""
