,pw,x1,x2
0,1,a1950_Andropogon,a1950_A_capillipes
1,1,a1950_Andropogon,a1950_A_glomeratus
2,1,a1950_Andropogon,a1950_A_virginicus
3,1,a1950_A_virginicus,a1950_A_virginicus_var_glaucopsis
4,1,a1950_A_virginicus,a1950_A_virginicus_var_hirsutior
5,1,a1950_A_virginicus,a1950_A_virginicus_var_virginicus
6,1,b1948_Andropogon,b1948_A_capillipes
7,1,b1948_Andropogon,b1948_A_glomeratus
8,1,b1948_Andropogon,b1948_A_virginicus
9,1,b1948_A_virginicus,b1948_A_virginicus_var_glaucopsis
10,1,b1948_A_virginicus,b1948_A_virginicus_var_tenuispatheus
11,1,b1948_A_virginicus,b1948_A_virginicus_var_virginicus
12,2,a1950_Andropogon,a1950_A_capillipes
13,2,a1950_Andropogon,a1950_A_glomeratus
14,2,a1950_Andropogon,a1950_A_virginicus
15,2,a1950_A_virginicus,a1950_A_virginicus_var_glaucopsis
16,2,a1950_A_virginicus,a1950_A_virginicus_var_hirsutior
17,2,a1950_A_virginicus,a1950_A_virginicus_var_virginicus
18,2,b1948_Andropogon,b1948_A_capillipes
19,2,b1948_Andropogon,b1948_A_glomeratus
20,2,b1948_Andropogon,b1948_A_virginicus
21,2,b1948_A_virginicus,b1948_A_virginicus_var_glaucopsis
22,2,b1948_A_virginicus,b1948_A_virginicus_var_tenuispatheus
23,2,b1948_A_virginicus,b1948_A_virginicus_var_virginicus
24,3,a1950_Andropogon,a1950_A_capillipes
25,3,a1950_Andropogon,a1950_A_glomeratus
26,3,a1950_Andropogon,a1950_A_virginicus
27,3,a1950_A_virginicus,a1950_A_virginicus_var_glaucopsis
28,3,a1950_A_virginicus,a1950_A_virginicus_var_hirsutior
29,3,a1950_A_virginicus,a1950_A_virginicus_var_virginicus
30,3,b1948_Andropogon,b1948_A_capillipes
31,3,b1948_Andropogon,b1948_A_glomeratus
32,3,b1948_Andropogon,b1948_A_virginicus
33,3,b1948_A_virginicus,b1948_A_virginicus_var_glaucopsis
34,3,b1948_A_virginicus,b1948_A_virginicus_var_tenuispatheus
35,3,b1948_A_virginicus,b1948_A_virginicus_var_virginicus
36,4,a1950_Andropogon,a1950_A_capillipes
37,4,a1950_Andropogon,a1950_A_glomeratus
38,4,a1950_Andropogon,a1950_A_virginicus
39,4,a1950_A_virginicus,a1950_A_virginicus_var_glaucopsis
40,4,a1950_A_virginicus,a1950_A_virginicus_var_hirsutior
41,4,a1950_A_virginicus,a1950_A_virginicus_var_virginicus
42,4,b1948_Andropogon,b1948_A_capillipes
43,4,b1948_Andropogon,b1948_A_glomeratus
44,4,b1948_Andropogon,b1948_A_virginicus
45,4,b1948_A_virginicus,b1948_A_virginicus_var_glaucopsis
46,4,b1948_A_virginicus,b1948_A_virginicus_var_tenuispatheus
47,4,b1948_A_virginicus,b1948_A_virginicus_var_virginicus
48,5,a1950_Andropogon,a1950_A_capillipes
49,5,a1950_Andropogon,a1950_A_glomeratus
50,5,a1950_Andropogon,a1950_A_virginicus
51,5,a1950_A_virginicus,a1950_A_virginicus_var_glaucopsis
52,5,a1950_A_virginicus,a1950_A_virginicus_var_hirsutior
53,5,a1950_A_virginicus,a1950_A_virginicus_var_virginicus
54,5,b1948_Andropogon,b1948_A_capillipes
55,5,b1948_Andropogon,b1948_A_glomeratus
56,5,b1948_Andropogon,b1948_A_virginicus
57,5,b1948_A_virginicus,b1948_A_virginicus_var_glaucopsis
58,5,b1948_A_virginicus,b1948_A_virginicus_var_tenuispatheus
59,5,b1948_A_virginicus,b1948_A_virginicus_var_virginicus
60,6,a1950_Andropogon,a1950_A_capillipes
61,6,a1950_Andropogon,a1950_A_glomeratus
62,6,a1950_Andropogon,a1950_A_virginicus
63,6,a1950_A_virginicus,a1950_A_virginicus_var_glaucopsis
64,6,a1950_A_virginicus,a1950_A_virginicus_var_hirsutior
65,6,a1950_A_virginicus,a1950_A_virginicus_var_virginicus
66,6,b1948_Andropogon,b1948_A_capillipes
67,6,b1948_Andropogon,b1948_A_glomeratus
68,6,b1948_Andropogon,b1948_A_virginicus
69,6,b1948_A_virginicus,b1948_A_virginicus_var_glaucopsis
70,6,b1948_A_virginicus,b1948_A_virginicus_var_tenuispatheus
71,6,b1948_A_virginicus,b1948_A_virginicus_var_virginicus
72,7,a1950_Andropogon,a1950_A_capillipes
73,7,a1950_Andropogon,a1950_A_glomeratus
74,7,a1950_Andropogon,a1950_A_virginicus
75,7,a1950_A_virginicus,a1950_A_virginicus_var_glaucopsis
76,7,a1950_A_virginicus,a1950_A_virginicus_var_hirsutior
77,7,a1950_A_virginicus,a1950_A_virginicus_var_virginicus
78,7,b1948_Andropogon,b1948_A_capillipes
79,7,b1948_Andropogon,b1948_A_glomeratus
80,7,b1948_Andropogon,b1948_A_virginicus
81,7,b1948_A_virginicus,b1948_A_virginicus_var_glaucopsis
82,7,b1948_A_virginicus,b1948_A_virginicus_var_tenuispatheus
83,7,b1948_A_virginicus,b1948_A_virginicus_var_virginicus
84,8,a1950_Andropogon,a1950_A_capillipes
85,8,a1950_Andropogon,a1950_A_glomeratus
86,8,a1950_Andropogon,a1950_A_virginicus
87,8,a1950_A_virginicus,a1950_A_virginicus_var_glaucopsis
88,8,a1950_A_virginicus,a1950_A_virginicus_var_hirsutior
89,8,a1950_A_virginicus,a1950_A_virginicus_var_virginicus
90,8,b1948_Andropogon,b1948_A_capillipes
91,8,b1948_Andropogon,b1948_A_glomeratus
92,8,b1948_Andropogon,b1948_A_virginicus
93,8,b1948_A_virginicus,b1948_A_virginicus_var_glaucopsis
94,8,b1948_A_virginicus,b1948_A_virginicus_var_tenuispatheus
95,8,b1948_A_virginicus,b1948_A_virginicus_var_virginicus
96,9,a1950_Andropogon,a1950_A_capillipes
97,9,a1950_Andropogon,a1950_A_glomeratus
98,9,a1950_Andropogon,a1950_A_virginicus
99,9,a1950_A_virginicus,a1950_A_virginicus_var_glaucopsis
100,9,a1950_A_virginicus,a1950_A_virginicus_var_hirsutior
101,9,a1950_A_virginicus,a1950_A_virginicus_var_virginicus
102,9,b1948_Andropogon,b1948_A_capillipes
103,9,b1948_Andropogon,b1948_A_glomeratus
104,9,b1948_Andropogon,b1948_A_virginicus
105,9,b1948_A_virginicus,b1948_A_virginicus_var_glaucopsis
106,9,b1948_A_virginicus,b1948_A_virginicus_var_tenuispatheus
107,9,b1948_A_virginicus,b1948_A_virginicus_var_virginicus
108,10,a1950_Andropogon,a1950_A_capillipes
109,10,a1950_Andropogon,a1950_A_glomeratus
110,10,a1950_Andropogon,a1950_A_virginicus
111,10,a1950_A_virginicus,a1950_A_virginicus_var_glaucopsis
112,10,a1950_A_virginicus,a1950_A_virginicus_var_hirsutior
113,10,a1950_A_virginicus,a1950_A_virginicus_var_virginicus
114,10,b1948_Andropogon,b1948_A_capillipes
115,10,b1948_Andropogon,b1948_A_glomeratus
116,10,b1948_Andropogon,b1948_A_virginicus
117,10,b1948_A_virginicus,b1948_A_virginicus_var_glaucopsis
118,10,b1948_A_virginicus,b1948_A_virginicus_var_tenuispatheus
119,10,b1948_A_virginicus,b1948_A_virginicus_var_virginicus
