,pw,x1,x2
0,1,a1950_A_glomeratus,a1950_A_capillipes
1,1,a1950_A_virginicus,a1950_A_capillipes
2,1,a1950_A_capillipes,a1950_A_glomeratus
3,1,a1950_A_virginicus,a1950_A_glomeratus
4,1,a1950_A_capillipes,a1950_A_virginicus
5,1,a1950_A_glomeratus,a1950_A_virginicus
6,1,a1950_A_virginicus_var_hirsutior,a1950_A_virginicus_var_glaucopsis
7,1,a1950_A_virginicus_var_virginicus,a1950_A_virginicus_var_glaucopsis
8,1,a1950_A_virginicus_var_glaucopsis,a1950_A_virginicus_var_hirsutior
9,1,a1950_A_virginicus_var_virginicus,a1950_A_virginicus_var_hirsutior
10,1,a1950_A_virginicus_var_glaucopsis,a1950_A_virginicus_var_virginicus
11,1,a1950_A_virginicus_var_hirsutior,a1950_A_virginicus_var_virginicus
12,1,b1948_A_glomeratus,b1948_A_capillipes
13,1,b1948_A_virginicus,b1948_A_capillipes
14,1,b1948_A_capillipes,b1948_A_glomeratus
15,1,b1948_A_virginicus,b1948_A_glomeratus
16,1,b1948_A_capillipes,b1948_A_virginicus
17,1,b1948_A_glomeratus,b1948_A_virginicus
18,1,b1948_A_virginicus_var_tenuispatheus,b1948_A_virginicus_var_glaucopsis
19,1,b1948_A_virginicus_var_virginicus,b1948_A_virginicus_var_glaucopsis
20,1,b1948_A_virginicus_var_glaucopsis,b1948_A_virginicus_var_tenuispatheus
21,1,b1948_A_virginicus_var_virginicus,b1948_A_virginicus_var_tenuispatheus
22,1,b1948_A_virginicus_var_glaucopsis,b1948_A_virginicus_var_virginicus
23,1,b1948_A_virginicus_var_tenuispatheus,b1948_A_virginicus_var_virginicus
24,1,b1948_A_virginicus_var_glaucopsis,b1948_A_glomeratus
25,1,b1948_A_virginicus_var_tenuispatheus,b1948_A_glomeratus
26,1,b1948_A_virginicus_var_virginicus,b1948_A_glomeratus
27,1,b1948_A_virginicus_var_glaucopsis,b1948_A_capillipes
28,1,b1948_A_virginicus_var_tenuispatheus,b1948_A_capillipes
29,1,b1948_A_virginicus_var_virginicus,b1948_A_capillipes
30,1,a1950_A_virginicus_var_glaucopsis,a1950_A_glomeratus
31,1,a1950_A_virginicus_var_hirsutior,a1950_A_glomeratus
32,1,a1950_A_virginicus_var_virginicus,a1950_A_glomeratus
33,1,a1950_A_virginicus_var_glaucopsis,a1950_A_capillipes
34,1,a1950_A_virginicus_var_hirsutior,a1950_A_capillipes
35,1,a1950_A_virginicus_var_virginicus,a1950_A_capillipes
36,1,a1950_A_virginicus_var_hirsutior,b1948_A_virginicus_var_glaucopsis
37,1,a1950_A_virginicus_var_virginicus,b1948_A_virginicus_var_glaucopsis
38,1,a1950_A_virginicus_var_glaucopsis,b1948_A_virginicus_var_virginicus
39,1,a1950_A_virginicus_var_hirsutior,b1948_A_virginicus_var_virginicus
40,1,a1950_A_glomeratus,b1948_A_capillipes
41,1,a1950_A_virginicus,b1948_A_capillipes
42,1,a1950_A_virginicus_var_virginicus,b1948_A_virginicus_var_tenuispatheus
43,1,a1950_A_virginicus_var_glaucopsis,b1948_A_virginicus_var_tenuispatheus
44,1,a1950_A_capillipes,b1948_A_virginicus
45,1,a1950_A_capillipes,b1948_A_glomeratus
46,1,b1948_A_glomeratus,a1950_A_capillipes
47,1,b1948_A_virginicus,a1950_A_capillipes
48,1,b1948_A_virginicus_var_tenuispatheus,a1950_A_virginicus_var_glaucopsis
49,1,b1948_A_virginicus_var_tenuispatheus,a1950_A_virginicus_var_virginicus
50,1,b1948_A_capillipes,a1950_A_virginicus
51,1,b1948_A_capillipes,a1950_A_glomeratus
52,1,b1948_A_virginicus_var_virginicus,a1950_A_virginicus_var_hirsutior
53,1,b1948_A_virginicus_var_virginicus,a1950_A_virginicus_var_glaucopsis
54,1,b1948_A_virginicus_var_glaucopsis,a1950_A_virginicus_var_virginicus
55,1,b1948_A_virginicus_var_glaucopsis,a1950_A_virginicus_var_hirsutior
56,1,a1950_A_capillipes,a1950_A_virginicus_var_virginicus
57,1,a1950_A_capillipes,a1950_A_virginicus_var_hirsutior
58,1,a1950_A_capillipes,a1950_A_virginicus_var_glaucopsis
59,1,a1950_A_glomeratus,a1950_A_virginicus_var_virginicus
60,1,a1950_A_glomeratus,a1950_A_virginicus_var_hirsutior
61,1,a1950_A_glomeratus,a1950_A_virginicus_var_glaucopsis
62,1,b1948_A_capillipes,b1948_A_virginicus_var_virginicus
63,1,b1948_A_capillipes,b1948_A_virginicus_var_tenuispatheus
64,1,b1948_A_capillipes,b1948_A_virginicus_var_glaucopsis
65,1,b1948_A_glomeratus,b1948_A_virginicus_var_virginicus
66,1,b1948_A_glomeratus,b1948_A_virginicus_var_tenuispatheus
67,1,b1948_A_glomeratus,b1948_A_virginicus_var_glaucopsis
68,1,a1950_A_virginicus_var_glaucopsis,b1948_A_capillipes
69,1,a1950_A_virginicus_var_hirsutior,b1948_A_capillipes
70,1,a1950_A_virginicus_var_virginicus,b1948_A_capillipes
71,1,b1948_A_virginicus_var_virginicus,a1950_A_capillipes
72,1,b1948_A_virginicus_var_glaucopsis,a1950_A_capillipes
73,1,b1948_A_virginicus_var_virginicus,a1950_A_glomeratus
74,1,b1948_A_virginicus_var_glaucopsis,a1950_A_glomeratus
75,1,a1950_A_virginicus_var_virginicus,b1948_A_glomeratus
76,1,a1950_A_virginicus_var_glaucopsis,b1948_A_glomeratus
77,1,b1948_A_virginicus_var_tenuispatheus,a1950_A_capillipes
78,1,b1948_A_virginicus_var_tenuispatheus,a1950_A_virginicus
79,1,a1950_A_glomeratus,b1948_A_virginicus_var_glaucopsis
80,1,a1950_A_glomeratus,b1948_A_virginicus_var_virginicus
81,1,a1950_A_virginicus,b1948_A_virginicus_var_tenuispatheus
82,1,a1950_A_capillipes,b1948_A_virginicus_var_tenuispatheus
83,1,b1948_A_glomeratus,a1950_A_virginicus_var_glaucopsis
84,1,b1948_A_capillipes,a1950_A_virginicus_var_glaucopsis
85,1,b1948_A_virginicus_var_tenuispatheus,a1950_A_virginicus_var_hirsutior
86,1,b1948_A_capillipes,a1950_A_virginicus_var_hirsutior
87,1,b1948_A_glomeratus,a1950_A_virginicus_var_virginicus
88,1,b1948_A_capillipes,a1950_A_virginicus_var_virginicus
89,1,a1950_A_capillipes,b1948_A_virginicus_var_glaucopsis
90,1,a1950_A_virginicus_var_hirsutior,b1948_A_virginicus_var_tenuispatheus
91,1,a1950_A_capillipes,b1948_A_virginicus_var_virginicus
92,1,a1950_A_virginicus_var_hirsutior,b1948_A_glomeratus
93,1,b1948_A_glomeratus,a1950_A_virginicus_var_hirsutior
94,1,b1948_A_glomeratus,a1950_A_virginicus
95,1,a1950_A_virginicus,b1948_A_glomeratus
96,2,a1950_A_glomeratus,a1950_A_capillipes
97,2,a1950_A_virginicus,a1950_A_capillipes
98,2,a1950_A_capillipes,a1950_A_glomeratus
99,2,a1950_A_virginicus,a1950_A_glomeratus
100,2,a1950_A_capillipes,a1950_A_virginicus
101,2,a1950_A_glomeratus,a1950_A_virginicus
102,2,a1950_A_virginicus_var_hirsutior,a1950_A_virginicus_var_glaucopsis
103,2,a1950_A_virginicus_var_virginicus,a1950_A_virginicus_var_glaucopsis
104,2,a1950_A_virginicus_var_glaucopsis,a1950_A_virginicus_var_hirsutior
105,2,a1950_A_virginicus_var_virginicus,a1950_A_virginicus_var_hirsutior
106,2,a1950_A_virginicus_var_glaucopsis,a1950_A_virginicus_var_virginicus
107,2,a1950_A_virginicus_var_hirsutior,a1950_A_virginicus_var_virginicus
108,2,b1948_A_glomeratus,b1948_A_capillipes
109,2,b1948_A_virginicus,b1948_A_capillipes
110,2,b1948_A_capillipes,b1948_A_glomeratus
111,2,b1948_A_virginicus,b1948_A_glomeratus
112,2,b1948_A_capillipes,b1948_A_virginicus
113,2,b1948_A_glomeratus,b1948_A_virginicus
114,2,b1948_A_virginicus_var_tenuispatheus,b1948_A_virginicus_var_glaucopsis
115,2,b1948_A_virginicus_var_virginicus,b1948_A_virginicus_var_glaucopsis
116,2,b1948_A_virginicus_var_glaucopsis,b1948_A_virginicus_var_tenuispatheus
117,2,b1948_A_virginicus_var_virginicus,b1948_A_virginicus_var_tenuispatheus
