,pw,x1,x2
0,1,a1950_Andropogon,b1948_Andropogon
1,1,a1950_A_capillipes,b1948_A_capillipes
2,1,a1950_A_virginicus_var_virginicus,b1948_A_virginicus_var_virginicus
3,1,a1950_A_virginicus_var_glaucopsis,b1948_A_virginicus_var_glaucopsis
4,1,b1948_A_virginicus_var_glaucopsis,a1950_A_virginicus_var_glaucopsis
5,1,b1948_A_virginicus_var_virginicus,a1950_A_virginicus_var_virginicus
6,1,b1948_A_capillipes,a1950_A_capillipes
7,1,b1948_Andropogon,a1950_Andropogon
8,1,b1948_Andropogon,b1948_Andropogon
9,1,a1950_Andropogon,a1950_Andropogon
10,1,b1948_A_virginicus_var_virginicus,b1948_A_virginicus_var_virginicus
11,1,b1948_A_virginicus_var_tenuispatheus,b1948_A_virginicus_var_tenuispatheus
12,1,b1948_A_virginicus_var_glaucopsis,b1948_A_virginicus_var_glaucopsis
13,1,b1948_A_virginicus,b1948_A_virginicus
14,1,b1948_A_glomeratus,b1948_A_glomeratus
15,1,b1948_A_capillipes,b1948_A_capillipes
16,1,a1950_A_virginicus_var_virginicus,a1950_A_virginicus_var_virginicus
17,1,a1950_A_virginicus_var_hirsutior,a1950_A_virginicus_var_hirsutior
18,1,a1950_A_virginicus_var_glaucopsis,a1950_A_virginicus_var_glaucopsis
19,1,a1950_A_virginicus,a1950_A_virginicus
20,1,a1950_A_glomeratus,a1950_A_glomeratus
21,1,a1950_A_capillipes,a1950_A_capillipes
22,2,a1950_Andropogon,b1948_Andropogon
23,2,a1950_A_capillipes,b1948_A_capillipes
24,2,a1950_A_virginicus_var_virginicus,b1948_A_virginicus_var_virginicus
25,2,a1950_A_virginicus_var_glaucopsis,b1948_A_virginicus_var_glaucopsis
26,2,b1948_A_virginicus_var_glaucopsis,a1950_A_virginicus_var_glaucopsis
27,2,b1948_A_virginicus_var_virginicus,a1950_A_virginicus_var_virginicus
28,2,b1948_A_capillipes,a1950_A_capillipes
29,2,b1948_Andropogon,a1950_Andropogon
30,2,b1948_Andropogon,b1948_Andropogon
31,2,a1950_Andropogon,a1950_Andropogon
32,2,b1948_A_virginicus_var_virginicus,b1948_A_virginicus_var_virginicus
33,2,b1948_A_virginicus_var_tenuispatheus,b1948_A_virginicus_var_tenuispatheus
34,2,b1948_A_virginicus_var_glaucopsis,b1948_A_virginicus_var_glaucopsis
35,2,b1948_A_virginicus,b1948_A_virginicus
36,2,b1948_A_glomeratus,b1948_A_glomeratus
37,2,b1948_A_capillipes,b1948_A_capillipes
38,2,a1950_A_virginicus_var_virginicus,a1950_A_virginicus_var_virginicus
39,2,a1950_A_virginicus_var_hirsutior,a1950_A_virginicus_var_hirsutior
