,pw,x1,x2
0,1,a1950_A_glomeratus,b1948_A_virginicus_var_tenuispatheus
1,1,b1948_A_virginicus,b1948_A_virginicus_var_virginicus
2,1,b1948_A_virginicus,b1948_A_virginicus_var_tenuispatheus
3,1,b1948_A_virginicus,b1948_A_virginicus_var_glaucopsis
4,1,b1948_Andropogon,b1948_A_virginicus
5,1,b1948_Andropogon,b1948_A_glomeratus
6,1,b1948_Andropogon,b1948_A_capillipes
7,1,a1950_A_virginicus,a1950_A_virginicus_var_virginicus
8,1,a1950_A_virginicus,a1950_A_virginicus_var_hirsutior
9,1,a1950_A_virginicus,a1950_A_virginicus_var_glaucopsis
10,1,a1950_Andropogon,a1950_A_virginicus
11,1,a1950_Andropogon,a1950_A_glomeratus
12,1,a1950_Andropogon,a1950_A_capillipes
13,1,b1948_A_virginicus,a1950_A_virginicus_var_glaucopsis
14,1,b1948_A_virginicus,a1950_A_virginicus_var_virginicus
15,1,b1948_Andropogon,a1950_A_virginicus
16,1,b1948_Andropogon,a1950_A_glomeratus
17,1,b1948_Andropogon,a1950_A_capillipes
18,1,a1950_Andropogon,a1950_A_virginicus_var_virginicus
19,1,a1950_Andropogon,a1950_A_virginicus_var_hirsutior
20,1,a1950_Andropogon,a1950_A_virginicus_var_glaucopsis
21,1,b1948_Andropogon,b1948_A_virginicus_var_virginicus
22,1,b1948_Andropogon,b1948_A_virginicus_var_tenuispatheus
23,1,b1948_Andropogon,b1948_A_virginicus_var_glaucopsis
24,1,a1950_Andropogon,b1948_A_virginicus_var_tenuispatheus
25,1,a1950_Andropogon,b1948_A_capillipes
26,1,a1950_A_virginicus,b1948_A_virginicus_var_glaucopsis
27,1,a1950_A_virginicus,b1948_A_virginicus_var_virginicus
28,1,a1950_Andropogon,b1948_A_glomeratus
29,1,a1950_Andropogon,b1948_A_virginicus
30,1,b1948_Andropogon,a1950_A_virginicus_var_glaucopsis
31,1,b1948_Andropogon,a1950_A_virginicus_var_hirsutior
32,1,b1948_Andropogon,a1950_A_virginicus_var_virginicus
33,1,a1950_Andropogon,b1948_A_virginicus_var_glaucopsis
34,1,a1950_Andropogon,b1948_A_virginicus_var_virginicus
35,1,b1948_A_virginicus,a1950_A_virginicus
36,1,b1948_A_virginicus,a1950_A_virginicus_var_hirsutior
37,2,a1950_A_glomeratus,b1948_A_virginicus_var_tenuispatheus
38,2,b1948_A_virginicus,b1948_A_virginicus_var_virginicus
39,2,b1948_A_virginicus,b1948_A_virginicus_var_tenuispatheus
40,2,b1948_A_virginicus,b1948_A_virginicus_var_glaucopsis
41,2,b1948_Andropogon,b1948_A_virginicus
42,2,b1948_Andropogon,b1948_A_glomeratus
43,2,b1948_Andropogon,b1948_A_capillipes
44,2,a1950_A_virginicus,a1950_A_virginicus_var_virginicus
45,2,a1950_A_virginicus,a1950_A_virginicus_var_hirsutior
46,2,a1950_A_virginicus,a1950_A_virginicus_var_glaucopsis
47,2,a1950_Andropogon,a1950_A_virginicus
48,2,a1950_Andropogon,a1950_A_glomeratus
49,2,a1950_Andropogon,a1950_A_capillipes
50,2,b1948_A_virginicus,a1950_A_virginicus_var_glaucopsis
51,2,b1948_A_virginicus,a1950_A_virginicus_var_virginicus
52,2,b1948_Andropogon,a1950_A_virginicus
53,2,b1948_Andropogon,a1950_A_glomeratus
54,2,b1948_Andropogon,a1950_A_capillipes
55,2,a1950_Andropogon,a1950_A_virginicus_var_virginicus
