,pw,x1,x2
0,1,a1950_A_glomeratus,b1948_A_glomeratus
1,1,b1948_A_glomeratus,a1950_A_glomeratus
2,1,a1950_A_glomeratus,b1948_A_virginicus
3,1,b1948_A_virginicus,a1950_A_glomeratus
4,2,a1950_A_glomeratus,b1948_A_glomeratus
5,2,b1948_A_glomeratus,a1950_A_glomeratus
6,2,a1950_A_glomeratus,b1948_A_virginicus
7,2,a1950_A_virginicus,b1948_A_virginicus
8,2,b1948_A_virginicus,a1950_A_glomeratus
9,2,b1948_A_virginicus,a1950_A_virginicus
10,3,a1950_A_glomeratus,b1948_A_glomeratus
11,3,b1948_A_glomeratus,a1950_A_glomeratus
12,3,a1950_A_glomeratus,b1948_A_virginicus
13,3,a1950_A_virginicus_var_hirsutior,b1948_A_virginicus
14,3,a1950_A_virginicus,b1948_A_virginicus
15,3,b1948_A_virginicus,a1950_A_glomeratus
16,3,b1948_A_virginicus,a1950_A_virginicus
17,3,b1948_A_virginicus,a1950_A_virginicus_var_hirsutior
18,4,a1950_A_glomeratus,b1948_A_glomeratus
19,4,b1948_A_glomeratus,a1950_A_glomeratus
20,4,a1950_A_glomeratus,b1948_A_virginicus
21,4,a1950_A_virginicus,b1948_A_virginicus
22,4,b1948_A_virginicus,a1950_A_glomeratus
23,4,b1948_A_virginicus,a1950_A_virginicus
24,5,a1950_A_glomeratus,b1948_A_glomeratus
25,5,b1948_A_glomeratus,a1950_A_glomeratus
26,5,a1950_A_virginicus,b1948_A_glomeratus
27,5,a1950_A_virginicus_var_hirsutior,b1948_A_glomeratus
28,5,a1950_A_glomeratus,b1948_A_virginicus
29,5,a1950_A_virginicus_var_hirsutior,b1948_A_virginicus
30,5,a1950_A_virginicus,b1948_A_virginicus
31,5,b1948_A_virginicus,a1950_A_glomeratus
32,5,b1948_A_glomeratus,a1950_A_virginicus
33,5,b1948_A_virginicus,a1950_A_virginicus
34,5,b1948_A_virginicus,a1950_A_virginicus_var_hirsutior
35,5,b1948_A_glomeratus,a1950_A_virginicus_var_hirsutior
36,6,a1950_A_glomeratus,b1948_A_glomeratus
37,6,b1948_A_glomeratus,a1950_A_glomeratus
38,6,a1950_A_virginicus,b1948_A_glomeratus
39,6,a1950_A_glomeratus,b1948_A_virginicus
40,6,a1950_A_virginicus,b1948_A_virginicus
41,6,b1948_A_virginicus,a1950_A_glomeratus
42,6,b1948_A_glomeratus,a1950_A_virginicus
43,6,b1948_A_virginicus,a1950_A_virginicus
44,7,a1950_A_glomeratus,b1948_A_glomeratus
45,7,b1948_A_glomeratus,a1950_A_glomeratus
46,7,a1950_A_virginicus,b1948_A_glomeratus
47,7,a1950_A_glomeratus,b1948_A_virginicus
48,7,a1950_A_virginicus_var_hirsutior,b1948_A_virginicus
49,7,a1950_A_virginicus,b1948_A_virginicus
50,7,b1948_A_virginicus,a1950_A_glomeratus
51,7,b1948_A_glomeratus,a1950_A_virginicus
52,7,b1948_A_virginicus,a1950_A_virginicus
53,7,b1948_A_virginicus,a1950_A_virginicus_var_hirsutior
54,8,a1950_A_glomeratus,b1948_A_glomeratus
55,8,b1948_A_glomeratus,a1950_A_glomeratus
56,8,a1950_A_virginicus,b1948_A_glomeratus
57,8,a1950_A_glomeratus,b1948_A_virginicus
58,8,a1950_A_virginicus,b1948_A_virginicus
59,8,b1948_A_virginicus,a1950_A_glomeratus
60,8,b1948_A_glomeratus,a1950_A_virginicus
61,8,b1948_A_virginicus,a1950_A_virginicus
62,9,a1950_A_glomeratus,b1948_A_glomeratus
63,9,b1948_A_glomeratus,a1950_A_glomeratus
64,9,a1950_A_virginicus,b1948_A_glomeratus
65,9,a1950_A_virginicus_var_hirsutior,b1948_A_glomeratus
66,9,a1950_A_glomeratus,b1948_A_virginicus
67,9,a1950_A_virginicus,b1948_A_virginicus
68,9,b1948_A_virginicus,a1950_A_glomeratus
69,9,b1948_A_glomeratus,a1950_A_virginicus
70,9,b1948_A_virginicus,a1950_A_virginicus
71,9,b1948_A_glomeratus,a1950_A_virginicus_var_hirsutior
72,10,a1950_A_glomeratus,b1948_A_glomeratus
73,10,b1948_A_glomeratus,a1950_A_glomeratus
74,10,a1950_A_virginicus,b1948_A_glomeratus
75,10,a1950_A_glomeratus,b1948_A_virginicus
76,10,a1950_A_virginicus,b1948_A_virginicus
77,10,b1948_A_virginicus,a1950_A_glomeratus
78,10,b1948_A_glomeratus,a1950_A_virginicus
79,10,b1948_A_virginicus,a1950_A_virginicus
