,pw,x1,x2
0,1,a1950_A_capillipes,a1950_Andropogon
1,1,a1950_A_glomeratus,a1950_Andropogon
2,1,a1950_A_virginicus,a1950_Andropogon
3,1,a1950_A_virginicus_var_glaucopsis,a1950_A_virginicus
4,1,a1950_A_virginicus_var_hirsutior,a1950_A_virginicus
5,1,a1950_A_virginicus_var_virginicus,a1950_A_virginicus
6,1,b1948_A_capillipes,b1948_Andropogon
7,1,b1948_A_glomeratus,b1948_Andropogon
8,1,b1948_A_virginicus,b1948_Andropogon
9,1,b1948_A_virginicus_var_glaucopsis,b1948_A_virginicus
10,1,b1948_A_virginicus_var_tenuispatheus,b1948_A_virginicus
11,1,b1948_A_virginicus_var_virginicus,b1948_A_virginicus
12,1,b1948_A_virginicus_var_tenuispatheus,a1950_A_glomeratus
13,1,b1948_A_virginicus_var_glaucopsis,b1948_Andropogon
14,1,b1948_A_virginicus_var_tenuispatheus,b1948_Andropogon
15,1,b1948_A_virginicus_var_virginicus,b1948_Andropogon
16,1,a1950_A_virginicus_var_glaucopsis,a1950_Andropogon
17,1,a1950_A_virginicus_var_hirsutior,a1950_Andropogon
18,1,a1950_A_virginicus_var_virginicus,a1950_Andropogon
19,1,a1950_A_capillipes,b1948_Andropogon
20,1,a1950_A_glomeratus,b1948_Andropogon
21,1,a1950_A_virginicus,b1948_Andropogon
22,1,a1950_A_virginicus_var_virginicus,b1948_A_virginicus
23,1,a1950_A_virginicus_var_glaucopsis,b1948_A_virginicus
24,1,a1950_A_virginicus_var_glaucopsis,b1948_Andropogon
25,1,a1950_A_virginicus_var_hirsutior,b1948_Andropogon
26,1,a1950_A_virginicus_var_virginicus,b1948_Andropogon
27,1,b1948_A_virginicus_var_tenuispatheus,a1950_Andropogon
28,1,b1948_A_virginicus_var_virginicus,a1950_Andropogon
29,1,b1948_A_virginicus_var_glaucopsis,a1950_Andropogon
30,1,b1948_A_virginicus_var_virginicus,a1950_A_virginicus
31,1,b1948_A_virginicus_var_glaucopsis,a1950_A_virginicus
32,1,b1948_A_virginicus,a1950_Andropogon
33,1,b1948_A_glomeratus,a1950_Andropogon
34,1,b1948_A_capillipes,a1950_Andropogon
35,1,a1950_A_virginicus_var_hirsutior,b1948_A_virginicus
36,1,a1950_A_virginicus,b1948_A_virginicus
37,2,a1950_A_capillipes,a1950_Andropogon
38,2,a1950_A_glomeratus,a1950_Andropogon
39,2,a1950_A_virginicus,a1950_Andropogon
40,2,a1950_A_virginicus_var_glaucopsis,a1950_A_virginicus
41,2,a1950_A_virginicus_var_hirsutior,a1950_A_virginicus
42,2,a1950_A_virginicus_var_virginicus,a1950_A_virginicus
43,2,b1948_A_capillipes,b1948_Andropogon
44,2,b1948_A_glomeratus,b1948_Andropogon
45,2,b1948_A_virginicus,b1948_Andropogon
