,pw,x1
0,1,a1950_A_capillipes
1,1,a1950_A_glomeratus
2,1,a1950_A_virginicus
3,1,a1950_A_virginicus_var_glaucopsis
4,1,a1950_A_virginicus_var_hirsutior
5,1,a1950_A_virginicus_var_virginicus
6,1,b1948_A_capillipes
7,1,b1948_A_glomeratus
8,1,b1948_A_virginicus
9,1,b1948_A_virginicus_var_glaucopsis
10,1,b1948_A_virginicus_var_tenuispatheus
11,1,b1948_A_virginicus_var_virginicus
12,1,a1950_Andropogon
13,1,b1948_Andropogon
14,2,a1950_A_capillipes
15,2,a1950_A_glomeratus
16,2,a1950_A_virginicus
17,2,a1950_A_virginicus_var_glaucopsis
18,2,a1950_A_virginicus_var_hirsutior
19,2,a1950_A_virginicus_var_virginicus
20,2,b1948_A_capillipes
21,2,b1948_A_glomeratus
22,2,b1948_A_virginicus
23,2,b1948_A_virginicus_var_glaucopsis
24,2,b1948_A_virginicus_var_tenuispatheus
25,2,b1948_A_virginicus_var_virginicus
26,2,a1950_Andropogon
27,2,b1948_Andropogon
28,3,a1950_A_capillipes
29,3,a1950_A_glomeratus
30,3,a1950_A_virginicus
31,3,a1950_A_virginicus_var_glaucopsis
32,3,a1950_A_virginicus_var_hirsutior
33,3,a1950_A_virginicus_var_virginicus
34,3,b1948_A_capillipes
35,3,b1948_A_glomeratus
36,3,b1948_A_virginicus
37,3,b1948_A_virginicus_var_glaucopsis
38,3,b1948_A_virginicus_var_tenuispatheus
39,3,b1948_A_virginicus_var_virginicus
40,3,a1950_Andropogon
41,3,b1948_Andropogon
42,4,a1950_A_capillipes
43,4,a1950_A_glomeratus
44,4,a1950_A_virginicus
45,4,a1950_A_virginicus_var_glaucopsis
46,4,a1950_A_virginicus_var_hirsutior
47,4,a1950_A_virginicus_var_virginicus
48,4,b1948_A_capillipes
49,4,b1948_A_glomeratus
50,4,b1948_A_virginicus
51,4,b1948_A_virginicus_var_glaucopsis
52,4,b1948_A_virginicus_var_tenuispatheus
53,4,b1948_A_virginicus_var_virginicus
54,4,a1950_Andropogon
55,4,b1948_Andropogon
56,5,a1950_A_capillipes
57,5,a1950_A_glomeratus
58,5,a1950_A_virginicus
59,5,a1950_A_virginicus_var_glaucopsis
60,5,a1950_A_virginicus_var_hirsutior
61,5,a1950_A_virginicus_var_virginicus
62,5,b1948_A_capillipes
63,5,b1948_A_glomeratus
64,5,b1948_A_virginicus
65,5,b1948_A_virginicus_var_glaucopsis
66,5,b1948_A_virginicus_var_tenuispatheus
67,5,b1948_A_virginicus_var_virginicus
68,5,a1950_Andropogon
69,5,b1948_Andropogon
70,6,a1950_A_capillipes
71,6,a1950_A_glomeratus
72,6,a1950_A_virginicus
73,6,a1950_A_virginicus_var_glaucopsis
74,6,a1950_A_virginicus_var_hirsutior
75,6,a1950_A_virginicus_var_virginicus
76,6,b1948_A_capillipes
77,6,b1948_A_glomeratus
78,6,b1948_A_virginicus
79,6,b1948_A_virginicus_var_glaucopsis
80,6,b1948_A_virginicus_var_tenuispatheus
81,6,b1948_A_virginicus_var_virginicus
82,6,a1950_Andropogon
83,6,b1948_Andropogon
84,7,a1950_A_capillipes
85,7,a1950_A_glomeratus
86,7,a1950_A_virginicus
87,7,a1950_A_virginicus_var_glaucopsis
88,7,a1950_A_virginicus_var_hirsutior
89,7,a1950_A_virginicus_var_virginicus
90,7,b1948_A_capillipes
91,7,b1948_A_glomeratus
92,7,b1948_A_virginicus
93,7,b1948_A_virginicus_var_glaucopsis
94,7,b1948_A_virginicus_var_tenuispatheus
95,7,b1948_A_virginicus_var_virginicus
96,7,a1950_Andropogon
97,7,b1948_Andropogon
98,8,a1950_A_capillipes
99,8,a1950_A_glomeratus
100,8,a1950_A_virginicus
101,8,a1950_A_virginicus_var_glaucopsis
102,8,a1950_A_virginicus_var_hirsutior
103,8,a1950_A_virginicus_var_virginicus
104,8,b1948_A_capillipes
105,8,b1948_A_glomeratus
106,8,b1948_A_virginicus
107,8,b1948_A_virginicus_var_glaucopsis
108,8,b1948_A_virginicus_var_tenuispatheus
109,8,b1948_A_virginicus_var_virginicus
110,8,a1950_Andropogon
111,8,b1948_Andropogon
112,9,a1950_A_capillipes
113,9,a1950_A_glomeratus
114,9,a1950_A_virginicus
115,9,a1950_A_virginicus_var_glaucopsis
116,9,a1950_A_virginicus_var_hirsutior
117,9,a1950_A_virginicus_var_virginicus
118,9,b1948_A_capillipes
119,9,b1948_A_glomeratus
120,9,b1948_A_virginicus
121,9,b1948_A_virginicus_var_glaucopsis
122,9,b1948_A_virginicus_var_tenuispatheus
123,9,b1948_A_virginicus_var_virginicus
124,9,a1950_Andropogon
125,9,b1948_Andropogon
126,10,a1950_A_capillipes
127,10,a1950_A_glomeratus
128,10,a1950_A_virginicus
129,10,a1950_A_virginicus_var_glaucopsis
130,10,a1950_A_virginicus_var_hirsutior
131,10,a1950_A_virginicus_var_virginicus
132,10,b1948_A_capillipes
133,10,b1948_A_glomeratus
134,10,b1948_A_virginicus
135,10,b1948_A_virginicus_var_glaucopsis
136,10,b1948_A_virginicus_var_tenuispatheus
137,10,b1948_A_virginicus_var_virginicus
138,10,a1950_Andropogon
139,10,b1948_Andropogon
