    pw  COUNT(x3)
0    1          3
1    3          3
2    2          4
3    4          4
4    5          4
5    7          4
6    8          4
7    6          5
8    9          5
9   10          5
10  12          5
11  16          5
12  18          5
13  11          6
14  13          6
15  14          6
16  17          6
17  19          6
18  20          6
19  22          6
20  23          6
21  25          6
22  27          6
23  15          7
24  21          7
25  24          7
26  26          7
27  28          7
28  29          7
29  30          8
    pw  COUNT(x3)
0   13          8
1   15          8
2   28          8
3   30          8
4   11          9
5   12          9
6   14          9
7   19          9
8   21          9
9   23          9
10  24          9
11  26          9
12  27          9
13  29          9
14  10         10
15  16         10
16  17         10
17  18         10
18  20         10
19  22         10
20  25         10
21   5         11
22   6         11
23   9         11
24   1         12
25   2         12
26   3         12
27   4         12
28   7         12
29   8         12
    pw  COUNT(x3)
0   12         14
1   13         14
2    1         15
3    3         15
4    5         15
5   10         15
6   11         15
7   14         15
8   15         15
9   16         15
10  18         15
11  19         15
12  23         15
13  27         15
14  28         15
15   2         16
16   4         16
17   6         16
18   7         16
19   8         16
20   9         16
21  17         16
22  20         16
23  21         16
24  22         16
25  24         16
26  25         16
27  26         16
28  29         16
29  30         16
