    pw  COUNT(x3)
0    2          2
1    6          2
2    8          2
3    1          3
4    3          3
5    7          3
6    9          3
7   14          3
8   22          3
9   32          3
10   4          4
11  10          4
12  12          4
13  15          4
14  16          4
15  23          4
16  24          4
17  26          4
18  33          4
19  40          4
20   5          5
21  11          5
22  13          5
23  17          5
24  18          5
25  25          5
26  28          5
27  34          5
28  36          5
29  41          5
30  44          5
31  19          6
32  20          6
33  27          6
34  29          6
35  30          6
36  35          6
37  37          6
38  38          6
39  42          6
40  45          6
41  46          6
42  48          6
43  21          7
44  31          7
45  39          7
46  43          7
47  47          7
48  49          7
49  50          7
50  51          8
    pw  COUNT(x3)
0   18         12
1   19         12
2   20         12
3   21         12
4   22         12
5   27         12
6   28         12
7   29         12
8   30         12
9   31         12
10  34         12
11  35         12
12  36         12
13  37         12
14  38         12
15  39         12
16  42         12
17  43         12
18  44         12
19  45         12
20  46         12
21  47         12
22  48         12
23  49         12
24  50         12
25  51         12
26   4         13
27   5         13
28  10         13
29  11         13
30  12         13
31  13         13
32  14         13
33  15         13
34  16         13
35  17         13
36  23         13
37  24         13
38  25         13
39  26         13
40  32         13
41  33         13
42  40         13
43  41         13
44   1         14
45   2         14
46   3         14
47   6         14
48   7         14
49   8         14
50   9         14
    pw  COUNT(x3)
0   22         15
1    2         16
2    6         16
3    8         16
4   14         16
5   32         16
6    1         17
7    3         17
8    4         17
9    7         17
10   9         17
11  10         17
12  12         17
13  15         17
14  16         17
15  18         17
16  23         17
17  24         17
18  26         17
19  28         17
20  33         17
21  34         17
22  36         17
23  40         17
24  44         17
25   5         18
26  11         18
27  13         18
28  17         18
29  19         18
30  20         18
31  25         18
32  27         18
33  29         18
34  30         18
35  35         18
36  37         18
37  38         18
38  41         18
39  42         18
40  45         18
41  46         18
42  48         18
43  21         19
44  31         19
45  39         19
46  43         19
47  47         19
48  49         19
49  50         19
50  51         20
